model_key,model,concurrency_group,scope,scope_value,pairs,valid_pairs,valid_coverage,correct_valid_pairs,valid_accuracy,effective_accuracy,strict_swap_error,spearman_valid_only,spearman_coverage,ab_accuracy,ba_accuracy,debiased_accuracy,content_ties,mean_abs_content_margin,median_abs_content_margin,mean_abs_position_margin,first_position_choice_rate,recovery,aligned_descriptive
gemma,google/gemma-3-12b-it,pair2_gemma_ministral,language,java,3000,2437,0.8123333333333334,1524,0.6253590480098482,0.508,0.1876666666666666,0.2955732948408025,0.8123333333333334,0.5933333333333334,0.6103333333333333,0.6076666666666667,18,6.011708333333333,6.625,1.750875,0.5538333333333333,0.09966666666666668,True
gemma,google/gemma-3-12b-it,pair2_gemma_ministral,language,python,3000,2135,0.7116666666666667,1398,0.6548009367681499,0.466,0.2883333333333333,0.336725028025656,0.7116666666666667,0.592,0.6283333333333333,0.6233333333333333,24,5.169208333333334,5.5,2.2467083333333333,0.6105,0.15733333333333327,True
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,pair2_gemma_ministral,overall,all,9000,6004,0.6671111111111111,3307,0.5507994670219853,0.3674444444444444,0.3328888888888889,0.1167908659935948,0.6671111111111111,0.5358888888888889,0.5318888888888889,0.543,35,3.3484479166666667,3.203125,1.8391354166666667,0.6098888888888889,0.17555555555555563,True
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,pair2_gemma_ministral,language,cuda,3000,1914,0.638,1112,0.58098223615465,0.3706666666666666,0.362,0.1575488413231432,0.638,0.559,0.5443333333333333,0.5646666666666667,12,3.3227604166666667,3.0625,1.9097604166666664,0.632,0.19400000000000006,True
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,pair2_gemma_ministral,language,java,3000,2164,0.7213333333333334,1168,0.5397412199630314,0.3893333333333333,0.2786666666666666,0.1100510112659327,0.7213333333333334,0.5513333333333333,0.506,0.54,12,3.3567291666666668,3.3125,1.5353541666666666,0.551,0.15066666666666673,True
ministral,mistralai/Ministral-3-8B-Instruct-2512-BF16,pair2_gemma_ministral,language,python,3000,1926,0.642,1027,0.5332294911734164,0.3423333333333333,0.358,0.0878664418056899,0.642,0.4973333333333333,0.5453333333333333,0.5243333333333333,11,3.365854166666667,3.25,2.072291666666666,0.6466666666666666,0.182,True
phi,microsoft/Phi-4-multimodal-instruct,group3_phi_alone,overall,all,9000,6265,0.6961111111111111,2811,0.448683160415004,0.3123333333333333,0.3038888888888889,-0.1237516584059379,0.6961111111111111,0.4638888888888889,0.4646666666666667,0.3783333333333333,1418,0.2488611111111111,0.25,0.1093333333333333,0.6058333333333333,0.066,False
phi,microsoft/Phi-4-multimodal-instruct,group3_phi_alone,language,cuda,3000,2130,0.71,961,0.4511737089201877,0.3203333333333333,0.29,-0.1229274333065352,0.71,0.4703333333333333,0.4603333333333333,0.3783333333333333,514,0.225125,0.25,0.1082916666666666,0.5663333333333334,0.057999999999999996,False
phi,microsoft/Phi-4-multimodal-instruct,group3_phi_alone,language,java,3000,2088,0.696,937,0.4487547892720306,0.3123333333333333,0.304,-0.1181110935976258,0.696,0.4643333333333333,0.4643333333333333,0.3786666666666666,442,0.2414583333333333,0.25,0.0972083333333333,0.626,0.0663333333333333,False
phi,microsoft/Phi-4-multimodal-instruct,group3_phi_alone,language,python,3000,2047,0.6823333333333333,913,0.4460185637518319,0.3043333333333333,0.3176666666666666,-0.1286237599251746,0.6823333333333333,0.457,0.4693333333333333,0.378,462,0.28,0.25,0.1225,0.6251666666666666,0.07366666666666671,False
