slice,method_type,model,language,n,accuracy_main,definition
easy_all_languages,ML,svr,cuda,1000,0.919,deterministic pair accuracy
easy_all_languages,ML,svr,java,1000,0.692,deterministic pair accuracy
easy_all_languages,ML,svr,python,1000,0.676,deterministic pair accuracy
java_within_dataset,VLM,OpenGVLab/InternVL3-8B,java,1004,0.2729083665338645,effective accuracy; invalid pairs incorrect
java_within_dataset,VLM,Qwen/Qwen2.5-VL-7B-Instruct,java,1004,0.31274900398406374,effective accuracy; invalid pairs incorrect
java_within_dataset,VLM,google/gemma-3-12b-it,java,1004,0.5249003984063745,effective accuracy; invalid pairs incorrect
java_within_dataset,VLM,microsoft/Phi-4-multimodal-instruct,java,1004,0.2450199203187251,effective accuracy; invalid pairs incorrect
java_within_dataset,VLM,mistralai/Ministral-3-8B-Instruct-2512-BF16,java,1004,0.38645418326693226,effective accuracy; invalid pairs incorrect
java_within_dataset,ML,Logistic Regression,java,1004,0.6095617529880478,deterministic pair accuracy
java_within_dataset,ML,Multilayer Perceptron,java,1004,0.6394422310756972,deterministic pair accuracy
java_within_dataset,ML,Naive Bayes,java,1004,0.5846613545816733,deterministic pair accuracy
java_within_dataset,ML,"Scalabrino-LR (replicated, not official tool)",java,1004,0.6155378486055777,deterministic pair accuracy
java_within_dataset,ML,Voting ensemble (LR+NB+RF),java,1004,0.6314741035856574,deterministic pair accuracy
java_within_dataset,ML,gradient_boosting_regressor,java,1004,0.6334661354581673,deterministic pair accuracy
java_within_dataset,ML,linear_regression,java,1004,0.6354581673306773,deterministic pair accuracy
java_within_dataset,ML,random_forest_regressor,java,1004,0.6374501992031872,deterministic pair accuracy
java_within_dataset,ML,svr,java,1004,0.6334661354581673,deterministic pair accuracy
