model,language,pair_id,order,verdict_mismatch,margin_original,margin_repeat,abs_margin_original,logit_A_original,logit_A_repeat,logit_B_original,logit_B_repeat,max_logit_diff,c,b,tie_c,boundary
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0008,AB,False,-2.375,-2.25,2.375,22.75,22.75,25.125,25.0,0.125,-1.875,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0008,BA,False,1.375,1.25,1.375,26.625,26.5,25.25,25.25,0.125,-1.875,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0009,AB,False,-3.375,-3.25,3.375,22.375,22.25,25.75,25.5,0.25,-2.25,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0009,BA,False,1.125,1.25,1.125,26.75,26.5,25.625,25.25,0.375,-2.25,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0010,AB,False,-3.0,-2.75,3.0,22.5,22.75,25.5,25.5,0.25,-1.6875,-1.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0010,BA,False,0.375,0.625,0.375,26.25,26.25,25.875,25.625,0.25,-1.6875,-1.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0011,AB,False,-2.625,-2.75,2.625,22.5,22.5,25.125,25.25,0.125,-0.875,-1.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0011,BA,False,-0.875,-0.75,0.875,24.25,24.375,25.125,25.125,0.125,-0.875,-1.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0012,AB,False,-1.625,-1.625,1.625,23.125,23.25,24.75,24.875,0.125,-1.1875,-0.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0012,BA,False,0.75,0.75,0.75,26.5,26.375,25.75,25.625,0.125,-1.1875,-0.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0013,AB,False,-0.125,-0.125,0.125,25.5,25.25,25.625,25.375,0.25,0.0,-0.125,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0013,BA,False,-0.125,-0.375,0.125,25.125,24.625,25.25,25.0,0.5,0.0,-0.125,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0014,AB,False,-0.5,-0.375,0.5,25.0,25.125,25.5,25.5,0.125,-0.25,-0.25,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0014,BA,False,0.0,0.125,0.0,25.375,25.5,25.375,25.375,0.125,-0.25,-0.25,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0015,AB,False,2.125,2.125,2.125,26.5,26.5,24.375,24.375,0.0,1.9375,0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0015,BA,False,-1.75,-2.0,1.75,23.625,23.125,25.375,25.125,0.5,1.9375,0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0016,AB,False,0.375,0.375,0.375,25.875,25.875,25.5,25.5,0.0,1.0,-0.625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0016,BA,False,-1.625,-1.75,1.625,23.625,23.625,25.25,25.375,0.125,1.0,-0.625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0017,AB,False,0.25,0.375,0.25,25.25,25.25,25.0,24.875,0.125,0.9375,-0.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0017,BA,False,-1.625,-1.5,1.625,23.0,23.375,24.625,24.875,0.375,0.9375,-0.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0018,AB,False,0.5,0.625,0.5,26.0,25.625,25.5,25.0,0.5,1.4375,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0018,BA,False,-2.375,-2.25,2.375,22.25,22.25,24.625,24.5,0.125,1.4375,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0019,AB,False,-0.125,-0.25,0.125,24.5,24.375,24.625,24.625,0.125,-0.1875,0.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0019,BA,False,0.25,0.125,0.25,25.75,25.625,25.5,25.5,0.125,-0.1875,0.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0020,AB,False,-0.25,-0.5,0.25,24.5,24.25,24.75,24.75,0.25,0.875,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0020,BA,False,-2.0,-2.375,2.0,22.5,22.375,24.5,24.75,0.25,0.875,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0021,AB,True,-0.125,0.0,0.125,25.25,25.125,25.375,25.125,0.25,0.0625,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0021,BA,False,-0.25,-0.25,0.25,25.125,25.0,25.375,25.25,0.125,0.0625,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0022,AB,False,-0.875,-0.875,0.875,24.5,24.625,25.375,25.5,0.125,-0.5625,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0022,BA,False,0.25,0.25,0.25,25.625,25.875,25.375,25.625,0.25,-0.5625,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0023,AB,False,-0.625,-0.625,0.625,25.0,25.0,25.625,25.625,0.0,-0.125,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0023,BA,False,-0.375,-0.5,0.375,25.125,25.125,25.5,25.625,0.125,-0.125,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0024,AB,False,-0.125,-0.25,0.125,25.0,25.25,25.125,25.5,0.375,0.75,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0024,BA,False,-1.625,-1.5,1.625,23.125,23.125,24.75,24.625,0.125,0.75,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0025,AB,False,-1.5,-1.375,1.5,23.5,23.5,25.0,24.875,0.125,-0.4375,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0025,BA,False,-0.625,-0.75,0.625,24.375,24.25,25.0,25.0,0.125,-0.4375,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0026,AB,False,-1.25,-1.5,1.25,23.375,23.25,24.625,24.75,0.125,-0.5,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0026,BA,False,-0.25,-0.375,0.25,25.0,25.0,25.25,25.375,0.125,-0.5,-0.75,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0027,AB,False,-1.5,-1.625,1.5,23.625,23.375,25.125,25.0,0.25,-0.8125,-0.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0027,BA,False,0.125,0.25,0.125,26.0,26.0,25.875,25.75,0.125,-0.8125,-0.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0028,AB,False,-1.0,-1.0,1.0,24.0,23.75,25.0,24.75,0.25,-0.0625,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0028,BA,False,-0.875,-0.875,0.875,23.875,23.75,24.75,24.625,0.125,-0.0625,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0029,AB,False,-1.125,-1.0,1.125,23.625,23.75,24.75,24.75,0.125,-0.5625,-0.5625,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0029,BA,False,0.0,0.0,0.0,25.5,25.125,25.5,25.125,0.375,-0.5625,-0.5625,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0030,AB,False,-0.75,-0.75,0.75,24.375,24.5,25.125,25.25,0.125,-0.5625,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0030,BA,False,0.375,0.375,0.375,25.75,25.75,25.375,25.375,0.0,-0.5625,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0031,AB,False,0.0,0.0,0.0,25.25,25.375,25.25,25.375,0.125,0.3125,-0.3125,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0031,BA,False,-0.625,-0.625,0.625,24.0,24.125,24.625,24.75,0.125,0.3125,-0.3125,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0032,AB,False,-1.125,-1.0,1.125,24.125,24.25,25.25,25.25,0.125,-0.625,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0032,BA,False,0.125,0.0,0.125,25.875,25.625,25.75,25.625,0.25,-0.625,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0033,AB,False,-0.625,-0.5,0.625,24.5,24.625,25.125,25.125,0.125,-0.5625,-0.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0033,BA,False,0.5,0.5,0.5,26.125,26.125,25.625,25.625,0.0,-0.5625,-0.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0034,AB,False,-0.625,-0.625,0.625,25.0,25.125,25.625,25.75,0.125,0.5,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0034,BA,False,-1.625,-1.5,1.625,23.5,23.5,25.125,25.0,0.125,0.5,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0035,AB,False,-1.625,-1.5,1.625,23.25,23.375,24.875,24.875,0.125,-0.5,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0035,BA,False,-0.625,-0.5,0.625,24.5,24.75,25.125,25.25,0.25,-0.5,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0036,AB,False,-0.75,-0.75,0.75,24.625,24.625,25.375,25.375,0.0,-0.0625,-0.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0036,BA,False,-0.625,-0.625,0.625,24.75,24.75,25.375,25.375,0.0,-0.0625,-0.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0037,AB,True,0.125,-0.25,0.125,25.25,25.125,25.125,25.375,0.25,0.5,-0.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0037,BA,False,-0.875,-0.875,0.875,23.75,23.875,24.625,24.75,0.125,0.5,-0.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0038,AB,False,-0.625,-0.875,0.625,24.375,24.25,25.0,25.125,0.125,0.25,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0038,BA,False,-1.125,-0.875,1.125,23.625,23.875,24.75,24.75,0.25,0.25,-0.875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0039,AB,False,0.75,0.75,0.75,26.125,25.875,25.375,25.125,0.25,0.75,0.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0039,BA,False,-0.75,-0.875,0.75,24.625,24.25,25.375,25.125,0.375,0.75,0.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0040,AB,False,1.5,1.125,1.5,26.875,26.625,25.375,25.5,0.25,1.5625,-0.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0040,BA,False,-1.625,-1.625,1.625,22.875,22.75,24.5,24.375,0.125,1.5625,-0.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0041,AB,True,-0.125,0.0,0.125,24.875,25.0,25.0,25.0,0.125,0.1875,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0041,BA,False,-0.5,-0.5,0.5,24.375,24.375,24.875,24.875,0.0,0.1875,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0042,AB,False,-0.375,-0.25,0.375,24.875,25.0,25.25,25.25,0.125,0.0625,-0.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0042,BA,False,-0.5,-0.5,0.5,24.375,24.25,24.875,24.75,0.125,0.0625,-0.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0043,AB,False,-1.25,-1.25,1.25,23.125,23.375,24.375,24.625,0.25,-0.6875,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0043,BA,False,0.125,0.125,0.125,25.25,25.375,25.125,25.25,0.125,-0.6875,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0044,AB,False,-1.75,-1.75,1.75,22.625,22.625,24.375,24.375,0.0,0.0,-1.75,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0044,BA,False,-1.75,-2.125,1.75,23.0,22.625,24.75,24.75,0.375,0.0,-1.75,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0045,AB,False,-0.875,-1.0,0.875,24.25,24.0,25.125,25.0,0.25,-0.375,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0045,BA,False,-0.125,-0.125,0.125,25.625,25.75,25.75,25.875,0.125,-0.375,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0046,AB,False,-0.625,-0.75,0.625,24.75,24.75,25.375,25.5,0.125,0.1875,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0046,BA,False,-1.0,-1.0,1.0,24.25,24.125,25.25,25.125,0.125,0.1875,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0047,AB,False,-0.25,-0.5,0.25,25.25,25.125,25.5,25.625,0.125,0.3125,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0047,BA,False,-0.875,-0.75,0.875,24.625,24.625,25.5,25.375,0.125,0.3125,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0048,AB,False,-0.5,-0.625,0.5,24.75,24.625,25.25,25.25,0.125,0.5625,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0048,BA,False,-1.625,-1.875,1.625,23.125,22.875,24.75,24.75,0.25,0.5625,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0049,AB,False,-0.75,-0.875,0.75,24.5,24.5,25.25,25.375,0.125,-0.0625,-0.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0049,BA,False,-0.625,-0.5,0.625,24.75,24.25,25.375,24.75,0.625,-0.0625,-0.6875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0050,AB,False,-0.75,-0.75,0.75,24.5,24.5,25.25,25.25,0.0,-0.375,-0.375,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0050,BA,True,0.0,-0.125,0.0,25.625,25.125,25.625,25.25,0.5,-0.375,-0.375,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0051,AB,False,-1.0,-1.0,1.0,24.0,23.75,25.0,24.75,0.25,0.0,-1.0,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0051,BA,False,-1.0,-0.875,1.0,24.0,24.125,25.0,25.0,0.125,0.0,-1.0,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0052,AB,False,-0.5,-0.625,0.5,24.375,24.125,24.875,24.75,0.25,0.875,-1.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0052,BA,False,-2.25,-2.0,2.25,22.875,23.25,25.125,25.25,0.375,0.875,-1.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0053,AB,False,-0.625,-0.5,0.625,24.625,24.75,25.25,25.25,0.125,0.0,-0.625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0053,BA,False,-0.625,-0.625,0.625,24.875,24.625,25.5,25.25,0.25,0.0,-0.625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0054,AB,False,-0.5,-0.625,0.5,24.875,24.5,25.375,25.125,0.375,0.0,-0.5,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0054,BA,False,-0.5,-0.5,0.5,24.75,24.25,25.25,24.75,0.5,0.0,-0.5,True,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0055,AB,False,-1.625,-1.375,1.625,23.25,23.375,24.875,24.75,0.125,-1.4375,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0055,BA,False,1.25,1.25,1.25,26.125,26.375,24.875,25.125,0.25,-1.4375,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0056,AB,False,-1.875,-1.875,1.875,23.0,22.875,24.875,24.75,0.125,-0.8125,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0056,BA,True,-0.25,0.0,0.25,24.875,25.25,25.125,25.25,0.375,-0.8125,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0057,AB,False,0.625,0.625,0.625,25.75,25.75,25.125,25.125,0.0,0.9375,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0057,BA,False,-1.25,-1.25,1.25,23.75,23.875,25.0,25.125,0.125,0.9375,-0.3125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0058,AB,False,-1.5,-1.25,1.5,23.0,23.25,24.5,24.5,0.25,-1.0625,-0.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0058,BA,False,0.625,0.625,0.625,26.25,26.5,25.625,25.875,0.25,-1.0625,-0.4375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0059,AB,False,-0.25,-0.25,0.25,24.625,24.875,24.875,25.125,0.25,0.3125,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0059,BA,False,-0.875,-1.0,0.875,23.5,23.375,24.375,24.375,0.125,0.3125,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0060,AB,False,-1.125,-1.125,1.125,23.625,23.625,24.75,24.75,0.0,-0.1875,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0060,BA,False,-0.75,-0.75,0.75,24.125,24.25,24.875,25.0,0.125,-0.1875,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0061,AB,False,-1.875,-1.875,1.875,23.0,22.875,24.875,24.75,0.125,-0.8125,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0061,BA,False,-0.25,-0.375,0.25,24.875,24.875,25.125,25.25,0.125,-0.8125,-1.0625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0062,AB,False,-0.75,-0.875,0.75,24.875,24.625,25.625,25.5,0.25,-0.5625,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0062,BA,False,0.375,0.375,0.375,26.5,26.375,26.125,26.0,0.125,-0.5625,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0063,AB,False,-0.125,-0.125,0.125,25.25,25.25,25.375,25.375,0.0,0.875,-1.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0063,BA,False,-1.875,-2.0,1.875,23.125,22.625,25.0,24.625,0.5,0.875,-1.0,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0064,AB,False,0.125,0.0,0.125,25.375,25.25,25.25,25.25,0.125,0.5,-0.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0064,BA,False,-0.875,-0.75,0.875,24.625,24.625,25.5,25.375,0.125,0.5,-0.375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0065,AB,False,1.0,1.0,1.0,26.25,26.125,25.25,25.125,0.125,1.5625,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0065,BA,False,-2.125,-2.125,2.125,22.625,22.5,24.75,24.625,0.125,1.5625,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0066,AB,False,2.0,1.625,2.0,26.25,26.0,24.25,24.375,0.25,3.125,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0066,BA,False,-4.25,-4.375,4.25,21.625,21.5,25.875,25.875,0.125,3.125,-1.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0067,AB,False,-0.375,-0.375,0.375,25.125,25.375,25.5,25.75,0.25,-0.1875,-0.1875,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0067,BA,False,0.0,0.125,0.0,25.875,26.125,25.875,26.0,0.25,-0.1875,-0.1875,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0068,AB,False,-2.25,-2.25,2.25,23.125,23.125,25.375,25.375,0.0,-1.625,-0.625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0068,BA,False,1.0,1.125,1.0,26.25,26.125,25.25,25.0,0.25,-1.625,-0.625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0069,AB,False,-2.75,-2.625,2.75,22.5,22.75,25.25,25.375,0.25,-1.5625,-1.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0069,BA,False,0.375,0.375,0.375,26.0,26.0,25.625,25.625,0.0,-1.5625,-1.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0070,AB,False,0.375,0.25,0.375,25.75,25.625,25.375,25.375,0.125,1.1875,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0070,BA,False,-2.0,-2.125,2.0,22.875,22.5,24.875,24.625,0.375,1.1875,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0071,AB,True,-0.125,0.0,0.125,25.375,25.25,25.5,25.25,0.25,0.4375,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0071,BA,False,-1.0,-1.0,1.0,24.25,24.0,25.25,25.0,0.25,0.4375,-0.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0072,AB,False,-0.375,-0.375,0.375,24.75,24.875,25.125,25.25,0.125,0.5625,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0072,BA,False,-1.5,-1.5,1.5,23.5,23.125,25.0,24.625,0.375,0.5625,-0.9375,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0073,AB,False,-1.25,-1.25,1.25,23.625,23.625,24.875,24.875,0.0,-0.75,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0073,BA,False,0.25,0.25,0.25,25.5,25.375,25.25,25.125,0.125,-0.75,-0.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0074,AB,False,-0.125,-0.125,0.125,25.125,25.125,25.25,25.25,0.0,0.6875,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0074,BA,False,-1.5,-1.375,1.5,23.25,23.25,24.75,24.625,0.125,0.6875,-0.8125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0075,AB,False,0.0,0.125,0.0,25.375,25.5,25.375,25.375,0.125,0.5,-0.5,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0075,BA,False,-1.0,-1.125,1.0,24.375,24.25,25.375,25.375,0.125,0.5,-0.5,False,True
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0076,AB,True,0.125,-0.25,0.125,25.125,24.75,25.0,25.0,0.375,0.3125,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0076,BA,False,-0.5,-0.625,0.5,25.125,24.875,25.625,25.5,0.25,0.3125,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0077,AB,False,-3.375,-3.5,3.375,22.5,22.75,25.875,26.25,0.375,-1.8125,-1.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0077,BA,False,0.25,0.375,0.25,25.125,25.5,24.875,25.125,0.375,-1.8125,-1.5625,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0078,AB,False,-3.5,-3.125,3.5,21.625,21.875,25.125,25.0,0.25,-2.0,-1.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0078,BA,False,0.5,0.5,0.5,25.5,25.875,25.0,25.375,0.375,-2.0,-1.5,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0079,AB,False,-3.375,-3.375,3.375,22.125,22.25,25.5,25.625,0.125,-2.1875,-1.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0079,BA,False,1.0,1.5,1.0,26.125,26.5,25.125,25.0,0.375,-2.1875,-1.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0080,AB,False,-0.625,-0.625,0.625,24.125,24.25,24.75,24.875,0.125,-0.5,-0.125,False,False
Qwen/Qwen2.5-VL-7B-Instruct,java,u3_0080,BA,False,0.375,0.25,0.375,26.375,26.25,26.0,26.0,0.125,-0.5,-0.125,False,False
