experiment,model,language,condition,n,strict_valid_rate,strict_effective_accuracy,strict_valid_accuracy,debiased_accuracy,debiased_tie_rate,debiased_minus_effective,median_abs_b,median_abs_c,mean_abs_b,mean_abs_c
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap80__lnon,1000,0.673,0.342,0.5081723625557206,0.489,0.022,0.14699999999999996,0.375,0.6875,0.456625,0.822125
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap60__lnon,1000,0.512,0.278,0.54296875,0.523,0.028,0.245,0.625,0.625,0.65975,0.803125
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs20__wrap80__lnon,1000,0.633,0.293,0.4628751974723539,0.474,0.023,0.181,0.53125,0.8125,0.5903125,0.9360625
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap60__lnon,1000,0.539,0.293,0.5435992578849722,0.518,0.03,0.22500000000000003,0.625,0.6875,0.67125,0.8455
grid,OpenGVLab/InternVL3-8B,java,monokai_dark__fs24__wrap80__lnon,1000,0.668,0.324,0.48502994011976047,0.478,0.02,0.15399999999999997,0.5,0.8125,0.5728125,0.9554375
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap60__lnon,1000,0.363,0.175,0.4820936639118457,0.5,0.02,0.325,1.0625,0.75,1.06725,0.893375
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs20__wrap80__lnon,1000,0.413,0.21,0.5084745762711864,0.514,0.041,0.30400000000000005,0.75,0.6875,0.8160625,0.7860625
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap60__lnon,1000,0.373,0.178,0.4772117962466488,0.509,0.022,0.331,1.0,0.75,1.0378125,0.8920625
grid,OpenGVLab/InternVL3-8B,python,friendly_light__fs24__wrap80__lnon,1000,0.403,0.205,0.5086848635235732,0.508,0.029,0.30300000000000005,0.8125,0.625,0.834875,0.7915
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap60__lnon,1000,0.37,0.173,0.46756756756756757,0.499,0.021,0.326,1.0,0.6875,0.9935,0.86225
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs20__wrap80__lnon,1000,0.434,0.217,0.5,0.504,0.027,0.28700000000000003,0.6875,0.625,0.7361875,0.7600625
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap60__lnon,1000,0.398,0.193,0.4849246231155779,0.507,0.02,0.314,0.9375,0.6875,0.9516875,0.8698125
grid,OpenGVLab/InternVL3-8B,python,mono_light__fs24__wrap80__lnon,1000,0.407,0.218,0.5356265356265356,0.527,0.033,0.30900000000000005,0.75,0.625,0.7794375,0.7745625
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap60__lnon,1000,0.384,0.169,0.4401041666666667,0.493,0.025,0.32399999999999995,1.0625,0.75,1.0475,0.95825
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,1000,0.457,0.211,0.4617067833698031,0.494,0.035,0.28300000000000003,0.8125,0.6875,0.863,0.91275
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap60__lnon,1000,0.377,0.162,0.4297082228116711,0.492,0.018,0.32999999999999996,1.0625,0.75,1.0830625,0.9803125
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs24__wrap80__lnon,1000,0.453,0.229,0.5055187637969095,0.515,0.028,0.28600000000000003,0.875,0.6875,0.8895,0.93425
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap60__lnon,1000,0.571,0.452,0.7915936952714536,0.686,0.018,0.23400000000000004,0.625,0.75,0.6840625,0.8685625
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs20__wrap80__lnon,1000,0.571,0.442,0.7740805604203153,0.685,0.021,0.24300000000000005,0.625,0.6875,0.6601875,0.8276875
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap60__lnon,1000,0.611,0.464,0.7594108019639935,0.674,0.025,0.21000000000000002,0.5625,0.75,0.64725,0.886125
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,friendly_light__fs24__wrap80__lnon,1000,0.648,0.496,0.7654320987654321,0.683,0.021,0.18700000000000006,0.5,0.6875,0.5343125,0.8484375
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap60__lnon,1000,0.547,0.441,0.8062157221206582,0.696,0.022,0.25499999999999995,0.6875,0.75,0.75025,0.850375
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs20__wrap80__lnon,1000,0.53,0.409,0.7716981132075472,0.684,0.021,0.2750000000000001,0.75,0.6875,0.74475,0.837125
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap60__lnon,1000,0.564,0.443,0.7854609929078015,0.68,0.022,0.23700000000000004,0.6875,0.75,0.724625,0.8865
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,mono_light__fs24__wrap80__lnon,1000,0.649,0.497,0.765793528505393,0.68,0.025,0.18300000000000005,0.5,0.75,0.5646875,0.8598125
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap60__lnon,1000,0.616,0.469,0.7613636363636364,0.674,0.021,0.20500000000000007,0.5625,0.75,0.6024375,0.8810625
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,1000,0.627,0.482,0.7687400318979266,0.68,0.025,0.19800000000000006,0.5,0.6875,0.5693125,0.8311875
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap60__lnon,1000,0.641,0.483,0.7535101404056163,0.675,0.02,0.19200000000000006,0.53125,0.75,0.5995625,0.9026875
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs24__wrap80__lnon,1000,0.703,0.525,0.7467994310099573,0.679,0.022,0.15400000000000003,0.375,0.6875,0.4295625,0.8286875
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap60__lnon,1000,0.472,0.303,0.6419491525423728,0.587,0.023,0.284,0.8125,0.625,0.8010625,0.7876875
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs20__wrap80__lnon,1000,0.494,0.32,0.6477732793522267,0.589,0.028,0.26899999999999996,0.75,0.625,0.7688125,0.7800625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap60__lnon,1000,0.476,0.299,0.6281512605042017,0.613,0.024,0.314,0.75,0.6875,0.800625,0.8135
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,friendly_light__fs24__wrap80__lnon,1000,0.597,0.384,0.6432160804020101,0.6,0.021,0.21599999999999997,0.5625,0.65625,0.5763125,0.7834375
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap60__lnon,1000,0.461,0.288,0.6247288503253796,0.593,0.017,0.305,0.8125,0.6875,0.8555625,0.8010625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs20__wrap80__lnon,1000,0.5,0.327,0.654,0.595,0.033,0.26799999999999996,0.75,0.625,0.801375,0.79125
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs24__wrap60__lnon,1000,0.46,0.284,0.6173913043478261,0.585,0.028,0.301,0.875,0.6875,0.919375,0.844625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,mono_light__fs24__wrap80__lnon,1000,0.589,0.377,0.6400679117147708,0.59,0.025,0.21299999999999997,0.5625,0.625,0.593125,0.80475
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap60__lnon,1000,0.523,0.332,0.6347992351816444,0.593,0.018,0.26099999999999995,0.6875,0.6875,0.74575,0.79425
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,1000,0.514,0.331,0.6439688715953308,0.594,0.03,0.26299999999999996,0.6875,0.625,0.70225,0.749625
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs24__wrap60__lnon,1000,0.528,0.323,0.6117424242424242,0.6,0.021,0.27699999999999997,0.6875,0.6875,0.71775,0.819
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs24__wrap80__lnon,1000,0.635,0.411,0.647244094488189,0.611,0.033,0.2,0.4375,0.625,0.4993125,0.7753125
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs20__wrap60__lnon,1000,0.412,0.322,0.7815533980582524,0.653,0.026,0.331,1.0,0.6875,1.002125,0.8405
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs20__wrap80__lnon,1000,0.424,0.322,0.7594339622641509,0.672,0.022,0.35000000000000003,0.9375,0.6875,0.9526875,0.8178125
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs24__wrap60__lnon,1000,0.422,0.323,0.7654028436018957,0.647,0.017,0.324,1.0,0.6875,0.9878125,0.8483125
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,friendly_light__fs24__wrap80__lnon,1000,0.51,0.361,0.707843137254902,0.66,0.026,0.29900000000000004,0.75,0.6875,0.7621875,0.7764375
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs20__wrap60__lnon,1000,0.426,0.334,0.784037558685446,0.652,0.02,0.318,1.0,0.6875,0.9959375,0.8348125
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs20__wrap80__lnon,1000,0.429,0.34,0.7925407925407926,0.673,0.023,0.333,0.9375,0.6875,0.978875,0.82625
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs24__wrap60__lnon,1000,0.394,0.301,0.7639593908629442,0.638,0.022,0.337,1.0,0.6875,1.0568125,0.8254375
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,mono_light__fs24__wrap80__lnon,1000,0.503,0.357,0.709741550695825,0.652,0.017,0.29500000000000004,0.75,0.6875,0.76425,0.79275
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap60__lnon,1000,0.471,0.35,0.7430997876857749,0.657,0.027,0.30700000000000005,0.875,0.6875,0.8650625,0.8201875
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,1000,0.43,0.327,0.7604651162790698,0.667,0.024,0.34,0.875,0.625,0.87175,0.778
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs24__wrap60__lnon,1000,0.433,0.332,0.766743648960739,0.663,0.021,0.331,0.875,0.6875,0.91475,0.816125
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs24__wrap80__lnon,1000,0.556,0.411,0.7392086330935251,0.67,0.028,0.25900000000000006,0.625,0.6875,0.6795625,0.7886875
perturbation,OpenGVLab/InternVL3-8B,cuda,baseline,1000,0.306,0.163,0.5326797385620915,0.549,0.035,0.386,0.875,0.5625,0.9340625,0.7133125
perturbation,OpenGVLab/InternVL3-8B,cuda,gaussian_sigma_1,1000,0.323,0.19,0.5882352941176471,0.579,0.044,0.38899999999999996,0.8125,0.5,0.8505625,0.7123125
perturbation,OpenGVLab/InternVL3-8B,cuda,gaussian_sigma_2,1000,0.411,0.226,0.5498783454987834,0.579,0.039,0.353,0.625,0.5,0.7093125,0.7424375
perturbation,OpenGVLab/InternVL3-8B,cuda,gaussian_sigma_4,1000,0.638,0.397,0.622257053291536,0.578,0.018,0.18099999999999994,0.625,0.875,0.7358125,1.1606875
perturbation,OpenGVLab/InternVL3-8B,cuda,no_blank_lines,1000,0.357,0.186,0.5210084033613446,0.546,0.046,0.36000000000000004,0.75,0.5,0.8145625,0.6784375
perturbation,OpenGVLab/InternVL3-8B,cuda,no_indent,1000,0.363,0.184,0.5068870523415978,0.553,0.028,0.36900000000000005,0.8125,0.5625,0.8593125,0.7720625
perturbation,OpenGVLab/InternVL3-8B,java,baseline,1000,0.633,0.293,0.4628751974723539,0.474,0.023,0.181,0.53125,0.8125,0.5903125,0.9360625
perturbation,OpenGVLab/InternVL3-8B,java,gaussian_sigma_1,1000,0.659,0.318,0.48254931714719274,0.489,0.018,0.17099999999999999,0.4375,0.75,0.5206875,0.8968125
perturbation,OpenGVLab/InternVL3-8B,java,gaussian_sigma_2,1000,0.733,0.371,0.5061391541609823,0.471,0.032,0.09999999999999998,0.3125,0.6875,0.4175625,0.8475625
perturbation,OpenGVLab/InternVL3-8B,java,gaussian_sigma_4,1000,0.62,0.314,0.5064516129032258,0.493,0.029,0.179,0.625,0.75,0.7496875,0.9953125
perturbation,OpenGVLab/InternVL3-8B,java,no_blank_lines,1000,0.668,0.315,0.47155688622754494,0.466,0.034,0.15100000000000002,0.4375,0.75,0.5099375,0.9083125
perturbation,OpenGVLab/InternVL3-8B,java,no_indent,1000,0.701,0.32,0.456490727532097,0.463,0.021,0.14300000000000002,0.4375,0.8125,0.5331875,0.9789375
perturbation,OpenGVLab/InternVL3-8B,python,baseline,1000,0.457,0.211,0.4617067833698031,0.494,0.035,0.28300000000000003,0.8125,0.6875,0.863,0.91275
perturbation,OpenGVLab/InternVL3-8B,python,gaussian_sigma_1,1000,0.498,0.242,0.4859437751004016,0.49,0.026,0.248,0.5625,0.625,0.6785,0.813375
perturbation,OpenGVLab/InternVL3-8B,python,gaussian_sigma_2,1000,0.589,0.304,0.5161290322580645,0.509,0.034,0.20500000000000002,0.4375,0.5625,0.5223125,0.7655625
perturbation,OpenGVLab/InternVL3-8B,python,gaussian_sigma_4,1000,0.602,0.364,0.6046511627906976,0.564,0.016,0.19999999999999996,0.5625,0.8125,0.7718125,0.9685625
perturbation,OpenGVLab/InternVL3-8B,python,no_blank_lines,1000,0.523,0.261,0.49904397705544934,0.5,0.029,0.239,0.5625,0.625,0.6353125,0.8255625
perturbation,OpenGVLab/InternVL3-8B,python,no_indent,1000,0.518,0.255,0.4922779922779923,0.513,0.022,0.258,0.75,0.75,0.82275,0.9955
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,baseline,1000,0.627,0.482,0.7687400318979266,0.68,0.025,0.19800000000000006,0.5,0.6875,0.5693125,0.8311875
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,gaussian_sigma_1,1000,0.595,0.47,0.7899159663865546,0.694,0.024,0.22399999999999998,0.5625,0.6875,0.6013125,0.8115625
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,gaussian_sigma_2,1000,0.56,0.437,0.7803571428571429,0.677,0.025,0.24000000000000005,0.625,0.6875,0.6385,0.7785
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,gaussian_sigma_4,1000,0.489,0.356,0.7280163599182005,0.616,0.054,0.26,0.4375,0.375,0.4691875,0.4945625
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,no_blank_lines,1000,0.548,0.421,0.7682481751824818,0.682,0.027,0.26100000000000007,0.625,0.6875,0.67375,0.82325
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,no_indent,1000,0.594,0.466,0.7845117845117845,0.697,0.026,0.23099999999999993,0.5625,0.625,0.5874375,0.7661875
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,baseline,1000,0.514,0.331,0.6439688715953308,0.594,0.03,0.26299999999999996,0.6875,0.625,0.70225,0.749625
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,gaussian_sigma_1,1000,0.52,0.331,0.6365384615384615,0.57,0.037,0.23899999999999993,0.6875,0.625,0.6801875,0.7303125
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,gaussian_sigma_2,1000,0.523,0.331,0.6328871892925431,0.584,0.025,0.25299999999999995,0.75,0.625,0.737375,0.756875
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,gaussian_sigma_4,1000,0.352,0.195,0.5539772727272727,0.538,0.042,0.343,0.625,0.375,0.6305625,0.4850625
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,no_blank_lines,1000,0.474,0.307,0.6476793248945147,0.602,0.03,0.295,0.6875,0.59375,0.7470625,0.7190625
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,no_indent,1000,0.49,0.304,0.6204081632653061,0.605,0.02,0.301,0.75,0.6875,0.76225,0.773375
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,baseline,1000,0.43,0.327,0.7604651162790698,0.667,0.024,0.34,0.875,0.625,0.87175,0.778
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,gaussian_sigma_1,1000,0.431,0.341,0.7911832946635731,0.661,0.031,0.32,0.875,0.625,0.885125,0.778875
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,gaussian_sigma_2,1000,0.451,0.337,0.7472283813747228,0.644,0.024,0.307,0.8125,0.625,0.8510625,0.7696875
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,gaussian_sigma_4,1000,0.433,0.335,0.7736720554272517,0.667,0.032,0.332,0.75,0.5625,0.75475,0.662
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,no_blank_lines,1000,0.391,0.287,0.7340153452685422,0.651,0.035,0.36400000000000005,0.9375,0.65625,0.95225,0.760125
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,no_indent,1000,0.42,0.315,0.75,0.66,0.028,0.34500000000000003,0.90625,0.6875,0.917,0.762125
