experiment,model,language,condition,abs_c_decile,n,abs_c_min,abs_c_median,abs_c_max,debiased_accuracy,strict_valid_rate,strict_valid_only_accuracy
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,8,100,0.875,0.9375,1.0625,0.57,0.53,0.5094339622641509
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,9,100,1.0625,1.25,1.375,0.59,0.67,0.5522388059701493
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs20__wrap80__lnon,10,100,1.375,1.65625,2.5,0.58,0.81,0.5925925925925926
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,1,100,0.0,0.0625,0.0625,0.33,0.01,0.0
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,2,100,0.0625,0.125,0.1875,0.56,0.07,0.2857142857142857
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,3,100,0.1875,0.25,0.3125,0.62,0.06,0.5
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,4,100,0.3125,0.375,0.4375,0.56,0.16,0.5
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,5,100,0.4375,0.5,0.5625,0.58,0.12,0.5
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,6,100,0.5625,0.625,0.6875,0.56,0.19,0.47368421052631576
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,7,100,0.6875,0.8125,0.875,0.49,0.29,0.41379310344827586
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,8,100,0.875,1.0625,1.1875,0.59,0.52,0.5
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,9,100,1.1875,1.375,1.5625,0.55,0.72,0.4722222222222222
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap60__lnon,10,100,1.5625,1.875,3.6875,0.6,0.94,0.5957446808510638
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,1,100,0.0,0.0625,0.0625,0.36,0.0,
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,2,100,0.0625,0.125,0.1875,0.52,0.02,1.0
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,3,100,0.1875,0.25,0.3125,0.58,0.06,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,4,100,0.3125,0.375,0.4375,0.56,0.08,0.5
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,5,100,0.4375,0.5,0.5625,0.71,0.25,0.76
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,6,100,0.5625,0.625,0.6875,0.59,0.2,0.65
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,7,100,0.6875,0.75,0.875,0.54,0.41,0.4634146341463415
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,8,100,0.875,1.0,1.125,0.6,0.58,0.5517241379310345
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,9,100,1.125,1.25,1.5,0.6,0.74,0.5945945945945946
grid,OpenGVLab/InternVL3-8B,cuda,friendly_light__fs24__wrap80__lnon,10,100,1.5,1.8125,2.75,0.55,0.88,0.5681818181818182
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,1,100,0.0,0.0625,0.125,0.28,0.01,0.0
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,2,100,0.125,0.125,0.1875,0.6,0.0,
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,3,100,0.1875,0.25,0.3125,0.57,0.07,0.5714285714285714
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,4,100,0.3125,0.375,0.4375,0.58,0.11,0.6363636363636364
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,5,100,0.4375,0.4375,0.5,0.62,0.15,0.6
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,6,100,0.5,0.625,0.6875,0.65,0.21,0.47619047619047616
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,7,100,0.6875,0.78125,0.875,0.54,0.32,0.40625
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,8,100,0.875,1.0,1.125,0.63,0.42,0.5952380952380952
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,9,100,1.125,1.3125,1.5625,0.54,0.68,0.45588235294117646
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap60__lnon,10,100,1.5625,1.90625,3.375,0.56,0.93,0.5483870967741935
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.29,0.0,
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,2,100,0.125,0.125,0.1875,0.55,0.04,0.75
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,3,100,0.1875,0.25,0.3125,0.54,0.07,0.5714285714285714
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,4,100,0.3125,0.375,0.4375,0.63,0.12,0.75
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,5,100,0.4375,0.5,0.5625,0.53,0.21,0.47619047619047616
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,6,100,0.5625,0.625,0.75,0.6,0.27,0.48148148148148145
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,7,100,0.75,0.8125,0.875,0.54,0.43,0.4418604651162791
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,8,100,0.875,1.0,1.0625,0.65,0.6,0.6166666666666667
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,9,100,1.0625,1.25,1.375,0.52,0.67,0.5223880597014925
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs20__wrap80__lnon,10,100,1.375,1.6875,3.0,0.61,0.84,0.5952380952380952
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,1,100,0.0,0.0625,0.125,0.29,0.0,
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,2,100,0.125,0.125,0.1875,0.52,0.03,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,3,100,0.1875,0.25,0.3125,0.51,0.07,0.7142857142857143
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,4,100,0.3125,0.375,0.4375,0.6,0.06,0.16666666666666666
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,5,100,0.4375,0.4375,0.5,0.65,0.16,0.4375
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,6,100,0.5,0.5625,0.6875,0.59,0.21,0.38095238095238093
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,7,100,0.6875,0.75,0.875,0.61,0.24,0.5416666666666666
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,8,100,0.875,1.0,1.125,0.66,0.52,0.5192307692307693
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,9,100,1.125,1.3125,1.5625,0.55,0.76,0.4868421052631579
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap60__lnon,10,100,1.5625,1.875,3.25,0.51,0.93,0.5161290322580645
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,1,100,0.0,0.0625,0.125,0.3,0.0,
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,2,100,0.125,0.1875,0.1875,0.56,0.03,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,3,100,0.1875,0.25,0.3125,0.53,0.09,0.5555555555555556
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,4,100,0.3125,0.375,0.375,0.55,0.12,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,5,100,0.375,0.5,0.5,0.56,0.18,0.7222222222222222
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,6,100,0.5,0.625,0.6875,0.66,0.28,0.6785714285714286
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,7,100,0.6875,0.75,0.9375,0.61,0.44,0.5909090909090909
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,8,100,0.9375,1.03125,1.125,0.63,0.58,0.6379310344827587
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,9,100,1.125,1.3125,1.5,0.54,0.82,0.5487804878048781
grid,OpenGVLab/InternVL3-8B,cuda,mono_light__fs24__wrap80__lnon,10,100,1.5,1.78125,2.8125,0.55,0.92,0.5543478260869565
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,1,100,0.0,0.0625,0.0625,0.37,0.0,
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,2,100,0.0625,0.125,0.1875,0.53,0.04,0.0
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,3,100,0.1875,0.25,0.3125,0.7,0.03,0.3333333333333333
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,4,100,0.3125,0.375,0.4375,0.62,0.06,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,5,100,0.4375,0.5,0.5625,0.57,0.12,0.4166666666666667
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,6,100,0.625,0.6875,0.75,0.56,0.18,0.4444444444444444
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,7,100,0.75,0.875,1.0,0.62,0.31,0.5483870967741935
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,8,100,1.0,1.125,1.3125,0.54,0.54,0.46296296296296297
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,9,100,1.3125,1.5,1.8125,0.59,0.82,0.5487804878048781
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap60__lnon,10,100,1.8125,2.09375,3.625,0.53,0.95,0.5157894736842106
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.39,0.02,0.5
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,2,100,0.125,0.1875,0.1875,0.48,0.05,0.6
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,3,100,0.1875,0.25,0.3125,0.51,0.06,0.8333333333333334
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,4,100,0.3125,0.375,0.4375,0.64,0.08,0.875
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,5,100,0.4375,0.5,0.5625,0.61,0.17,0.5882352941176471
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,6,100,0.5625,0.625,0.6875,0.63,0.27,0.48148148148148145
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,7,100,0.6875,0.8125,0.9375,0.57,0.33,0.6363636363636364
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,8,100,0.9375,1.0625,1.125,0.54,0.44,0.5
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,9,100,1.125,1.3125,1.5625,0.67,0.69,0.5797101449275363
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs20__wrap80__lnon,10,100,1.5625,1.90625,3.0,0.45,0.95,0.43157894736842106
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,1,100,0.0,0.0625,0.125,0.33,0.03,0.3333333333333333
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,2,100,0.125,0.125,0.1875,0.54,0.05,0.4
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,3,100,0.1875,0.25,0.3125,0.54,0.04,0.25
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,4,100,0.3125,0.375,0.4375,0.67,0.05,0.6
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,5,100,0.4375,0.5,0.5625,0.61,0.08,0.5
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,6,100,0.5625,0.6875,0.75,0.52,0.18,0.4444444444444444
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,7,100,0.75,0.8125,0.9375,0.58,0.3,0.5
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,8,100,1.0,1.125,1.25,0.59,0.54,0.5185185185185185
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,9,100,1.25,1.4375,1.75,0.52,0.72,0.4444444444444444
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap60__lnon,10,100,1.8125,2.0625,4.0625,0.55,0.98,0.5510204081632653
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,1,100,0.0,0.0625,0.125,0.36,0.01,1.0
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,2,100,0.125,0.125,0.1875,0.57,0.03,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,3,100,0.1875,0.25,0.3125,0.6,0.07,0.5714285714285714
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,4,100,0.3125,0.375,0.4375,0.6,0.12,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,5,100,0.4375,0.5,0.5625,0.68,0.13,0.7692307692307693
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,6,100,0.5625,0.625,0.75,0.51,0.2,0.5
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,7,100,0.75,0.8125,0.9375,0.59,0.35,0.5714285714285714
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,8,100,0.9375,1.0625,1.1875,0.64,0.53,0.6226415094339622
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,9,100,1.1875,1.375,1.625,0.6,0.74,0.581081081081081
grid,OpenGVLab/InternVL3-8B,cuda,monokai_dark__fs24__wrap80__lnon,10,100,1.625,1.9375,3.0625,0.42,0.94,0.3829787234042553
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,1,100,0.0,0.0625,0.125,0.32,0.0,
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,2,100,0.125,0.1875,0.25,0.57,0.1,0.2
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,3,100,0.25,0.25,0.3125,0.63,0.2,0.7
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,4,100,0.3125,0.4375,0.5,0.46,0.27,0.5925925925925926
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,5,100,0.5,0.5625,0.625,0.59,0.43,0.5813953488372093
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,6,100,0.625,0.6875,0.8125,0.54,0.56,0.5178571428571429
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,7,100,0.8125,0.875,0.9375,0.5,0.74,0.5405405405405406
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,8,100,0.9375,1.0625,1.1875,0.51,0.8,0.5625
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,9,100,1.1875,1.375,1.5625,0.5,0.89,0.48314606741573035
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap60__lnon,10,100,1.5625,1.9375,3.875,0.61,0.98,0.6224489795918368
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.33,0.11,0.45454545454545453
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,2,100,0.125,0.1875,0.3125,0.5,0.27,0.4444444444444444
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,3,100,0.3125,0.375,0.4375,0.56,0.5,0.54
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,4,100,0.4375,0.5,0.5625,0.51,0.63,0.47619047619047616
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,5,100,0.5625,0.625,0.6875,0.51,0.58,0.5344827586206896
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,6,100,0.6875,0.8125,0.875,0.42,0.66,0.3787878787878788
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,7,100,0.875,1.0,1.0625,0.5,0.81,0.5061728395061729
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,8,100,1.0625,1.21875,1.375,0.46,0.85,0.47058823529411764
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,9,100,1.375,1.5,1.6875,0.47,0.95,0.4842105263157895
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs20__wrap80__lnon,10,100,1.6875,1.9375,3.6875,0.49,0.98,0.4897959183673469
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,1,100,0.0,0.0625,0.125,0.38,0.04,0.5
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,2,100,0.125,0.1875,0.1875,0.46,0.13,0.46153846153846156
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,3,100,0.1875,0.25,0.3125,0.56,0.21,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,4,100,0.3125,0.375,0.4375,0.47,0.33,0.45454545454545453
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,5,100,0.4375,0.53125,0.625,0.56,0.44,0.5681818181818182
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,6,100,0.625,0.6875,0.8125,0.6,0.61,0.7213114754098361
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,7,100,0.8125,0.90625,1.0,0.42,0.76,0.4342105263157895
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,8,100,1.0,1.125,1.25,0.45,0.88,0.42045454545454547
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,9,100,1.25,1.375,1.6875,0.49,0.93,0.4731182795698925
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap60__lnon,10,100,1.6875,1.9375,4.0625,0.68,0.99,0.6767676767676768
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,1,100,0.0,0.0625,0.125,0.36,0.11,0.5454545454545454
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,2,100,0.125,0.1875,0.25,0.41,0.3,0.36666666666666664
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,3,100,0.25,0.375,0.4375,0.42,0.38,0.42105263157894735
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,4,100,0.4375,0.5,0.5625,0.59,0.56,0.625
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,5,100,0.5625,0.625,0.75,0.52,0.73,0.547945205479452
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,6,100,0.75,0.8125,0.875,0.59,0.79,0.5569620253164557
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,7,100,0.875,1.0,1.125,0.44,0.84,0.4642857142857143
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,8,100,1.125,1.25,1.375,0.44,0.89,0.4157303370786517
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,9,100,1.375,1.53125,1.75,0.44,0.98,0.4387755102040816
grid,OpenGVLab/InternVL3-8B,java,friendly_light__fs24__wrap80__lnon,10,100,1.75,2.03125,3.5625,0.53,0.99,0.5353535353535354
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,1,100,0.0,0.0625,0.125,0.3,0.03,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,2,100,0.125,0.15625,0.1875,0.58,0.08,0.625
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,3,100,0.1875,0.25,0.3125,0.54,0.18,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,4,100,0.3125,0.375,0.4375,0.52,0.25,0.52
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,5,100,0.4375,0.5,0.5625,0.55,0.42,0.4523809523809524
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,6,100,0.5625,0.625,0.6875,0.51,0.49,0.5510204081632653
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,7,100,0.6875,0.8125,0.9375,0.61,0.77,0.6363636363636364
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,8,100,0.9375,1.0625,1.1875,0.46,0.85,0.4588235294117647
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,9,100,1.1875,1.3125,1.5,0.47,0.93,0.45161290322580644
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap60__lnon,10,100,1.5,1.8125,3.875,0.7,0.95,0.7052631578947368
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,1,100,0.0,0.0625,0.125,0.37,0.08,0.375
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,2,100,0.125,0.1875,0.25,0.51,0.31,0.5161290322580645
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,3,100,0.25,0.3125,0.375,0.48,0.46,0.5434782608695652
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,4,100,0.375,0.5,0.5625,0.53,0.58,0.5689655172413793
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,5,100,0.5625,0.625,0.75,0.47,0.82,0.5121951219512195
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,6,100,0.75,0.8125,0.875,0.6,0.75,0.5733333333333334
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,7,100,0.875,1.0,1.0625,0.4,0.93,0.40860215053763443
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,8,100,1.0625,1.1875,1.3125,0.43,0.88,0.42045454545454547
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,9,100,1.3125,1.5,1.625,0.51,0.97,0.5051546391752577
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs20__wrap80__lnon,10,100,1.625,1.96875,3.8125,0.55,1.0,0.55
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,1,100,0.0,0.0625,0.125,0.36,0.01,1.0
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,2,100,0.125,0.1875,0.25,0.44,0.06,0.6666666666666666
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,3,100,0.25,0.25,0.3125,0.61,0.23,0.782608695652174
grid,OpenGVLab/InternVL3-8B,java,mono_light__fs24__wrap60__lnon,4,100,0.3125,0.375,0.4375,0.53,0.32,0.53125
