judge,language,metric,point,ci_low,ci_high,n_pairs
InternVL3.5-8B,java,S,0.31366666666666665,0.2742758960210689,0.35652611477766516,3000
InternVL3.5-8B,python,valid,0.7134502923976608,0.6261567687871271,0.7915218960906236,3000
InternVL3.5-8B,python,E,0.44733333333333336,0.37364763165530246,0.5184567353101575,3000
InternVL3.5-8B,python,D,0.6586666666666666,0.5914283509815172,0.720877975272069,3000
InternVL3.5-8B,python,S,0.373,0.3082401349494888,0.4420464602275364,3000
InternVL3.5-8B,cuda,valid,0.6592984142239308,0.5860266159695817,0.7304963150636772,3000
InternVL3.5-8B,cuda,E,0.4573333333333333,0.39320120204676046,0.5204884617092541,3000
InternVL3.5-8B,cuda,D,0.628,0.5725658519519599,0.6823022868235449,3000
InternVL3.5-8B,cuda,S,0.30633333333333335,0.2448624240688019,0.37404108542039577,3000
InternVL3.5-8B,pooled,valid,0.6568676299618004,0.6155611837293421,0.6965390191525607,9000
InternVL3.5-8B,pooled,E,0.43944444444444447,0.40392844666865074,0.4741238880775848,9000
InternVL3.5-8B,pooled,D,0.623,0.5907455022416168,0.6546936680693326,9000
InternVL3.5-8B,pooled,S,0.331,0.297801642900282,0.367063841381623,9000
InternVL3-8B,java,valid,0.46878251821019773,0.4098423480348793,0.5272332214338394,3000
InternVL3-8B,java,E,0.30033333333333334,0.25605389660485467,0.3442412282579227,3000
InternVL3-8B,java,D,0.46266666666666667,0.4182475782795552,0.507740282995074,3000
InternVL3-8B,java,S,0.35933333333333334,0.31390353781366276,0.40753059709407136,3000
InternVL3-8B,python,valid,0.4806800618238022,0.37191063168154465,0.5938039667937732,3000
InternVL3-8B,python,E,0.20733333333333334,0.15400333871535313,0.26545997180839637,3000
InternVL3-8B,python,D,0.5096666666666667,0.4390648897135243,0.5809816019612815,3000
InternVL3-8B,python,S,0.5686666666666667,0.49449391415307536,0.6457383368923989,3000
InternVL3-8B,cuda,valid,0.5449612403100775,0.44888577620181874,0.6426017042551183,3000
InternVL3-8B,cuda,E,0.23433333333333334,0.1797905980852623,0.2910483713802667,3000
InternVL3-8B,cuda,D,0.5576666666666666,0.49947041080182863,0.6156462875549947,3000
InternVL3-8B,cuda,S,0.57,0.48678564522650164,0.6555159571399728,3000
InternVL3-8B,pooled,valid,0.4940079893475366,0.4462758458646617,0.5432474960636886,9000
InternVL3-8B,pooled,E,0.24733333333333332,0.21720557582417735,0.2793757193007272,9000
InternVL3-8B,pooled,D,0.51,0.47517404376461925,0.54495742590033,9000
InternVL3-8B,pooled,S,0.49933333333333335,0.45456550142733176,0.5428139924337502,9000
Ministral-3-8B,java,valid,0.5397412199630314,0.4849702363326823,0.5928265223351619,3000
Ministral-3-8B,java,E,0.3893333333333333,0.34681834382422183,0.4325361405779087,3000
Ministral-3-8B,java,D,0.54,0.49486801534338015,0.5838219203923788,3000
Ministral-3-8B,java,S,0.2786666666666667,0.24159416231486155,0.3165593422208045,3000
Ministral-3-8B,python,valid,0.5332294911734164,0.4356131241714538,0.628180038688283,3000
Ministral-3-8B,python,E,0.3423333333333333,0.27374484059674636,0.41231151704836005,3000
Ministral-3-8B,python,D,0.5243333333333333,0.44835474323768293,0.5992775106837607,3000
Ministral-3-8B,python,S,0.358,0.2940157433856251,0.4285267473958609,3000
Ministral-3-8B,cuda,valid,0.58098223615465,0.506972778571244,0.6556443542394323,3000
Ministral-3-8B,cuda,E,0.37066666666666664,0.3154719964646011,0.4259009182312506,3000
Ministral-3-8B,cuda,D,0.5646666666666667,0.5087594796304731,0.6184681572152602,3000
Ministral-3-8B,cuda,S,0.362,0.2961111080167319,0.430941980171838,3000
Ministral-3-8B,pooled,valid,0.5507994670219853,0.5077671172289736,0.5951769040235819,9000
Ministral-3-8B,pooled,E,0.36744444444444446,0.3349335002917117,0.4008106957204184,9000
Ministral-3-8B,pooled,D,0.543,0.509022757010463,0.5772378113694541,9000
Ministral-3-8B,pooled,S,0.3328888888888889,0.29882076617700093,0.36917897966180857,9000
Phi-4-multimodal,java,valid,0.44875478927203066,0.3934252524695895,0.5041957995092937,3000
Phi-4-multimodal,java,E,0.31233333333333335,0.2700506809753272,0.3556315477570203,3000
Phi-4-multimodal,java,D,0.37866666666666665,0.3352289369721825,0.421534908056176,3000
Phi-4-multimodal,java,S,0.304,0.266710036847033,0.34197321190306396,3000
Phi-4-multimodal,python,valid,0.44601856375183196,0.3635482715986839,0.5289826427968216,3000
Phi-4-multimodal,python,E,0.30433333333333334,0.24739798083439424,0.36217947383886706,3000
Phi-4-multimodal,python,D,0.378,0.31536431215871685,0.4432049621564047,3000
Phi-4-multimodal,python,S,0.31766666666666665,0.27364585017152504,0.36521648737376683,3000
Phi-4-multimodal,cuda,valid,0.45117370892018777,0.38940310377827897,0.5134628839438519,3000
Phi-4-multimodal,cuda,E,0.32033333333333336,0.27486641580300697,0.36570900168038406,3000
Phi-4-multimodal,cuda,D,0.37833333333333335,0.3282980520235052,0.4281176397253443,3000
Phi-4-multimodal,cuda,S,0.29,0.2473717926550937,0.3349458019088544,3000
Phi-4-multimodal,pooled,valid,0.448683160415004,0.4101337651057874,0.4885291445725729,9000
Phi-4-multimodal,pooled,E,0.31233333333333335,0.28455712181128406,0.34118306065385584,9000
Phi-4-multimodal,pooled,D,0.37833333333333335,0.34803418496122274,0.40972195607614986,9000
Phi-4-multimodal,pooled,S,0.3038888888888889,0.27974642302435293,0.3287389194466158,9000
