analysis_scope,model,endpoint,condition,language_vs_java,interaction_effect,cluster_robust_se,z,p,n_rows,n_pairs,covariance,holm_p_within_model,holm_reject_0_05
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,gaussian_sigma_1,python,0.01400000000000015,0.01867764503356357,0.7495591641688375,0.45352025298180354,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,gaussian_sigma_1,cuda,-0.011999999999999508,0.017917840941359148,-0.6697235475676264,0.5030340378248792,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,gaussian_sigma_2,python,0.010000000000000044,0.02156778616362708,0.4636544485434722,0.6428953376640625,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,gaussian_sigma_2,cuda,-0.04499999999999987,0.019656217845760382,-2.289351916686549,0.022058913488011166,6000,3000,two-way clustered by snippet_i and snippet_j,0.17647130790408933,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,gaussian_sigma_4,python,0.14399999999999968,0.03970879600289836,3.6264005584427457,0.0002873994241851187,6000,3000,two-way clustered by snippet_i and snippet_j,0.002873994241851187,True
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,gaussian_sigma_4,cuda,0.00999999999999983,0.037965370536843394,0.26339792970795206,0.7922438861385661,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,no_blank_lines,python,-0.01599999999999981,0.022535385153133865,-0.7099945215613402,0.47770753347908324,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,no_blank_lines,cuda,-0.03699999999999987,0.014957195592758108,-2.4737257576490026,0.01337122936409396,6000,3000,two-way clustered by snippet_i and snippet_j,0.12034106427684564,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,no_indent,python,0.015000000000000081,0.02165083651963252,0.6928138774868305,0.4884263620993661,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,effective_accuracy,no_indent,cuda,0.011000000000000091,0.019680004115849876,0.5589429725342849,0.5762006405267478,6000,3000,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,gaussian_sigma_1,python,0.03814858844137238,0.024537897854005883,1.5546803833134595,0.1200222088181417,3117,1796,two-way clustered by snippet_i and snippet_j,0.9601776705451336,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,gaussian_sigma_1,cuda,0.028606344545496862,0.02095053564535798,1.3654230626716783,0.17212011934864802,3117,1796,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,gaussian_sigma_2,python,-0.0021550526015596556,0.022309115608015306,-0.09659964291840327,0.9230443400796835,3105,1836,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,gaussian_sigma_2,cuda,0.022698793262003473,0.020882981491485056,1.0869517492633323,0.27705813429690507,3105,1836,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,gaussian_sigma_4,python,0.10319853801623993,0.05771053920092829,1.7882095618087719,0.07374220420347743,2845,2005,two-way clustered by snippet_i and snippet_j,0.6636798378312969,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,gaussian_sigma_4,cuda,0.049267926888332036,0.048804476765536384,1.0094960576059884,0.31273679139432786,2845,2005,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,no_blank_lines,python,-0.03016022430971143,0.02671415095059714,-1.1289980492169547,0.2588986566110816,2984,1762,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,no_blank_lines,cuda,-0.004202310014628892,0.017414934336466802,-0.24130495891846526,0.8093187677762378,2984,1762,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,no_indent,python,0.013095592050954888,0.025281597108638355,0.5179891125818279,0.604465865600376,3075,1833,two-way clustered by snippet_i and snippet_j,1.0,False
pooled-Java secondary,Qwen/Qwen2.5-VL-7B-Instruct,valid_accuracy,no_indent,cuda,0.03933246094388233,0.020787233498496174,1.892145048869913,0.05847165753357089,3075,1833,two-way clustered by snippet_i and snippet_j,0.5847165753357089,False
