language,pair_id,order,parsed_choice,old_choice,margin,abs_margin
java,full_rq0_seed42__rq0_0008__rq0_0035,AB,B,A,-9.0,9.0
java,full_rq0_seed42__rq0_0008__rq0_0035,BA,A,B,1.0,1.0
java,full_rq0_seed42__rq0_0008__rq0_0061,AB,B,A,-6.5,6.5
java,full_rq0_seed42__rq0_0008__rq0_0061,BA,A,B,8.75,8.75
java,full_rq0_seed42__rq0_0008__rq0_0139,BA,B,A,-4.5,4.5
java,full_rq0_seed42__rq0_0008__rq0_0295,AB,B,A,-9.75,9.75
java,full_rq0_seed42__rq0_0008__rq0_0295,BA,A,B,5.25,5.25
java,full_rq0_seed42__rq0_0009__rq0_0080,AB,A,B,3.25,3.25
java,full_rq0_seed42__rq0_0009__rq0_0080,BA,A,B,5.75,5.75
java,full_rq0_seed42__rq0_0010__rq0_0198,AB,B,A,-5.25,5.25
java,full_rq0_seed42__rq0_0010__rq0_0217,AB,B,A,-11.25,11.25
java,full_rq0_seed42__rq0_0012__rq0_0130,AB,A,B,9.25,9.25
java,full_rq0_seed42__rq0_0012__rq0_0130,BA,A,B,4.0,4.0
java,full_rq0_seed42__rq0_0012__rq0_0149,BA,B,A,-14.75,14.75
java,full_rq0_seed42__rq0_0012__rq0_0195,AB,A,B,9.5,9.5
java,full_rq0_seed42__rq0_0013__rq0_0041,AB,B,A,-0.75,0.75
java,full_rq0_seed42__rq0_0013__rq0_0052,AB,A,B,1.25,1.25
java,full_rq0_seed42__rq0_0014__rq0_0059,AB,B,A,-6.25,6.25
java,full_rq0_seed42__rq0_0014__rq0_0078,BA,B,A,-3.75,3.75
java,full_rq0_seed42__rq0_0014__rq0_0124,AB,A,B,3.0,3.0
java,full_rq0_seed42__rq0_0014__rq0_0149,AB,A,B,12.5,12.5
java,full_rq0_seed42__rq0_0014__rq0_0215,BA,A,B,3.0,3.0
java,full_rq0_seed42__rq0_0014__rq0_0248,BA,A,B,4.25,4.25
java,full_rq0_seed42__rq0_0015__rq0_0056,AB,B,A,-1.5,1.5
java,full_rq0_seed42__rq0_0015__rq0_0181,AB,A,B,4.25,4.25
java,full_rq0_seed42__rq0_0015__rq0_0291,AB,A,B,1.75,1.75
java,full_rq0_seed42__rq0_0016__rq0_0029,AB,B,A,-6.0,6.0
java,full_rq0_seed42__rq0_0016__rq0_0029,BA,A,B,3.5,3.5
java,full_rq0_seed42__rq0_0016__rq0_0169,BA,A,B,3.25,3.25
java,full_rq0_seed42__rq0_0016__rq0_0238,BA,A,B,0.5,0.5
java,full_rq0_seed42__rq0_0016__rq0_0258,AB,B,A,-7.75,7.75
java,full_rq0_seed42__rq0_0017__rq0_0053,AB,B,A,-5.25,5.25
java,full_rq0_seed42__rq0_0017__rq0_0053,BA,A,B,0.75,0.75
java,full_rq0_seed42__rq0_0017__rq0_0064,AB,A,B,6.0,6.0
java,full_rq0_seed42__rq0_0017__rq0_0064,BA,B,A,-6.5,6.5
java,full_rq0_seed42__rq0_0017__rq0_0251,BA,A,B,5.75,5.75
java,full_rq0_seed42__rq0_0018__rq0_0027,AB,A,B,2.0,2.0
java,full_rq0_seed42__rq0_0018__rq0_0027,BA,A,B,1.25,1.25
java,full_rq0_seed42__rq0_0018__rq0_0111,AB,A,B,6.0,6.0
java,full_rq0_seed42__rq0_0018__rq0_0114,AB,A,B,3.0,3.0
java,full_rq0_seed42__rq0_0018__rq0_0202,AB,A,B,5.0,5.0
java,full_rq0_seed42__rq0_0018__rq0_0225,AB,A,B,2.25,2.25
java,full_rq0_seed42__rq0_0019__rq0_0276,BA,A,B,14.0,14.0
java,full_rq0_seed42__rq0_0020__rq0_0060,AB,B,A,-0.75,0.75
java,full_rq0_seed42__rq0_0020__rq0_0122,AB,A,B,2.0,2.0
java,full_rq0_seed42__rq0_0020__rq0_0122,BA,B,A,-2.25,2.25
java,full_rq0_seed42__rq0_0020__rq0_0129,AB,B,A,-4.25,4.25
java,full_rq0_seed42__rq0_0020__rq0_0189,AB,B,A,-2.75,2.75
java,full_rq0_seed42__rq0_0021__rq0_0041,AB,A,B,5.5,5.5
java,full_rq0_seed42__rq0_0021__rq0_0041,BA,A,B,1.25,1.25
java,full_rq0_seed42__rq0_0021__rq0_0064,AB,A,B,3.0,3.0
java,full_rq0_seed42__rq0_0021__rq0_0132,AB,A,B,12.25,12.25
java,full_rq0_seed42__rq0_0022__rq0_0048,AB,A,B,2.5,2.5
java,full_rq0_seed42__rq0_0022__rq0_0048,BA,B,A,-4.5,4.5
java,full_rq0_seed42__rq0_0022__rq0_0149,AB,A,B,16.75,16.75
java,full_rq0_seed42__rq0_0022__rq0_0149,BA,B,A,-11.0,11.0
java,full_rq0_seed42__rq0_0022__rq0_0208,AB,A,B,2.25,2.25
java,full_rq0_seed42__rq0_0022__rq0_0208,BA,A,B,3.25,3.25
java,full_rq0_seed42__rq0_0023__rq0_0137,BA,A,B,5.5,5.5
java,full_rq0_seed42__rq0_0023__rq0_0214,BA,A,B,0.25,0.25
java,full_rq0_seed42__rq0_0023__rq0_0247,BA,A,B,11.75,11.75
java,full_rq0_seed42__rq0_0024__rq0_0058,BA,A,B,8.25,8.25
java,full_rq0_seed42__rq0_0024__rq0_0259,BA,A,B,2.0,2.0
java,full_rq0_seed42__rq0_0026__rq0_0057,BA,B,A,-1.25,1.25
java,full_rq0_seed42__rq0_0026__rq0_0089,AB,B,A,-1.25,1.25
java,full_rq0_seed42__rq0_0027__rq0_0050,AB,A,B,1.25,1.25
java,full_rq0_seed42__rq0_0027__rq0_0050,BA,A,B,2.5,2.5
java,full_rq0_seed42__rq0_0027__rq0_0165,AB,A,B,5.5,5.5
java,full_rq0_seed42__rq0_0027__rq0_0183,AB,A,B,0.75,0.75
java,full_rq0_seed42__rq0_0027__rq0_0183,BA,A,B,6.5,6.5
java,full_rq0_seed42__rq0_0027__rq0_0251,AB,A,B,1.0,1.0
java,full_rq0_seed42__rq0_0027__rq0_0251,BA,A,B,6.75,6.75
java,full_rq0_seed42__rq0_0028__rq0_0178,AB,A,B,8.25,8.25
java,full_rq0_seed42__rq0_0028__rq0_0280,BA,B,A,-0.5,0.5
java,full_rq0_seed42__rq0_0029__rq0_0076,BA,B,A,-9.0,9.0
java,full_rq0_seed42__rq0_0030__rq0_0159,AB,A,B,4.5,4.5
java,full_rq0_seed42__rq0_0030__rq0_0231,BA,A,B,3.25,3.25
java,full_rq0_seed42__rq0_0033__rq0_0072,AB,B,A,-5.0,5.0
java,full_rq0_seed42__rq0_0033__rq0_0072,BA,A,B,13.0,13.0
java,full_rq0_seed42__rq0_0033__rq0_0140,BA,A,B,2.25,2.25
java,full_rq0_seed42__rq0_0033__rq0_0169,BA,A,B,6.5,6.5
java,full_rq0_seed42__rq0_0033__rq0_0171,BA,A,B,5.75,5.75
java,full_rq0_seed42__rq0_0033__rq0_0210,BA,A,B,1.0,1.0
java,full_rq0_seed42__rq0_0033__rq0_0232,BA,A,B,7.0,7.0
java,full_rq0_seed42__rq0_0033__rq0_0257,AB,B,A,-10.75,10.75
java,full_rq0_seed42__rq0_0033__rq0_0272,BA,A,B,10.75,10.75
java,full_rq0_seed42__rq0_0034__rq0_0226,AB,A,B,7.5,7.5
java,full_rq0_seed42__rq0_0034__rq0_0226,BA,B,A,-5.5,5.5
java,full_rq0_seed42__rq0_0035__rq0_0069,AB,A,B,0.25,0.25
java,full_rq0_seed42__rq0_0035__rq0_0094,AB,A,B,3.5,3.5
java,full_rq0_seed42__rq0_0035__rq0_0094,BA,B,A,-0.75,0.75
java,full_rq0_seed42__rq0_0037__rq0_0236,BA,A,B,6.75,6.75
java,full_rq0_seed42__rq0_0038__rq0_0059,AB,B,A,-5.25,5.25
java,full_rq0_seed42__rq0_0038__rq0_0185,BA,A,B,5.5,5.5
java,full_rq0_seed42__rq0_0038__rq0_0230,AB,B,A,-13.0,13.0
java,full_rq0_seed42__rq0_0039__rq0_0109,BA,B,A,-9.75,9.75
java,full_rq0_seed42__rq0_0039__rq0_0237,BA,B,A,-5.25,5.25
java,full_rq0_seed42__rq0_0040__rq0_0043,BA,B,A,-4.75,4.75
java,full_rq0_seed42__rq0_0041__rq0_0128,BA,A,B,9.75,9.75
java,full_rq0_seed42__rq0_0041__rq0_0149,AB,A,B,14.5,14.5
java,full_rq0_seed42__rq0_0041__rq0_0153,AB,A,B,4.0,4.0
java,full_rq0_seed42__rq0_0041__rq0_0290,AB,A,B,0.5,0.5
java,full_rq0_seed42__rq0_0041__rq0_0290,BA,A,B,8.75,8.75
java,full_rq0_seed42__rq0_0041__rq0_0312,BA,A,B,1.75,1.75
java,full_rq0_seed42__rq0_0042__rq0_0091,AB,A,B,5.0,5.0
java,full_rq0_seed42__rq0_0042__rq0_0197,AB,A,B,9.75,9.75
java,full_rq0_seed42__rq0_0043__rq0_0191,BA,A,B,0.75,0.75
java,full_rq0_seed42__rq0_0043__rq0_0245,AB,B,A,-12.75,12.75
java,full_rq0_seed42__rq0_0043__rq0_0276,AB,B,A,-2.75,2.75
java,full_rq0_seed42__rq0_0044__rq0_0132,AB,A,B,14.0,14.0
java,full_rq0_seed42__rq0_0044__rq0_0132,BA,B,A,-14.0,14.0
java,full_rq0_seed42__rq0_0045__rq0_0064,AB,A,B,8.75,8.75
java,full_rq0_seed42__rq0_0045__rq0_0112,AB,A,B,2.5,2.5
java,full_rq0_seed42__rq0_0045__rq0_0298,BA,A,B,1.0,1.0
java,full_rq0_seed42__rq0_0046__rq0_0098,AB,B,A,-5.5,5.5
java,full_rq0_seed42__rq0_0046__rq0_0098,BA,A,B,11.0,11.0
java,full_rq0_seed42__rq0_0046__rq0_0214,BA,A,B,5.25,5.25
java,full_rq0_seed42__rq0_0046__rq0_0260,AB,B,A,-1.0,1.0
java,full_rq0_seed42__rq0_0046__rq0_0260,BA,A,B,2.5,2.5
java,full_rq0_seed42__rq0_0046__rq0_0311,AB,B,A,-6.75,6.75
java,full_rq0_seed42__rq0_0046__rq0_0311,BA,A,B,9.0,9.0
java,full_rq0_seed42__rq0_0046__rq0_0312,BA,A,B,5.5,5.5
java,full_rq0_seed42__rq0_0047__rq0_0088,AB,A,B,1.0,1.0
java,full_rq0_seed42__rq0_0047__rq0_0095,AB,B,A,-1.5,1.5
java,full_rq0_seed42__rq0_0047__rq0_0095,BA,A,B,3.5,3.5
java,full_rq0_seed42__rq0_0047__rq0_0111,AB,A,B,11.0,11.0
java,full_rq0_seed42__rq0_0047__rq0_0111,BA,B,A,-3.5,3.5
java,full_rq0_seed42__rq0_0047__rq0_0142,AB,B,A,-1.0,1.0
java,full_rq0_seed42__rq0_0047__rq0_0142,BA,A,B,3.5,3.5
java,full_rq0_seed42__rq0_0047__rq0_0247,BA,A,B,2.5,2.5
java,full_rq0_seed42__rq0_0047__rq0_0308,AB,B,A,-8.5,8.5
java,full_rq0_seed42__rq0_0047__rq0_0308,BA,A,B,3.25,3.25
java,full_rq0_seed42__rq0_0048__rq0_0098,AB,B,A,-2.25,2.25
java,full_rq0_seed42__rq0_0048__rq0_0098,BA,A,B,7.5,7.5
java,full_rq0_seed42__rq0_0048__rq0_0181,BA,A,B,1.5,1.5
java,full_rq0_seed42__rq0_0048__rq0_0233,AB,B,A,-1.5,1.5
java,full_rq0_seed42__rq0_0050__rq0_0062,AB,A,B,6.5,6.5
java,full_rq0_seed42__rq0_0050__rq0_0223,BA,A,B,8.75,8.75
java,full_rq0_seed42__rq0_0050__rq0_0227,BA,A,B,5.0,5.0
java,full_rq0_seed42__rq0_0050__rq0_0243,BA,A,B,9.75,9.75
java,full_rq0_seed42__rq0_0051__rq0_0052,BA,B,A,-8.0,8.0
java,full_rq0_seed42__rq0_0051__rq0_0058,BA,A,B,2.25,2.25
java,full_rq0_seed42__rq0_0051__rq0_0122,BA,B,A,-1.75,1.75
java,full_rq0_seed42__rq0_0051__rq0_0144,AB,B,A,-4.0,4.0
java,full_rq0_seed42__rq0_0051__rq0_0208,BA,A,B,4.75,4.75
java,full_rq0_seed42__rq0_0051__rq0_0282,BA,A,B,0.5,0.5
java,full_rq0_seed42__rq0_0052__rq0_0217,AB,B,A,-16.25,16.25
java,full_rq0_seed42__rq0_0052__rq0_0249,AB,B,A,-6.25,6.25
java,full_rq0_seed42__rq0_0052__rq0_0249,BA,A,B,0.75,0.75
java,full_rq0_seed42__rq0_0053__rq0_0062,AB,A,B,4.25,4.25
java,full_rq0_seed42__rq0_0053__rq0_0062,BA,B,A,-8.25,8.25
java,full_rq0_seed42__rq0_0053__rq0_0156,AB,A,B,9.75,9.75
java,full_rq0_seed42__rq0_0053__rq0_0197,BA,A,B,0.5,0.5
java,full_rq0_seed42__rq0_0053__rq0_0206,AB,A,B,2.0,2.0
java,full_rq0_seed42__rq0_0053__rq0_0234,AB,B,A,-1.5,1.5
java,full_rq0_seed42__rq0_0053__rq0_0243,BA,A,B,12.5,12.5
java,full_rq0_seed42__rq0_0055__rq0_0098,BA,A,B,11.25,11.25
java,full_rq0_seed42__rq0_0055__rq0_0174,AB,A,B,2.75,2.75
java,full_rq0_seed42__rq0_0055__rq0_0180,BA,A,B,14.25,14.25
java,full_rq0_seed42__rq0_0055__rq0_0182,AB,A,B,6.0,6.0
java,full_rq0_seed42__rq0_0055__rq0_0249,AB,A,B,1.75,1.75
java,full_rq0_seed42__rq0_0055__rq0_0294,AB,A,B,9.0,9.0
java,full_rq0_seed42__rq0_0056__rq0_0140,BA,A,B,6.25,6.25
java,full_rq0_seed42__rq0_0056__rq0_0162,AB,A,B,2.5,2.5
java,full_rq0_seed42__rq0_0056__rq0_0207,BA,B,A,-3.0,3.0
java,full_rq0_seed42__rq0_0056__rq0_0299,BA,A,B,1.25,1.25
java,full_rq0_seed42__rq0_0057__rq0_0111,AB,A,B,13.75,13.75
java,full_rq0_seed42__rq0_0058__rq0_0138,AB,A,B,0.0,0.0
java,full_rq0_seed42__rq0_0058__rq0_0138,BA,A,B,2.0,2.0
java,full_rq0_seed42__rq0_0058__rq0_0292,AB,A,B,12.25,12.25
java,full_rq0_seed42__rq0_0059__rq0_0174,AB,A,B,5.0,5.0
java,full_rq0_seed42__rq0_0059__rq0_0174,BA,B,A,-1.25,1.25
java,full_rq0_seed42__rq0_0059__rq0_0225,AB,A,B,4.75,4.75
java,full_rq0_seed42__rq0_0060__rq0_0149,AB,A,B,13.75,13.75
java,full_rq0_seed42__rq0_0060__rq0_0311,BA,A,B,3.0,3.0
java,full_rq0_seed42__rq0_0061__rq0_0069,AB,A,B,6.75,6.75
java,full_rq0_seed42__rq0_0061__rq0_0069,BA,B,A,-4.5,4.5
java,full_rq0_seed42__rq0_0061__rq0_0080,BA,B,A,-2.5,2.5
java,full_rq0_seed42__rq0_0061__rq0_0092,BA,B,A,-4.5,4.5
java,full_rq0_seed42__rq0_0061__rq0_0204,AB,A,B,13.25,13.25
java,full_rq0_seed42__rq0_0061__rq0_0209,AB,A,B,3.0,3.0
java,full_rq0_seed42__rq0_0061__rq0_0209,BA,B,A,-3.0,3.0
java,full_rq0_seed42__rq0_0061__rq0_0287,AB,A,B,5.0,5.0
java,full_rq0_seed42__rq0_0061__rq0_0287,BA,B,A,-10.25,10.25
java,full_rq0_seed42__rq0_0062__rq0_0183,BA,A,B,0.25,0.25
java,full_rq0_seed42__rq0_0063__rq0_0145,AB,A,B,3.75,3.75
java,full_rq0_seed42__rq0_0064__rq0_0079,BA,A,B,0.25,0.25
java,full_rq0_seed42__rq0_0064__rq0_0169,AB,B,A,-5.25,5.25
java,full_rq0_seed42__rq0_0064__rq0_0169,BA,A,B,4.0,4.0
java,full_rq0_seed42__rq0_0064__rq0_0185,AB,B,A,-5.75,5.75
java,full_rq0_seed42__rq0_0064__rq0_0185,BA,A,B,13.0,13.0
java,full_rq0_seed42__rq0_0064__rq0_0199,AB,B,A,-13.0,13.0
java,full_rq0_seed42__rq0_0064__rq0_0226,AB,B,A,-5.0,5.0
java,full_rq0_seed42__rq0_0064__rq0_0255,AB,B,A,-8.0,8.0
java,full_rq0_seed42__rq0_0064__rq0_0255,BA,A,B,1.75,1.75
java,full_rq0_seed42__rq0_0064__rq0_0259,AB,B,A,-12.5,12.5
java,full_rq0_seed42__rq0_0064__rq0_0275,AB,B,A,-7.25,7.25
java,full_rq0_seed42__rq0_0064__rq0_0299,AB,B,A,-0.5,0.5
java,full_rq0_seed42__rq0_0064__rq0_0304,AB,B,A,-13.5,13.5
java,full_rq0_seed42__rq0_0064__rq0_0304,BA,A,B,6.5,6.5
java,full_rq0_seed42__rq0_0064__rq0_0306,AB,B,A,-6.5,6.5
java,full_rq0_seed42__rq0_0065__rq0_0121,AB,A,B,4.5,4.5
java,full_rq0_seed42__rq0_0066__rq0_0111,AB,A,B,14.75,14.75
java,full_rq0_seed42__rq0_0066__rq0_0111,BA,B,A,-7.5,7.5
java,full_rq0_seed42__rq0_0066__rq0_0183,AB,A,B,11.25,11.25
java,full_rq0_seed42__rq0_0068__rq0_0304,BA,A,B,12.25,12.25
java,full_rq0_seed42__rq0_0069__rq0_0145,AB,A,B,5.75,5.75
java,full_rq0_seed42__rq0_0069__rq0_0277,AB,B,A,-1.75,1.75
java,full_rq0_seed42__rq0_0069__rq0_0277,BA,A,B,4.25,4.25
java,full_rq0_seed42__rq0_0071__rq0_0126,BA,A,B,0.0,0.0
java,full_rq0_seed42__rq0_0071__rq0_0261,AB,A,B,0.75,0.75
java,full_rq0_seed42__rq0_0071__rq0_0312,BA,A,B,9.0,9.0
java,full_rq0_seed42__rq0_0072__rq0_0095,AB,A,B,0.25,0.25
java,full_rq0_seed42__rq0_0072__rq0_0190,AB,A,B,13.0,13.0
java,full_rq0_seed42__rq0_0072__rq0_0190,BA,A,B,0.75,0.75
java,full_rq0_seed42__rq0_0072__rq0_0191,AB,A,B,4.75,4.75
java,full_rq0_seed42__rq0_0072__rq0_0191,BA,A,B,1.0,1.0
java,full_rq0_seed42__rq0_0072__rq0_0291,AB,A,B,13.0,13.0
java,full_rq0_seed42__rq0_0072__rq0_0301,AB,A,B,12.5,12.5
java,full_rq0_seed42__rq0_0072__rq0_0301,BA,B,A,-8.25,8.25
java,full_rq0_seed42__rq0_0073__rq0_0135,AB,A,B,11.0,11.0
java,full_rq0_seed42__rq0_0073__rq0_0276,BA,A,B,3.25,3.25
java,full_rq0_seed42__rq0_0074__rq0_0196,BA,A,B,2.75,2.75
java,full_rq0_seed42__rq0_0074__rq0_0295,BA,A,B,4.25,4.25
java,full_rq0_seed42__rq0_0075__rq0_0107,BA,A,B,6.75,6.75
java,full_rq0_seed42__rq0_0075__rq0_0157,BA,A,B,3.75,3.75
java,full_rq0_seed42__rq0_0075__rq0_0257,AB,B,A,-8.0,8.0
java,full_rq0_seed42__rq0_0075__rq0_0297,BA,A,B,0.25,0.25
java,full_rq0_seed42__rq0_0076__rq0_0123,BA,A,B,1.5,1.5
java,full_rq0_seed42__rq0_0076__rq0_0128,BA,A,B,10.0,10.0
java,full_rq0_seed42__rq0_0078__rq0_0088,AB,B,A,-7.5,7.5
java,full_rq0_seed42__rq0_0078__rq0_0090,AB,B,A,-9.75,9.75
java,full_rq0_seed42__rq0_0078__rq0_0090,BA,A,B,5.0,5.0
java,full_rq0_seed42__rq0_0078__rq0_0196,AB,B,A,-12.25,12.25
java,full_rq0_seed42__rq0_0078__rq0_0196,BA,A,B,0.5,0.5
java,full_rq0_seed42__rq0_0078__rq0_0240,AB,B,A,-15.0,15.0
java,full_rq0_seed42__rq0_0078__rq0_0240,BA,A,B,2.5,2.5
java,full_rq0_seed42__rq0_0078__rq0_0294,AB,B,A,-4.25,4.25
java,full_rq0_seed42__rq0_0079__rq0_0312,BA,A,B,3.5,3.5
java,full_rq0_seed42__rq0_0080__rq0_0112,AB,A,B,11.75,11.75
java,full_rq0_seed42__rq0_0081__rq0_0163,AB,B,A,-3.5,3.5
java,full_rq0_seed42__rq0_0082__rq0_0119,AB,A,B,9.5,9.5
java,full_rq0_seed42__rq0_0082__rq0_0198,BA,A,B,3.0,3.0
java,full_rq0_seed42__rq0_0082__rq0_0263,AB,A,B,12.0,12.0
java,full_rq0_seed42__rq0_0082__rq0_0263,BA,A,B,4.5,4.5
java,full_rq0_seed42__rq0_0082__rq0_0269,AB,A,B,13.25,13.25
java,full_rq0_seed42__rq0_0082__rq0_0276,AB,A,B,7.5,7.5
java,full_rq0_seed42__rq0_0082__rq0_0295,BA,A,B,7.5,7.5
java,full_rq0_seed42__rq0_0084__rq0_0102,BA,B,A,-6.75,6.75
java,full_rq0_seed42__rq0_0084__rq0_0287,BA,B,A,-0.75,0.75
java,full_rq0_seed42__rq0_0086__rq0_0122,AB,A,B,13.25,13.25
java,full_rq0_seed42__rq0_0086__rq0_0122,BA,B,A,-6.75,6.75
java,full_rq0_seed42__rq0_0086__rq0_0177,BA,B,A,-11.0,11.0
java,full_rq0_seed42__rq0_0088__rq0_0170,AB,B,A,-12.0,12.0
java,full_rq0_seed42__rq0_0088__rq0_0170,BA,A,B,1.0,1.0
java,full_rq0_seed42__rq0_0089__rq0_0104,BA,B,A,-1.25,1.25
java,full_rq0_seed42__rq0_0089__rq0_0146,AB,A,B,11.25,11.25
java,full_rq0_seed42__rq0_0089__rq0_0189,BA,A,B,3.5,3.5
java,full_rq0_seed42__rq0_0089__rq0_0238,BA,A,B,0.75,0.75
java,full_rq0_seed42__rq0_0089__rq0_0259,BA,A,B,2.25,2.25
java,full_rq0_seed42__rq0_0091__rq0_0123,AB,A,B,1.0,1.0
java,full_rq0_seed42__rq0_0091__rq0_0131,AB,A,B,1.0,1.0
java,full_rq0_seed42__rq0_0091__rq0_0140,AB,A,B,6.75,6.75
java,full_rq0_seed42__rq0_0091__rq0_0156,AB,A,B,3.25,3.25
java,full_rq0_seed42__rq0_0091__rq0_0204,BA,B,A,-2.25,2.25
java,full_rq0_seed42__rq0_0092__rq0_0160,BA,A,B,4.5,4.5
java,full_rq0_seed42__rq0_0094__rq0_0098,AB,B,A,-3.25,3.25
java,full_rq0_seed42__rq0_0094__rq0_0098,BA,A,B,9.25,9.25
java,full_rq0_seed42__rq0_0094__rq0_0183,AB,B,A,-0.25,0.25
java,full_rq0_seed42__rq0_0094__rq0_0183,BA,A,B,0.0,0.0
java,full_rq0_seed42__rq0_0095__rq0_0234,AB,B,A,-4.0,4.0
java,full_rq0_seed42__rq0_0098__rq0_0101,AB,A,B,0.25,0.25
java,full_rq0_seed42__rq0_0099__rq0_0149,AB,A,B,12.75,12.75
java,full_rq0_seed42__rq0_0099__rq0_0149,BA,B,A,-4.75,4.75
java,full_rq0_seed42__rq0_0101__rq0_0246,AB,A,B,0.0,0.0
java,full_rq0_seed42__rq0_0102__rq0_0211,BA,B,A,-1.25,1.25
java,full_rq0_seed42__rq0_0102__rq0_0217,BA,A,B,2.25,2.25
java,full_rq0_seed42__rq0_0103__rq0_0139,BA,B,A,-4.0,4.0
java,full_rq0_seed42__rq0_0103__rq0_0171,BA,B,A,-2.25,2.25
java,full_rq0_seed42__rq0_0104__rq0_0128,BA,B,A,-8.5,8.5
java,full_rq0_seed42__rq0_0105__rq0_0149,AB,A,B,13.5,13.5
java,full_rq0_seed42__rq0_0105__rq0_0190,AB,A,B,5.25,5.25
java,full_rq0_seed42__rq0_0105__rq0_0190,BA,A,B,0.25,0.25
java,full_rq0_seed42__rq0_0106__rq0_0174,BA,B,A,-1.5,1.5
java,full_rq0_seed42__rq0_0108__rq0_0151,AB,A,B,7.5,7.5
java,full_rq0_seed42__rq0_0108__rq0_0278,AB,A,B,1.5,1.5
java,full_rq0_seed42__rq0_0109__rq0_0196,AB,B,A,-8.5,8.5
java,full_rq0_seed42__rq0_0109__rq0_0196,BA,A,B,8.0,8.0
java,full_rq0_seed42__rq0_0109__rq0_0232,BA,A,B,10.0,10.0
java,full_rq0_seed42__rq0_0109__rq0_0298,BA,A,B,10.0,10.0
java,full_rq0_seed42__rq0_0110__rq0_0126,BA,A,B,5.75,5.75
java,full_rq0_seed42__rq0_0110__rq0_0294,BA,A,B,1.25,1.25
java,full_rq0_seed42__rq0_0111__rq0_0190,BA,A,B,8.0,8.0
java,full_rq0_seed42__rq0_0111__rq0_0214,BA,A,B,9.0,9.0
java,full_rq0_seed42__rq0_0111__rq0_0215,BA,A,B,10.5,10.5
java,full_rq0_seed42__rq0_0111__rq0_0222,AB,B,A,-7.75,7.75
java,full_rq0_seed42__rq0_0111__rq0_0222,BA,A,B,15.0,15.0
java,full_rq0_seed42__rq0_0111__rq0_0229,BA,A,B,5.75,5.75
java,full_rq0_seed42__rq0_0111__rq0_0262,AB,B,A,-5.0,5.0
java,full_rq0_seed42__rq0_0111__rq0_0262,BA,A,B,1.5,1.5
java,full_rq0_seed42__rq0_0111__rq0_0265,BA,A,B,12.5,12.5
java,full_rq0_seed42__rq0_0111__rq0_0303,BA,A,B,6.75,6.75
java,full_rq0_seed42__rq0_0111__rq0_0311,BA,A,B,7.25,7.25
java,full_rq0_seed42__rq0_0112__rq0_0250,BA,A,B,9.75,9.75
java,full_rq0_seed42__rq0_0113__rq0_0221,AB,A,B,4.0,4.0
java,full_rq0_seed42__rq0_0113__rq0_0295,AB,B,A,-0.25,0.25
java,full_rq0_seed42__rq0_0115__rq0_0149,AB,A,B,0.5,0.5
java,full_rq0_seed42__rq0_0115__rq0_0283,BA,A,B,0.25,0.25
java,full_rq0_seed42__rq0_0115__rq0_0292,BA,A,B,0.25,0.25
java,full_rq0_seed42__rq0_0116__rq0_0290,BA,A,B,14.5,14.5
java,full_rq0_seed42__rq0_0117__rq0_0312,AB,A,B,4.25,4.25
java,full_rq0_seed42__rq0_0118__rq0_0171,BA,A,B,4.75,4.75
java,full_rq0_seed42__rq0_0118__rq0_0263,AB,A,B,1.5,1.5
