pair_id,language,difficulty,snippet_i,snippet_j,human_preference,valid,strict_choice,strict_correct,margin_AB,margin_BA,c,b,tie_c,boundary,bc_rule_evaluable,bc_valid_prediction,bc_rule_violation,d_choice,d_correct,ab_correct,ba_correct,ocr_correct,selected_model
full_rq0_seed42__rq0_0012__rq0_0076,java,easy,rq0_0012,rq0_0076,rq0_0012,True,rq0_0012,True,3.25,-8.5,5.875,-2.625,False,False,True,True,False,rq0_0012,True,True,True,False,svr
full_rq0_seed42__rq0_0012__rq0_0130,java,easy,rq0_0012,rq0_0130,rq0_0012,False,,False,9.25,4.0,2.625,6.625,False,False,True,False,False,rq0_0012,True,True,False,False,svr
full_rq0_seed42__rq0_0012__rq0_0149,java,easy,rq0_0012,rq0_0149,rq0_0012,True,rq0_0012,True,18.25,-14.75,16.5,1.75,False,False,True,True,False,rq0_0012,True,True,True,True,svr
full_rq0_seed42__rq0_0012__rq0_0195,java,easy,rq0_0012,rq0_0195,rq0_0012,True,rq0_0012,True,9.5,-12.0,10.75,-1.25,False,False,True,True,False,rq0_0012,True,True,True,True,svr
full_rq0_seed42__rq0_0012__rq0_0231,java,easy,rq0_0012,rq0_0231,rq0_0012,True,rq0_0012,True,8.0,-11.25,9.625,-1.625,False,False,True,True,False,rq0_0012,True,True,True,True,svr
full_rq0_seed42__rq0_0012__rq0_0241,java,easy,rq0_0012,rq0_0241,rq0_0012,True,rq0_0012,True,8.75,-11.25,10.0,-1.25,False,False,True,True,False,rq0_0012,True,True,True,True,svr
full_rq0_seed42__rq0_0012__rq0_0260,java,easy,rq0_0012,rq0_0260,rq0_0012,True,rq0_0012,True,8.25,-14.0,11.125,-2.875,False,False,True,True,False,rq0_0012,True,True,True,True,svr
full_rq0_seed42__rq0_0013__rq0_0026,java,easy,rq0_0013,rq0_0026,rq0_0026,False,,False,-7.5,-5.5,-1.0,-6.5,False,False,True,False,False,rq0_0026,True,True,False,True,svr
full_rq0_seed42__rq0_0013__rq0_0041,java,easy,rq0_0013,rq0_0041,rq0_0041,False,,False,-0.75,-3.25,1.25,-2.0,False,False,True,False,False,rq0_0013,False,True,False,False,svr
full_rq0_seed42__rq0_0013__rq0_0052,java,easy,rq0_0013,rq0_0052,rq0_0052,True,rq0_0013,False,1.25,-7.5,4.375,-3.125,False,False,True,True,False,rq0_0013,False,False,False,False,svr
full_rq0_seed42__rq0_0013__rq0_0101,java,easy,rq0_0013,rq0_0101,rq0_0101,False,,False,-8.75,-1.25,-3.75,-5.0,False,False,True,False,False,rq0_0101,True,True,False,False,svr
full_rq0_seed42__rq0_0013__rq0_0147,java,easy,rq0_0013,rq0_0147,rq0_0147,True,rq0_0147,True,-3.5,3.75,-3.625,0.125,False,False,True,True,False,rq0_0147,True,True,True,False,svr
full_rq0_seed42__rq0_0013__rq0_0169,java,easy,rq0_0013,rq0_0169,rq0_0169,False,,False,-5.25,-5.75,0.25,-5.5,False,False,True,False,False,rq0_0013,False,True,False,False,svr
full_rq0_seed42__rq0_0013__rq0_0176,java,easy,rq0_0013,rq0_0176,rq0_0176,False,,False,-11.0,-8.0,-1.5,-9.5,False,False,True,False,False,rq0_0176,True,True,False,False,svr
full_rq0_seed42__rq0_0013__rq0_0216,java,easy,rq0_0013,rq0_0216,rq0_0216,False,,False,-8.5,-5.75,-1.375,-7.125,False,False,True,False,False,rq0_0216,True,True,False,False,svr
full_rq0_seed42__rq0_0013__rq0_0246,java,easy,rq0_0013,rq0_0246,rq0_0246,True,rq0_0246,True,-5.75,6.5,-6.125,0.375,False,False,True,True,False,rq0_0246,True,True,True,True,svr
full_rq0_seed42__rq0_0013__rq0_0288,java,easy,rq0_0013,rq0_0288,rq0_0288,False,,False,-13.0,-3.75,-4.625,-8.375,False,False,True,False,False,rq0_0288,True,True,False,False,svr
full_rq0_seed42__rq0_0013__rq0_0308,java,easy,rq0_0013,rq0_0308,rq0_0308,False,,False,-9.25,-3.25,-3.0,-6.25,False,False,True,False,False,rq0_0308,True,True,False,True,svr
full_rq0_seed42__rq0_0014__rq0_0046,java,easy,rq0_0014,rq0_0046,rq0_0046,True,rq0_0046,True,-3.0,1.5,-2.25,-0.75,False,False,True,True,False,rq0_0046,True,True,True,True,svr
full_rq0_seed42__rq0_0014__rq0_0049,java,easy,rq0_0014,rq0_0049,rq0_0049,True,rq0_0049,True,-5.25,5.75,-5.5,0.25,False,False,True,True,False,rq0_0049,True,True,True,True,svr
full_rq0_seed42__rq0_0014__rq0_0059,java,easy,rq0_0014,rq0_0059,rq0_0059,False,,False,-6.25,-1.0,-2.625,-3.625,False,False,True,False,False,rq0_0059,True,True,False,True,svr
full_rq0_seed42__rq0_0014__rq0_0078,java,easy,rq0_0014,rq0_0078,rq0_0078,False,,False,-4.5,-3.75,-0.375,-4.125,False,False,True,False,False,rq0_0078,True,True,False,True,svr
full_rq0_seed42__rq0_0014__rq0_0094,java,easy,rq0_0014,rq0_0094,rq0_0094,True,rq0_0094,True,-3.25,8.0,-5.625,2.375,False,False,True,True,False,rq0_0094,True,True,True,True,svr
full_rq0_seed42__rq0_0014__rq0_0114,java,easy,rq0_0014,rq0_0114,rq0_0114,True,rq0_0114,True,-4.25,14.0,-9.125,4.875,False,False,True,True,False,rq0_0114,True,True,True,True,svr
full_rq0_seed42__rq0_0014__rq0_0124,java,easy,rq0_0014,rq0_0124,rq0_0124,True,rq0_0014,False,3.0,-14.5,8.75,-5.75,False,False,True,True,False,rq0_0014,False,False,False,True,svr
full_rq0_seed42__rq0_0014__rq0_0149,java,easy,rq0_0014,rq0_0149,rq0_0014,False,,False,12.5,6.75,2.875,9.625,False,False,True,False,False,rq0_0014,True,True,False,False,svr
full_rq0_seed42__rq0_0014__rq0_0215,java,easy,rq0_0014,rq0_0215,rq0_0215,True,rq0_0215,True,-12.0,3.0,-7.5,-4.5,False,False,True,True,False,rq0_0215,True,True,True,True,svr
full_rq0_seed42__rq0_0014__rq0_0221,java,easy,rq0_0014,rq0_0221,rq0_0221,True,rq0_0221,True,-10.0,4.75,-7.375,-2.625,False,False,True,True,False,rq0_0221,True,True,True,True,svr
full_rq0_seed42__rq0_0014__rq0_0248,java,easy,rq0_0014,rq0_0248,rq0_0248,True,rq0_0248,True,-9.25,4.25,-6.75,-2.5,False,False,True,True,False,rq0_0248,True,True,True,True,svr
full_rq0_seed42__rq0_0015__rq0_0056,java,easy,rq0_0015,rq0_0056,rq0_0015,False,,False,-1.5,-14.0,6.25,-7.75,False,False,True,False,False,rq0_0015,True,False,True,False,svr
full_rq0_seed42__rq0_0015__rq0_0084,java,easy,rq0_0015,rq0_0084,rq0_0015,True,rq0_0015,True,7.5,-7.75,7.625,-0.125,False,False,True,True,False,rq0_0015,True,True,True,False,svr
full_rq0_seed42__rq0_0015__rq0_0116,java,easy,rq0_0015,rq0_0116,rq0_0015,True,rq0_0116,False,-4.75,2.5,-3.625,-1.125,False,False,True,True,False,rq0_0116,False,False,False,True,svr
full_rq0_seed42__rq0_0015__rq0_0181,java,easy,rq0_0015,rq0_0181,rq0_0015,False,,False,4.25,2.0,1.125,3.125,False,False,True,False,False,rq0_0015,True,True,False,False,svr
full_rq0_seed42__rq0_0015__rq0_0274,java,easy,rq0_0015,rq0_0274,rq0_0015,False,,False,-9.25,-5.5,-1.875,-7.375,False,False,True,False,False,rq0_0274,False,False,True,False,svr
full_rq0_seed42__rq0_0015__rq0_0283,java,easy,rq0_0015,rq0_0283,rq0_0015,False,,False,-7.0,-6.25,-0.375,-6.625,False,False,True,False,False,rq0_0283,False,False,True,True,svr
full_rq0_seed42__rq0_0015__rq0_0291,java,easy,rq0_0015,rq0_0291,rq0_0015,True,rq0_0015,True,1.75,-10.5,6.125,-4.375,False,False,True,True,False,rq0_0015,True,True,True,True,svr
full_rq0_seed42__rq0_0016__rq0_0029,java,easy,rq0_0016,rq0_0029,rq0_0029,True,rq0_0029,True,-6.0,3.5,-4.75,-1.25,False,False,True,True,False,rq0_0029,True,True,True,False,svr
full_rq0_seed42__rq0_0016__rq0_0107,java,easy,rq0_0016,rq0_0107,rq0_0107,True,rq0_0107,True,-15.75,9.75,-12.75,-3.0,False,False,True,True,False,rq0_0107,True,True,True,False,svr
full_rq0_seed42__rq0_0016__rq0_0169,java,easy,rq0_0016,rq0_0169,rq0_0169,True,rq0_0169,True,-6.5,3.25,-4.875,-1.625,False,False,True,True,False,rq0_0169,True,True,True,False,svr
full_rq0_seed42__rq0_0016__rq0_0173,java,easy,rq0_0016,rq0_0173,rq0_0173,True,rq0_0016,False,13.75,-9.75,11.75,2.0,False,False,True,True,False,rq0_0016,False,False,False,False,svr
full_rq0_seed42__rq0_0016__rq0_0222,java,easy,rq0_0016,rq0_0222,rq0_0222,True,rq0_0222,True,-18.25,10.75,-14.5,-3.75,False,False,True,True,False,rq0_0222,True,True,True,False,svr
full_rq0_seed42__rq0_0016__rq0_0238,java,easy,rq0_0016,rq0_0238,rq0_0238,False,,False,12.0,0.5,5.75,6.25,False,False,True,False,False,rq0_0016,False,False,True,False,svr
full_rq0_seed42__rq0_0016__rq0_0258,java,easy,rq0_0016,rq0_0258,rq0_0258,False,,False,-7.75,-7.5,-0.125,-7.625,False,False,True,False,False,rq0_0258,True,True,False,False,svr
full_rq0_seed42__rq0_0016__rq0_0297,java,easy,rq0_0016,rq0_0297,rq0_0297,True,rq0_0297,True,-2.0,4.25,-3.125,1.125,False,False,True,True,False,rq0_0297,True,True,True,False,svr
full_rq0_seed42__rq0_0017__rq0_0053,java,easy,rq0_0017,rq0_0053,rq0_0017,True,rq0_0053,False,-5.25,0.75,-3.0,-2.25,False,False,True,True,False,rq0_0053,False,False,False,True,svr
full_rq0_seed42__rq0_0017__rq0_0064,java,easy,rq0_0017,rq0_0064,rq0_0017,True,rq0_0017,True,6.0,-6.5,6.25,-0.25,False,False,True,True,False,rq0_0017,True,True,True,True,svr
full_rq0_seed42__rq0_0017__rq0_0251,java,easy,rq0_0017,rq0_0251,rq0_0017,True,rq0_0251,False,-12.25,5.75,-9.0,-3.25,False,False,True,True,False,rq0_0251,False,False,False,True,svr
full_rq0_seed42__rq0_0018__rq0_0027,java,easy,rq0_0018,rq0_0027,rq0_0027,False,,False,2.0,1.25,0.375,1.625,False,False,True,False,False,rq0_0018,False,False,True,False,svr
full_rq0_seed42__rq0_0018__rq0_0056,java,easy,rq0_0018,rq0_0056,rq0_0018,False,,False,-4.25,-6.75,1.25,-5.5,False,False,True,False,False,rq0_0018,True,False,True,False,svr
full_rq0_seed42__rq0_0018__rq0_0111,java,easy,rq0_0018,rq0_0111,rq0_0018,False,,False,6.0,0.5,2.75,3.25,False,False,True,False,False,rq0_0018,True,True,False,False,svr
full_rq0_seed42__rq0_0018__rq0_0114,java,easy,rq0_0018,rq0_0114,rq0_0114,False,,False,3.0,14.75,-5.875,8.875,False,False,True,False,False,rq0_0114,True,False,True,True,svr
full_rq0_seed42__rq0_0018__rq0_0202,java,easy,rq0_0018,rq0_0202,rq0_0018,True,rq0_0018,True,5.0,-8.75,6.875,-1.875,False,False,True,True,False,rq0_0018,True,True,True,True,svr
full_rq0_seed42__rq0_0018__rq0_0225,java,easy,rq0_0018,rq0_0225,rq0_0018,True,rq0_0018,True,2.25,-8.25,5.25,-3.0,False,False,True,True,False,rq0_0018,True,True,True,True,svr
full_rq0_seed42__rq0_0019__rq0_0276,java,easy,rq0_0019,rq0_0276,rq0_0019,True,rq0_0276,False,-0.5,14.0,-7.25,6.75,False,False,True,True,False,rq0_0276,False,False,False,False,svr
full_rq0_seed42__rq0_0020__rq0_0060,java,easy,rq0_0020,rq0_0060,rq0_0060,False,,False,-0.75,-3.25,1.25,-2.0,False,False,True,False,False,rq0_0020,False,True,False,False,svr
full_rq0_seed42__rq0_0020__rq0_0089,java,easy,rq0_0020,rq0_0089,rq0_0020,True,rq0_0020,True,15.0,-13.5,14.25,0.75,False,False,True,True,False,rq0_0020,True,True,True,False,svr
full_rq0_seed42__rq0_0020__rq0_0109,java,easy,rq0_0020,rq0_0109,rq0_0109,True,rq0_0020,False,0.5,-6.75,3.625,-3.125,False,False,True,True,False,rq0_0020,False,False,False,False,svr
full_rq0_seed42__rq0_0020__rq0_0122,java,easy,rq0_0020,rq0_0122,rq0_0122,True,rq0_0020,False,2.0,-2.25,2.125,-0.125,False,False,True,True,False,rq0_0020,False,False,False,False,svr
full_rq0_seed42__rq0_0020__rq0_0129,java,easy,rq0_0020,rq0_0129,rq0_0129,False,,False,-4.25,-1.25,-1.5,-2.75,False,False,True,False,False,rq0_0129,True,True,False,False,svr
full_rq0_seed42__rq0_0020__rq0_0144,java,easy,rq0_0020,rq0_0144,rq0_0144,True,rq0_0020,False,2.25,-4.5,3.375,-1.125,False,False,True,True,False,rq0_0020,False,False,False,False,svr
full_rq0_seed42__rq0_0020__rq0_0189,java,easy,rq0_0020,rq0_0189,rq0_0189,False,,False,-2.75,-1.5,-0.625,-2.125,False,False,True,False,False,rq0_0189,True,True,False,True,svr
full_rq0_seed42__rq0_0021__rq0_0041,java,easy,rq0_0021,rq0_0041,rq0_0021,False,,False,5.5,1.25,2.125,3.375,False,False,True,False,False,rq0_0021,True,True,False,False,svr
