protocol_pair_id,language,benchmark,difficulty,snippet_i,snippet_j,available,unavailable_reason,k1_agreement,panel_agreement,k1_tie_probability,panel_tie_probability,panel_size_i,panel_size_j
rq1_0014,java,cross-dataset,easy,rq0_0002,rq0_0134,True,,0.6706504702194357,1.0,0.22752208606440583,0.0,121.0,232.0
rq1_0015,java,cross-dataset,easy,rq0_0002,rq0_0216,True,,0.8259871441689624,1.0,0.19742883379247014,0.0,121.0,9.0
rq1_0016,java,cross-dataset,easy,rq0_0002,rq0_0255,True,,0.7823691460055097,1.0,0.1928374655647383,0.0,121.0,9.0
rq1_0017,java,cross-dataset,easy,rq0_0002,rq0_0282,True,,0.9692378328741965,1.0,0.05417814508723599,0.0,121.0,9.0
rq1_0018,java,Buse,easy,rq0_0003,rq0_0077,True,,0.6778225531042962,1.0,0.23427361519021925,0.0,121.0,121.0
rq1_0019,java,cross-dataset,easy,rq0_0003,rq0_0111,True,,0.89059064371825,1.0,0.09947683675790431,0.0,121.0,218.0
rq1_0020,java,cross-dataset,easy,rq0_0003,rq0_0269,True,,0.5684113865932048,0.8192,0.2644628099173554,0.002,121.0,9.0
rq1_0021,java,Buse,easy,rq0_0004,rq0_0077,True,,0.7202376886824671,1.0,0.23536643671880336,0.0,121.0,121.0
rq1_0022,java,Buse,easy,rq0_0004,rq0_0085,True,,0.8220066935318626,1.0,0.16433303736083602,0.0,121.0,121.0
rq1_0023,java,Buse,easy,rq0_0004,rq0_0088,True,,0.7276825353459463,1.0,0.23604945017416842,0.0,121.0,121.0
rq1_0024,java,cross-dataset,easy,rq0_0004,rq0_0129,True,,0.7147405500609674,1.0,0.2429210134128167,0.0,121.0,244.0
rq1_0025,java,cross-dataset,easy,rq0_0004,rq0_0162,True,,0.7459791161478696,1.0,0.22625822734695897,0.0,121.0,167.0
rq1_0026,java,cross-dataset,easy,rq0_0004,rq0_0299,True,,0.6179981634527089,0.8749,0.30670339761248855,0.0006,121.0,9.0
rq1_0027,java,Buse,easy,rq0_0005,rq0_0022,True,,0.7977597158664026,1.0,0.15531725975001706,0.0,121.0,121.0
rq1_0028,java,Buse,easy,rq0_0005,rq0_0042,True,,0.872857045283792,1.0,0.11003346765931289,0.0,121.0,121.0
rq1_0029,java,Buse,easy,rq0_0005,rq0_0049,True,,0.8722764838467317,1.0,0.12266921658356669,0.0,121.0,121.0
rq1_0030,java,Buse,easy,rq0_0005,rq0_0080,True,,0.8786626596543952,1.0,0.1120825080254081,0.0,121.0,121.0
rq1_0031,java,cross-dataset,easy,rq0_0005,rq0_0113,True,,0.7517456569404621,1.0,0.20020239500758982,0.0,121.0,245.0
rq1_0032,java,cross-dataset,easy,rq0_0005,rq0_0130,True,,0.7097755800684671,1.0,0.20726857775165117,0.0,121.0,239.0
rq1_0033,java,cross-dataset,easy,rq0_0005,rq0_0136,True,,0.7975206611570248,1.0,0.16443431176973497,0.0,121.0,232.0
rq1_0034,java,cross-dataset,easy,rq0_0005,rq0_0160,True,,0.7714646464646465,1.0,0.1812213039485767,0.0,121.0,180.0
rq1_0035,java,cross-dataset,easy,rq0_0005,rq0_0204,True,,0.8842975206611571,1.0,0.12121212121212122,0.0,121.0,9.0
rq1_0036,java,cross-dataset,easy,rq0_0005,rq0_0216,True,,0.9026629935720845,1.0,0.09917355371900827,0.0,121.0,9.0
rq1_0037,java,cross-dataset,easy,rq0_0005,rq0_0246,True,,0.9614325068870524,1.0,0.05509641873278237,0.0,121.0,9.0
rq1_0038,java,cross-dataset,easy,rq0_0005,rq0_0300,True,,0.8475665748393021,1.0,0.14325068870523416,0.0,121.0,9.0
rq1_0039,java,Buse,easy,rq0_0006,rq0_0020,True,,0.7207499487739909,1.0,0.21699337476948297,0.0,121.0,121.0
rq1_0040,java,Buse,easy,rq0_0006,rq0_0039,True,,0.7794208045898504,1.0,0.17915442934225803,0.0,121.0,121.0
rq1_0041,java,Buse,easy,rq0_0006,rq0_0075,True,,0.734239464517451,1.0,0.21829110033467658,0.0,121.0,121.0
rq1_0042,java,cross-dataset,easy,rq0_0006,rq0_0120,True,,0.6518842975206611,1.0,0.2627768595041322,0.0,121.0,250.0
rq1_0043,java,Buse,easy,rq0_0007,rq0_0078,True,,0.8093026432620722,1.0,0.17184618536985177,0.0,121.0,121.0
rq1_0044,java,cross-dataset,easy,rq0_0007,rq0_0227,True,,0.8480257116620753,1.0,0.12396694214876033,0.0,121.0,9.0
rq1_0045,java,cross-dataset,easy,rq0_0007,rq0_0255,True,,0.751147842056933,1.0,0.24058769513314968,0.0,121.0,9.0
rq1_0046,java,Buse,easy,rq0_0008,rq0_0026,True,,0.8143569428317737,1.0,0.18591626255037225,0.0,121.0,121.0
rq1_0047,java,Buse,easy,rq0_0008,rq0_0035,True,,0.864216925073424,1.0,0.14957994672495048,0.0,121.0,121.0
rq1_0048,java,Buse,easy,rq0_0008,rq0_0061,True,,0.8556792568813606,1.0,0.15504405436787105,0.0,121.0,121.0
rq1_0049,java,cross-dataset,easy,rq0_0008,rq0_0100,True,,0.7328292597151398,1.0,0.23710216282750132,0.0,121.0,235.0
rq1_0050,java,cross-dataset,easy,rq0_0008,rq0_0139,True,,0.7614681968748954,1.0,0.21153009669756082,0.0,121.0,247.0
rq1_0051,java,cross-dataset,easy,rq0_0008,rq0_0237,True,,0.6533516988062442,0.95855,0.3149678604224059,0.0001,121.0,9.0
rq1_0052,java,cross-dataset,easy,rq0_0008,rq0_0278,True,,0.817722681359045,1.0,0.20477502295684114,0.0,121.0,9.0
rq1_0053,java,cross-dataset,easy,rq0_0008,rq0_0295,True,,0.8613406795224977,1.0,0.16161616161616163,0.0,121.0,9.0
rq1_0054,java,Buse,easy,rq0_0009,rq0_0080,True,,0.6706509118229629,1.0,0.23987432552421284,0.0,121.0,121.0
rq1_0055,java,cross-dataset,easy,rq0_0009,rq0_0120,True,,0.709107438016529,1.0,0.22720661157024793,0.0,121.0,250.0
rq1_0056,java,cross-dataset,easy,rq0_0009,rq0_0151,True,,0.6470776177898953,1.0,0.22556871432222886,0.0,121.0,194.0
rq1_0057,java,cross-dataset,easy,rq0_0009,rq0_0248,True,,0.8209366391184573,1.0,0.22589531680440772,0.0,121.0,9.0
rq1_0058,java,cross-dataset,easy,rq0_0010,rq0_0198,True,,0.6069788797061524,0.8558,0.22773186409550045,0.0,121.0,9.0
rq1_0059,java,cross-dataset,easy,rq0_0010,rq0_0211,True,,0.7865013774104683,0.9986,0.162534435261708,0.0,121.0,9.0
rq1_0060,java,cross-dataset,easy,rq0_0010,rq0_0217,True,,0.7424242424242424,0.9957,0.16988062442607896,0.0,121.0,9.0
rq1_0061,java,cross-dataset,easy,rq0_0010,rq0_0247,True,,0.6069788797061524,0.8591,0.22773186409550045,0.0,121.0,9.0
rq1_0062,java,cross-dataset,easy,rq0_0010,rq0_0266,True,,0.7658402203856749,1.0,0.2865013774104683,0.0,121.0,9.0
rq1_0063,java,cross-dataset,easy,rq0_0010,rq0_0298,True,,0.650137741046832,0.9793,0.24058769513314968,0.0,121.0,9.0
rq1_0064,java,Buse,easy,rq0_0011,rq0_0048,True,,0.6507410695990711,1.0,0.2609794412949935,0.0,121.0,121.0
rq1_0065,java,cross-dataset,easy,rq0_0011,rq0_0196,True,,0.6046831955922864,0.8455,0.21763085399449036,0.0,121.0,9.0
rq1_0066,java,cross-dataset,easy,rq0_0011,rq0_0261,True,,0.6349862258953168,0.9242,0.22130394857667585,0.0,121.0,9.0
rq1_0067,java,cross-dataset,easy,rq0_0011,rq0_0286,True,,0.6652892561983471,0.9883,0.22497704315886133,0.0,121.0,9.0
rq1_0068,java,Buse,easy,rq0_0012,rq0_0076,True,,0.8932108462536712,1.0,0.12164469640051909,0.0,121.0,121.0
rq1_0069,java,cross-dataset,easy,rq0_0012,rq0_0130,True,,0.734447940800166,1.0,0.21352743870811577,0.0,121.0,239.0
rq1_0070,java,cross-dataset,easy,rq0_0012,rq0_0149,True,,0.8317526983696879,1.0,0.15810865736350088,0.0,121.0,183.0
rq1_0071,java,cross-dataset,easy,rq0_0012,rq0_0195,True,,0.7529843893480257,0.99715,0.20752984389348025,0.0001,121.0,9.0
rq1_0072,java,cross-dataset,easy,rq0_0012,rq0_0231,True,,0.7892561983471075,0.99915,0.1827364554637282,0.0003,121.0,9.0
rq1_0073,java,cross-dataset,easy,rq0_0012,rq0_0241,True,,0.7222222222222222,0.9931,0.25068870523415976,0.0004,121.0,9.0
rq1_0074,java,cross-dataset,easy,rq0_0012,rq0_0260,True,,0.7024793388429752,0.9866,0.2516069788797062,0.0006,121.0,9.0
rq1_0075,java,Buse,easy,rq0_0013,rq0_0026,True,,0.7617307560958951,1.0,0.19103886346561028,0.0,121.0,121.0
rq1_0076,java,Buse,easy,rq0_0013,rq0_0041,True,,0.8378867563691005,1.0,0.14268151082576327,0.0,121.0,121.0
rq1_0077,java,Buse,easy,rq0_0013,rq0_0052,True,,0.8538351205518748,1.0,0.1245816542585889,0.0,121.0,121.0
rq1_0078,java,cross-dataset,easy,rq0_0013,rq0_0101,True,,0.8003431227863046,1.0,0.16569510035419127,0.0,121.0,224.0
rq1_0079,java,cross-dataset,easy,rq0_0013,rq0_0147,True,,0.8902926432732692,1.0,0.0956509958000271,0.0,121.0,244.0
rq1_0080,java,cross-dataset,easy,rq0_0013,rq0_0169,True,,0.8356060606060606,1.0,0.1435720844811754,0.0,121.0,180.0
rq1_0081,java,cross-dataset,easy,rq0_0013,rq0_0176,True,,0.8591368227731864,1.0,0.1241505968778696,0.0,121.0,180.0
rq1_0082,java,cross-dataset,easy,rq0_0013,rq0_0216,True,,0.9352617079889807,1.0,0.0707070707070707,0.0,121.0,9.0
rq1_0083,java,cross-dataset,easy,rq0_0013,rq0_0246,True,,0.9765840220385675,1.0,0.03581267217630854,0.0,121.0,9.0
rq1_0084,java,cross-dataset,easy,rq0_0013,rq0_0288,True,,0.9660238751147842,1.0,0.04040404040404041,0.0,121.0,9.0
rq1_0085,java,cross-dataset,easy,rq0_0013,rq0_0308,True,,0.8016528925619835,0.9995,0.15977961432506887,0.0,121.0,9.0
rq1_0086,java,Buse,easy,rq0_0014,rq0_0046,True,,0.7728297247455775,1.0,0.20613346082917833,0.0,121.0,121.0
rq1_0087,java,Buse,easy,rq0_0014,rq0_0049,True,,0.766033740864695,1.0,0.20606515948364182,0.0,121.0,121.0
rq1_0088,java,Buse,easy,rq0_0014,rq0_0059,True,,0.7204425927190765,1.0,0.20244518817020696,0.0,121.0,121.0
rq1_0089,java,Buse,easy,rq0_0014,rq0_0078,True,,0.8086537804794754,1.0,0.17423673246362953,0.0,121.0,121.0
rq1_0090,java,Buse,easy,rq0_0014,rq0_0094,True,,0.739225462741616,1.0,0.22443822143296224,0.0,121.0,121.0
rq1_0091,java,cross-dataset,easy,rq0_0014,rq0_0114,True,,0.7612136763529725,1.0,0.1925819781391629,0.0,121.0,248.0
rq1_0092,java,cross-dataset,easy,rq0_0014,rq0_0124,True,,0.7069546234211758,1.0,0.23056291907063778,0.0,121.0,265.0
rq1_0093,java,cross-dataset,easy,rq0_0014,rq0_0149,True,,0.5812897981303347,0.9919,0.2533983651718376,0.0,121.0,183.0
rq1_0094,java,cross-dataset,easy,rq0_0014,rq0_0215,True,,0.8682277318640955,1.0,0.16069788797061524,0.0,121.0,9.0
rq1_0095,java,cross-dataset,easy,rq0_0014,rq0_0221,True,,0.945821854912764,1.0,0.08631772268135904,0.0,121.0,9.0
rq1_0096,java,cross-dataset,easy,rq0_0014,rq0_0248,True,,0.9164370982552801,1.0,0.12304866850321396,0.0,121.0,9.0
rq1_0097,java,Buse,easy,rq0_0015,rq0_0056,True,,0.8427020012294242,1.0,0.17894952530564853,0.0,121.0,121.0
rq1_0098,java,Buse,easy,rq0_0015,rq0_0084,True,,0.7684925893040093,1.0,0.1941807253602896,0.0,121.0,121.0
rq1_0099,java,cross-dataset,easy,rq0_0015,rq0_0116,True,,0.6639826217619965,1.0,0.2201352366641623,0.0,121.0,253.0
rq1_0100,java,cross-dataset,easy,rq0_0015,rq0_0181,True,,0.6605127521549808,1.0,0.27819248200479874,0.0,121.0,186.0
rq1_0101,java,cross-dataset,easy,rq0_0015,rq0_0274,True,,0.6193755739210285,0.912,0.2745638200183655,0.0,121.0,9.0
rq1_0102,java,cross-dataset,easy,rq0_0015,rq0_0283,True,,0.7938475665748393,1.0,0.25068870523415976,0.0,121.0,9.0
rq1_0103,java,cross-dataset,easy,rq0_0015,rq0_0291,True,,0.7309458218549127,0.9995,0.28833792470156105,0.0,121.0,9.0
rq1_0104,java,Buse,easy,rq0_0016,rq0_0029,True,,0.6924390410491087,1.0,0.2165152653507274,0.0,121.0,121.0
rq1_0105,java,cross-dataset,easy,rq0_0016,rq0_0107,True,,0.7478347107438017,1.0,0.20125619834710745,0.0,121.0,250.0
rq1_0106,java,cross-dataset,easy,rq0_0016,rq0_0169,True,,0.7099632690541782,1.0,0.20918273645546373,0.0,121.0,180.0
rq1_0107,java,cross-dataset,easy,rq0_0016,rq0_0173,True,,0.8204725116780452,1.0,0.1487603305785124,0.0,121.0,184.0
rq1_0108,java,cross-dataset,easy,rq0_0016,rq0_0222,True,,0.8902662993572085,1.0,0.12764003673094582,0.0,121.0,9.0
rq1_0109,java,cross-dataset,easy,rq0_0016,rq0_0238,True,,0.8282828282828283,1.0,0.15794306703397612,0.0,121.0,9.0
rq1_0110,java,cross-dataset,easy,rq0_0016,rq0_0258,True,,0.7786960514233241,1.0,0.20202020202020202,0.0,121.0,9.0
rq1_0111,java,cross-dataset,easy,rq0_0016,rq0_0297,True,,0.8902662993572085,1.0,0.12764003673094582,0.0,121.0,9.0
rq1_0112,java,Buse,easy,rq0_0017,rq0_0053,True,,0.7205108940646131,1.0,0.22457482412403523,0.0,121.0,121.0
rq1_0113,java,Buse,easy,rq0_0017,rq0_0064,True,,0.7340345604808415,1.0,0.19739088860050544,0.0,121.0,121.0
rq1_0114,java,cross-dataset,easy,rq0_0017,rq0_0251,True,,0.6845730027548209,0.9906,0.26170798898071623,0.0,121.0,9.0
rq1_0115,java,Buse,easy,rq0_0018,rq0_0027,True,,0.6723242947886073,1.0,0.20538214602827676,0.0,121.0,121.0
rq1_0116,java,Buse,easy,rq0_0018,rq0_0056,True,,0.7197937299364797,1.0,0.2134417048015846,0.0,121.0,121.0
rq1_0117,java,cross-dataset,easy,rq0_0018,rq0_0111,True,,0.7818257638941543,1.0,0.164606869360831,0.0,121.0,218.0
rq1_0118,java,cross-dataset,easy,rq0_0018,rq0_0114,True,,0.6697547320714476,1.0,0.23727006131698214,0.0,121.0,248.0
rq1_0119,java,cross-dataset,easy,rq0_0018,rq0_0202,True,,0.6432506887052342,0.9161,0.19559228650137742,0.0,121.0,9.0
rq1_0120,java,cross-dataset,easy,rq0_0018,rq0_0225,True,,0.6060606060606061,0.89105,0.2516069788797062,0.0005,121.0,9.0
rq1_0121,java,cross-dataset,easy,rq0_0019,rq0_0276,True,,0.7254361799816346,0.9989,0.21854912764003673,0.0,121.0,9.0
rq1_0122,java,Buse,easy,rq0_0020,rq0_0060,True,,0.6784031145413565,1.0,0.2250529335427908,0.0,121.0,121.0
rq1_0123,java,Buse,easy,rq0_0020,rq0_0089,True,,0.6676115019465884,1.0,0.236937367666143,0.0,121.0,121.0
rq1_0124,java,cross-dataset,easy,rq0_0020,rq0_0109,True,,0.6710323574730355,1.0,0.2332959798291077,0.0,121.0,236.0
rq1_0125,java,cross-dataset,easy,rq0_0020,rq0_0122,True,,0.8228305785123967,1.0,0.14488636363636365,0.0,121.0,256.0
rq1_0126,java,cross-dataset,easy,rq0_0020,rq0_0129,True,,0.6662376371765344,1.0,0.2305920606963826,0.0,121.0,244.0
rq1_0127,java,cross-dataset,easy,rq0_0020,rq0_0144,True,,0.6872844406845838,1.0,0.2094097741914492,0.0,121.0,254.0
rq1_0128,java,cross-dataset,easy,rq0_0020,rq0_0189,True,,0.8287419651056015,1.0,0.1386593204775023,0.0,121.0,9.0
rq1_0129,java,Buse,easy,rq0_0021,rq0_0041,True,,0.6743391844819343,1.0,0.23741547708489857,0.0,121.0,121.0
rq1_0130,java,Buse,easy,rq0_0021,rq0_0064,True,,0.805887575985247,1.0,0.1670650911822963,0.0,121.0,121.0
rq1_0131,java,cross-dataset,easy,rq0_0021,rq0_0132,True,,0.6823369467997568,1.0,0.23047475940037923,0.0,121.0,231.0
rq1_0132,java,cross-dataset,easy,rq0_0021,rq0_0167,True,,0.6636921360847742,1.0,0.24539877300613497,0.0,121.0,163.0
rq1_0133,java,cross-dataset,easy,rq0_0021,rq0_0218,True,,0.8516988062442608,1.0,0.1386593204775023,0.0,121.0,9.0
rq1_0134,java,cross-dataset,easy,rq0_0021,rq0_0276,True,,0.7869605142332415,0.9999,0.19651056014692378,0.0,121.0,9.0
rq1_0135,java,cross-dataset,easy,rq0_0021,rq0_0308,True,,0.7157943067033976,0.9972,0.23783287419651056,0.0,121.0,9.0
rq1_0136,java,Buse,easy,rq0_0022,rq0_0048,True,,0.6842770302574961,1.0,0.25196366368417455,0.0,121.0,121.0
rq1_0137,java,cross-dataset,easy,rq0_0022,rq0_0149,True,,0.7104728356591248,1.0,0.20168902136115252,0.0,121.0,183.0
rq1_0138,java,cross-dataset,easy,rq0_0022,rq0_0180,True,,0.6229283599239847,1.0,0.24996685375878375,0.0,121.0,187.0
rq1_0139,java,cross-dataset,easy,rq0_0022,rq0_0208,True,,0.7929292929292929,1.0,0.24517906336088155,0.0,121.0,9.0
rq1_0140,java,cross-dataset,easy,rq0_0022,rq0_0217,True,,0.7231404958677686,0.9862,0.20477502295684114,0.0,121.0,9.0
rq1_0141,java,cross-dataset,easy,rq0_0022,rq0_0244,True,,0.7929292929292929,1.0,0.24517906336088155,0.0,121.0,9.0
rq1_0142,java,cross-dataset,easy,rq0_0022,rq0_0308,True,,0.5849403122130394,0.8561,0.2681359044995409,0.0,121.0,9.0
rq1_0143,java,cross-dataset,easy,rq0_0023,rq0_0100,True,,0.776050641814665,1.0,0.1887110954809214,0.0,121.0,235.0
rq1_0144,java,cross-dataset,easy,rq0_0023,rq0_0130,True,,0.7310418755835264,1.0,0.20851343407448392,0.0,121.0,239.0
rq1_0145,java,cross-dataset,easy,rq0_0023,rq0_0137,True,,0.84527693199942,1.0,0.13857474264172828,0.0,121.0,228.0
rq1_0146,java,cross-dataset,easy,rq0_0023,rq0_0160,True,,0.7945133149678604,1.0,0.18094582185491276,0.0,121.0,180.0
rq1_0147,java,cross-dataset,easy,rq0_0023,rq0_0203,True,,0.95821854912764,1.0,0.05417814508723599,0.0,121.0,9.0
rq1_0148,java,cross-dataset,easy,rq0_0023,rq0_0214,True,,0.7837465564738292,1.0,0.21212121212121213,0.0,121.0,9.0
rq1_0149,java,cross-dataset,easy,rq0_0023,rq0_0247,True,,0.7640036730945822,0.9997,0.22038567493112948,0.0,121.0,9.0
rq1_0150,java,cross-dataset,easy,rq0_0023,rq0_0260,True,,0.8094582185491277,0.9999,0.18640955004591367,0.0,121.0,9.0
rq1_0151,java,Buse,easy,rq0_0024,rq0_0058,True,,0.8562939689911891,1.0,0.14425244177310292,0.0,121.0,121.0
rq1_0152,java,Buse,easy,rq0_0024,rq0_0069,True,,0.8196161464380848,1.0,0.16829451540195342,0.0,121.0,121.0
rq1_0153,java,Buse,easy,rq0_0024,rq0_0083,True,,0.8097466020080596,1.0,0.18789700157093095,0.0,121.0,121.0
rq1_0154,java,cross-dataset,easy,rq0_0024,rq0_0192,True,,0.9118457300275482,1.0,0.09917355371900827,0.0,121.0,9.0
rq1_0155,java,cross-dataset,easy,rq0_0024,rq0_0206,True,,0.8507805325987144,1.0,0.15335169880624427,0.0,121.0,9.0
rq1_0156,java,cross-dataset,easy,rq0_0024,rq0_0212,True,,0.8581267217630854,1.0,0.17355371900826447,0.0,121.0,9.0
rq1_0157,java,cross-dataset,easy,rq0_0024,rq0_0246,True,,0.9765840220385675,1.0,0.04132231404958678,0.0,121.0,9.0
rq1_0158,java,cross-dataset,easy,rq0_0024,rq0_0250,True,,0.9637281910009182,1.0,0.06336088154269973,0.0,121.0,9.0
rq1_0159,java,cross-dataset,easy,rq0_0024,rq0_0259,True,,0.9012855831037649,1.0,0.1349862258953168,0.0,121.0,9.0
rq1_0160,java,cross-dataset,easy,rq0_0025,rq0_0181,True,,0.6606904825379899,1.0,0.24273527059450814,0.0,121.0,186.0
rq1_0161,java,cross-dataset,easy,rq0_0025,rq0_0281,True,,0.5964187327823691,0.88395,0.27823691460055094,0.0001,121.0,9.0
rq1_0162,java,cross-dataset,easy,rq0_0025,rq0_0295,True,,0.7681359044995408,0.9996,0.1992653810835629,0.0,121.0,9.0
rq1_0163,java,Buse,easy,rq0_0026,rq0_0057,True,,0.7416843111809303,1.0,0.2171982788060925,0.0,121.0,121.0
rq1_0164,java,Buse,easy,rq0_0026,rq0_0087,True,,0.8374427976231131,1.0,0.14944334403387746,0.0,121.0,121.0
rq1_0165,java,Buse,easy,rq0_0026,rq0_0089,True,,0.7031965029711086,1.0,0.22573594699815586,0.0,121.0,121.0
rq1_0166,java,cross-dataset,easy,rq0_0026,rq0_0115,True,,0.759018759018759,1.0,0.21874590056408239,0.0,121.0,252.0
rq1_0167,java,Buse,easy,rq0_0027,rq0_0050,True,,0.8006283723789359,1.0,0.1527218086196298,0.0,121.0,121.0
rq1_0168,java,Buse,easy,rq0_0027,rq0_0067,True,,0.7409329963800287,1.0,0.18318420872891195,0.0,121.0,121.0
rq1_0169,java,cross-dataset,easy,rq0_0027,rq0_0130,True,,0.7024793388429752,1.0,0.1968256163767765,0.0,121.0,239.0
rq1_0170,java,cross-dataset,easy,rq0_0027,rq0_0165,True,,0.6592439546985002,1.0,0.22043669013365982,0.0,121.0,162.0
rq1_0171,java,cross-dataset,easy,rq0_0027,rq0_0167,True,,0.6666075140698676,1.0,0.20975510824925214,0.0,121.0,163.0
rq1_0172,java,cross-dataset,easy,rq0_0027,rq0_0183,True,,0.7756853181592377,1.0,0.16610215417965046,0.0,121.0,183.0
rq1_0173,java,cross-dataset,easy,rq0_0027,rq0_0233,True,,0.6414141414141414,0.9288,0.24701561065197428,0.0008,121.0,9.0
rq1_0174,java,cross-dataset,easy,rq0_0027,rq0_0251,True,,0.7630853994490359,0.9996,0.17998163452708907,0.0,121.0,9.0
rq1_0175,java,cross-dataset,easy,rq0_0027,rq0_0262,True,,0.6299357208448118,0.906,0.2295684113865932,0.0014,121.0,9.0
rq1_0176,java,cross-dataset,easy,rq0_0027,rq0_0308,True,,0.7144168962350781,0.99665,0.1854912764003673,0.0001,121.0,9.0
rq1_0177,java,cross-dataset,easy,rq0_0028,rq0_0178,True,,0.7376239669421487,1.0,0.2112809917355372,0.0,121.0,200.0
rq1_0178,java,cross-dataset,easy,rq0_0028,rq0_0184,True,,0.7428083280356008,1.0,0.2061347743165925,0.0,121.0,208.0
rq1_0179,java,cross-dataset,easy,rq0_0028,rq0_0270,True,,0.78099173553719,0.9995,0.18640955004591367,0.0,121.0,9.0
rq1_0180,java,cross-dataset,easy,rq0_0028,rq0_0280,True,,0.857208448117539,1.0,0.15335169880624427,0.0,121.0,9.0
rq1_0181,java,Buse,easy,rq0_0029,rq0_0076,True,,0.7342736151902193,1.0,0.20879721330510212,0.0,121.0,121.0
rq1_0182,java,cross-dataset,easy,rq0_0029,rq0_0161,True,,0.6432429936746848,1.0,0.2273419825476707,0.0,121.0,179.0
rq1_0183,java,cross-dataset,easy,rq0_0029,rq0_0292,True,,0.5922865013774105,0.88955,0.26078971533516987,0.0001,121.0,9.0
rq1_0184,java,cross-dataset,easy,rq0_0030,rq0_0156,True,,0.7065687491971053,1.0,0.24292382135057594,0.0,121.0,193.0
rq1_0185,java,cross-dataset,easy,rq0_0030,rq0_0159,True,,0.696344240175409,1.0,0.2503373250126497,0.0,121.0,196.0
rq1_0186,java,cross-dataset,easy,rq0_0030,rq0_0225,True,,0.8480257116620753,1.0,0.15335169880624427,0.0,121.0,9.0
rq1_0187,java,cross-dataset,easy,rq0_0030,rq0_0231,True,,0.8163452708907254,0.9996,0.1561065197428834,0.0,121.0,9.0
rq1_0188,java,cross-dataset,easy,rq0_0030,rq0_0257,True,,0.5743801652892562,0.7795,0.32231404958677684,0.0,121.0,9.0
rq1_0189,java,cross-dataset,easy,rq0_0031,rq0_0119,True,,0.7330847275414903,1.0,0.21030706174830344,0.0,121.0,246.0
rq1_0190,java,cross-dataset,easy,rq0_0032,rq0_0101,True,,0.8094377213695395,1.0,0.1667650531286895,0.0,121.0,224.0
rq1_0191,java,cross-dataset,easy,rq0_0032,rq0_0109,True,,0.7604356352430313,1.0,0.20352990614932062,0.0,121.0,236.0
rq1_0192,java,cross-dataset,easy,rq0_0032,rq0_0134,True,,0.7571957822741522,1.0,0.20703904246223995,0.0,121.0,232.0
rq1_0193,java,cross-dataset,easy,rq0_0032,rq0_0176,True,,0.733287419651056,1.0,0.22791551882460973,0.0,121.0,180.0
rq1_0194,java,cross-dataset,easy,rq0_0032,rq0_0183,True,,0.8644266811181863,1.0,0.12274759517680531,0.0,121.0,183.0
rq1_0195,java,cross-dataset,easy,rq0_0032,rq0_0259,True,,0.7024793388429752,0.9859,0.24426078971533516,0.0,121.0,9.0
rq1_0196,java,cross-dataset,easy,rq0_0032,rq0_0301,True,,0.8048668503213958,1.0,0.162534435261708,0.0,121.0,9.0
rq1_0197,java,Buse,easy,rq0_0033,rq0_0049,True,,0.9031828427020012,1.0,0.10538897616283041,0.0,121.0,121.0
rq1_0198,java,Buse,easy,rq0_0033,rq0_0065,True,,0.9041390615395123,1.0,0.09336793934840516,0.0,121.0,121.0
