contrast_id,base_id,rq0_id,language,score_stratum,variant_i,variant_j,contrast_type,preference_target_variant
rq3g_cuda_016__c6,rq3g_cuda_016,dorn_cuda_072,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_017__c1,rq3g_cuda_017,dorn_cuda_089,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_017__c2,rq3g_cuda_017,dorn_cuda_089,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_017__c3,rq3g_cuda_017,dorn_cuda_089,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_017__c4,rq3g_cuda_017,dorn_cuda_089,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_017__c5,rq3g_cuda_017,dorn_cuda_089,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_017__c6,rq3g_cuda_017,dorn_cuda_089,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_018__c1,rq3g_cuda_018,dorn_cuda_034,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_018__c2,rq3g_cuda_018,dorn_cuda_034,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_018__c3,rq3g_cuda_018,dorn_cuda_034,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_018__c4,rq3g_cuda_018,dorn_cuda_034,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_018__c5,rq3g_cuda_018,dorn_cuda_034,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_018__c6,rq3g_cuda_018,dorn_cuda_034,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_019__c1,rq3g_cuda_019,dorn_cuda_110,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_019__c2,rq3g_cuda_019,dorn_cuda_110,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_019__c3,rq3g_cuda_019,dorn_cuda_110,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_019__c4,rq3g_cuda_019,dorn_cuda_110,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_019__c5,rq3g_cuda_019,dorn_cuda_110,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_019__c6,rq3g_cuda_019,dorn_cuda_110,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_020__c1,rq3g_cuda_020,dorn_cuda_058,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_020__c2,rq3g_cuda_020,dorn_cuda_058,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_020__c3,rq3g_cuda_020,dorn_cuda_058,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_020__c4,rq3g_cuda_020,dorn_cuda_058,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_020__c5,rq3g_cuda_020,dorn_cuda_058,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_020__c6,rq3g_cuda_020,dorn_cuda_058,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_021__c1,rq3g_cuda_021,dorn_cuda_006,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_021__c2,rq3g_cuda_021,dorn_cuda_006,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_021__c3,rq3g_cuda_021,dorn_cuda_006,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_021__c4,rq3g_cuda_021,dorn_cuda_006,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_021__c5,rq3g_cuda_021,dorn_cuda_006,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_021__c6,rq3g_cuda_021,dorn_cuda_006,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_022__c1,rq3g_cuda_022,dorn_cuda_020,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_022__c2,rq3g_cuda_022,dorn_cuda_020,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_022__c3,rq3g_cuda_022,dorn_cuda_020,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_022__c4,rq3g_cuda_022,dorn_cuda_020,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_022__c5,rq3g_cuda_022,dorn_cuda_020,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_022__c6,rq3g_cuda_022,dorn_cuda_020,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_023__c1,rq3g_cuda_023,dorn_cuda_067,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_023__c2,rq3g_cuda_023,dorn_cuda_067,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_023__c3,rq3g_cuda_023,dorn_cuda_067,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_023__c4,rq3g_cuda_023,dorn_cuda_067,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_023__c5,rq3g_cuda_023,dorn_cuda_067,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_023__c6,rq3g_cuda_023,dorn_cuda_067,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_024__c1,rq3g_cuda_024,dorn_cuda_030,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_024__c2,rq3g_cuda_024,dorn_cuda_030,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_024__c3,rq3g_cuda_024,dorn_cuda_030,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_024__c4,rq3g_cuda_024,dorn_cuda_030,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_024__c5,rq3g_cuda_024,dorn_cuda_030,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_024__c6,rq3g_cuda_024,dorn_cuda_030,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_025__c1,rq3g_cuda_025,dorn_cuda_010,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_025__c2,rq3g_cuda_025,dorn_cuda_010,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_025__c3,rq3g_cuda_025,dorn_cuda_010,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_025__c4,rq3g_cuda_025,dorn_cuda_010,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_025__c5,rq3g_cuda_025,dorn_cuda_010,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_025__c6,rq3g_cuda_025,dorn_cuda_010,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_026__c1,rq3g_cuda_026,dorn_cuda_032,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_026__c2,rq3g_cuda_026,dorn_cuda_032,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_026__c3,rq3g_cuda_026,dorn_cuda_032,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_026__c4,rq3g_cuda_026,dorn_cuda_032,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_026__c5,rq3g_cuda_026,dorn_cuda_032,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_026__c6,rq3g_cuda_026,dorn_cuda_032,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_027__c1,rq3g_cuda_027,dorn_cuda_118,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_027__c2,rq3g_cuda_027,dorn_cuda_118,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_027__c3,rq3g_cuda_027,dorn_cuda_118,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_027__c4,rq3g_cuda_027,dorn_cuda_118,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_027__c5,rq3g_cuda_027,dorn_cuda_118,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_027__c6,rq3g_cuda_027,dorn_cuda_118,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_028__c1,rq3g_cuda_028,dorn_cuda_063,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_028__c2,rq3g_cuda_028,dorn_cuda_063,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_028__c3,rq3g_cuda_028,dorn_cuda_063,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_028__c4,rq3g_cuda_028,dorn_cuda_063,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_028__c5,rq3g_cuda_028,dorn_cuda_063,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_028__c6,rq3g_cuda_028,dorn_cuda_063,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_029__c1,rq3g_cuda_029,dorn_cuda_082,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_029__c2,rq3g_cuda_029,dorn_cuda_082,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_029__c3,rq3g_cuda_029,dorn_cuda_082,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_029__c4,rq3g_cuda_029,dorn_cuda_082,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_029__c5,rq3g_cuda_029,dorn_cuda_082,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_029__c6,rq3g_cuda_029,dorn_cuda_082,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_030__c1,rq3g_cuda_030,dorn_cuda_000,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_030__c2,rq3g_cuda_030,dorn_cuda_000,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_030__c3,rq3g_cuda_030,dorn_cuda_000,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_030__c4,rq3g_cuda_030,dorn_cuda_000,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_030__c5,rq3g_cuda_030,dorn_cuda_000,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_030__c6,rq3g_cuda_030,dorn_cuda_000,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_031__c1,rq3g_cuda_031,dorn_cuda_001,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_031__c2,rq3g_cuda_031,dorn_cuda_001,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_031__c3,rq3g_cuda_031,dorn_cuda_001,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_031__c4,rq3g_cuda_031,dorn_cuda_001,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_031__c5,rq3g_cuda_031,dorn_cuda_001,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_031__c6,rq3g_cuda_031,dorn_cuda_001,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
rq3g_cuda_032__c1,rq3g_cuda_032,dorn_cuda_079,cuda,low,golden,ugly_gold,visual_only_gold,golden
rq3g_cuda_032__c2,rq3g_cuda_032,dorn_cuda_079,cuda,low,golden,beautiful_trash,semantic_and_visual_aligned,golden
rq3g_cuda_032__c3,rq3g_cuda_032,dorn_cuda_079,cuda,low,golden,ugly_trash,semantic_and_visual_aligned,golden
rq3g_cuda_032__c4,rq3g_cuda_032,dorn_cuda_079,cuda,low,ugly_gold,beautiful_trash,semantic_visual_conflict_primary,ugly_gold
rq3g_cuda_032__c5,rq3g_cuda_032,dorn_cuda_079,cuda,low,ugly_gold,ugly_trash,semantic_only_under_ugly,ugly_gold
rq3g_cuda_032__c6,rq3g_cuda_032,dorn_cuda_079,cuda,low,beautiful_trash,ugly_trash,visual_only_trash,beautiful_trash
