base_id,rq0_id,language,score_stratum,variant,semantic_integrity,visual_quality,source_sha256,image_path,image_width,image_height,source_lines,visual_rows,continuation_rows,char_width,glyph_height,row_height,background,remove_indent,remove_blank_lines,pixel_std,nonblank,image_sha256
rq3g_cuda_005,dorn_cuda_025,cuda,low,golden,gold,clean,11eb0edaf5a2e17e1181a2e19bd1ce4f0fb5aac04bee25a788bb3fc23743b132,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_005.png,1028,839,28,39,11,12,15,21,#272822,False,False,51.8975913712774,True,623d138419db3be33002bf2c477f5904987402067dbc25abb4f9316760764000
rq3g_cuda_005,dorn_cuda_025,cuda,low,ugly_gold,gold,ugly,11eb0edaf5a2e17e1181a2e19bd1ce4f0fb5aac04bee25a788bb3fc23743b132,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_005.png,676,616,28,40,16,11,13,15,#ffffff,True,True,82.56616923276572,True,8eb5c042e02d814c5cc17c1ca23481296524a23cd607357775b396f242cafeed
rq3g_cuda_005,dorn_cuda_025,cuda,low,beautiful_trash,trash,clean,ac535ccd2ca4ba21de518c632b526ed7dce32f5fdad8285d71f3e8a1e9dec9c3,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_005.png,1028,944,28,44,16,12,15,21,#272822,False,False,57.66530563601025,True,4cc1967e0df9abe7d2d2c5bca99d53cd90fceed2c7d926b00f143e7f5d167b2e
rq3g_cuda_005,dorn_cuda_025,cuda,low,ugly_trash,trash,ugly,ac535ccd2ca4ba21de518c632b526ed7dce32f5fdad8285d71f3e8a1e9dec9c3,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_005.png,676,736,28,48,24,11,13,15,#ffffff,True,True,88.08100857080304,True,34683a343e9d4b862123250931d01fbe57e734e7639153ab41c2b6b80f9ee67d
rq3g_cuda_006,dorn_cuda_093,cuda,low,golden,gold,clean,b847876e9b0c516cc4005243ff9c8839ea44d6ee3e04924ce6b6bbec14ef2978,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_006.png,1028,860,28,40,12,12,15,21,#272822,False,False,50.92454527559525,True,72704eac315adb5e03615809c156bdad280f6c3ad947f4447fc3d8ff7721a0de
rq3g_cuda_006,dorn_cuda_093,cuda,low,ugly_gold,gold,ugly,b847876e9b0c516cc4005243ff9c8839ea44d6ee3e04924ce6b6bbec14ef2978,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_006.png,676,706,28,46,18,11,13,15,#ffffff,True,True,74.5321754859974,True,87a5178c7481d51d747ad0dcdd286bd9cd385d3b4ae036dd37e374b2fe974fe5
rq3g_cuda_006,dorn_cuda_093,cuda,low,beautiful_trash,trash,clean,4aaae749f2d52967555ed38142ea0ab6bd77e78c5e9bc058355de5b4c36adc10,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_006.png,1028,1301,28,61,33,12,15,21,#272822,False,False,61.41026556635736,True,2549c3bc5d6b8c43ad8e4c4e00f899c6c610e6aaf00b3a4247f4b502e9c1d2a9
rq3g_cuda_006,dorn_cuda_093,cuda,low,ugly_trash,trash,ugly,4aaae749f2d52967555ed38142ea0ab6bd77e78c5e9bc058355de5b4c36adc10,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_006.png,676,1081,28,71,43,11,13,15,#ffffff,True,True,88.54264410693919,True,3faf48b601676fb6e38dd14d3889d5b42a56da09aca96a91ec973b105176b422
rq3g_cuda_007,dorn_cuda_084,cuda,low,golden,gold,clean,358e8e355a5dee38b5b7440dd8539968496fdd9e13a7f26c2e386dfa682e1358,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_007.png,1028,1385,50,65,15,12,15,21,#272822,False,False,51.079193576976316,True,01715d9bb192de650add8a5acdaf044c0dd48f0d80841329d5a330c2fbf8a8e3
rq3g_cuda_007,dorn_cuda_084,cuda,low,ugly_gold,gold,ugly,358e8e355a5dee38b5b7440dd8539968496fdd9e13a7f26c2e386dfa682e1358,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_007.png,676,1156,50,76,29,11,13,15,#ffffff,True,True,74.66109262568182,True,4c87fcab61912e330514f0f8dee711668deb114dd2625cb9852ca09786998dbf
rq3g_cuda_007,dorn_cuda_084,cuda,low,beautiful_trash,trash,clean,7430c85670dbd969f5266d634e5f41b6d01208569bb14d124b8c8edb4bfafca4,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_007.png,1028,1931,50,91,41,12,15,21,#272822,False,False,60.44449936970875,True,882f8e6557afc02e120d0525cc71ae35e826917a02fb5c55f2baff5d35c69a90
rq3g_cuda_007,dorn_cuda_084,cuda,low,ugly_trash,trash,ugly,7430c85670dbd969f5266d634e5f41b6d01208569bb14d124b8c8edb4bfafca4,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_007.png,676,1561,50,103,56,11,13,15,#ffffff,True,True,88.35597912838243,True,b589f6dcf7fe12be54d51ab92f7088f0db0a2d91200959681cdb8f3da5ac5ecd
rq3g_cuda_008,dorn_cuda_092,cuda,low,golden,gold,clean,14ef94a1dd98aeeec23bea277abab6794ba916cb475c692b62b7ed406b5e3b39,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_008.png,1028,251,9,11,2,12,15,21,#272822,False,False,45.766851644745906,True,89aa79dcf260fb1f15bd396995f6057b5f3302b04956a4337287895d26d2fd96
rq3g_cuda_008,dorn_cuda_092,cuda,low,ugly_gold,gold,ugly,14ef94a1dd98aeeec23bea277abab6794ba916cb475c692b62b7ed406b5e3b39,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_008.png,676,196,9,12,3,11,13,15,#ffffff,True,True,68.45469598902183,True,b28003b7e6a99a0becba8fe2e44622c201d2ec3a92d7902415ef2792b79a2745
rq3g_cuda_008,dorn_cuda_092,cuda,low,beautiful_trash,trash,clean,d7136303c4cfb0308b7d5f4d2b7420b33ce76dc9443cf40d2bd2ee38a92fe1b5,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_008.png,1028,461,9,21,12,12,15,21,#272822,False,False,63.28297327667104,True,3610fa82160cc7cbacf7a9c5c2be76c6397f45c0ee17a7a6ce15fe0e49d83f31
rq3g_cuda_008,dorn_cuda_092,cuda,low,ugly_trash,trash,ugly,d7136303c4cfb0308b7d5f4d2b7420b33ce76dc9443cf40d2bd2ee38a92fe1b5,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_008.png,676,406,9,26,17,11,13,15,#ffffff,True,True,88.67040291565307,True,8737cd6eeda99daea4a37f4265d7260f4e63dbdeeebad5bc00457e8ee238ffb4
rq3g_cuda_009,dorn_cuda_047,cuda,low,golden,gold,clean,6546e8732e3be6230fd8d5dbb1cd590efbde7bc4fd98e404c63e6a58635a968d,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_009.png,1028,1574,50,74,24,12,15,21,#272822,False,False,49.448286375431216,True,366b2a0a4819d7a73ca94cb42136546b960b3023283bacbfbaaf19bfc26da0d6
rq3g_cuda_009,dorn_cuda_047,cuda,low,ugly_gold,gold,ugly,6546e8732e3be6230fd8d5dbb1cd590efbde7bc4fd98e404c63e6a58635a968d,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_009.png,676,1141,50,75,33,11,13,15,#ffffff,True,True,82.95383762824702,True,c8590c7e7ea7207866fd57fe02983c8957821b827afafe744e9eecaf150bde99
rq3g_cuda_009,dorn_cuda_047,cuda,low,beautiful_trash,trash,clean,1ba33519867facac8be446b6dccf54220fdc1809446fa69d158afd9c4d2d1264,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_009.png,1028,1721,50,81,31,12,15,21,#272822,False,False,56.7407779462608,True,ce73a896a2152d08631cba9ecae4c51c930137cfadfe4dd7586ca93fe1871b5e
rq3g_cuda_009,dorn_cuda_047,cuda,low,ugly_trash,trash,ugly,1ba33519867facac8be446b6dccf54220fdc1809446fa69d158afd9c4d2d1264,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_009.png,676,1291,50,85,43,11,13,15,#ffffff,True,True,87.04269866267525,True,a519d579b7f42827de23136a9892c2cd41407a623cc8384abedbbbb0a2531f79
rq3g_cuda_010,dorn_cuda_114,cuda,low,golden,gold,clean,fdb91cdf6d5dc29fcdb0e2a82f1b1b1a6446ad9c7f9003bca80709d076b9d44a,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_010.png,1028,1406,50,66,16,12,15,21,#272822,False,False,49.112940349763335,True,77f492701d673fdc2e5a252998844bdf1bb26d1458b38dcb6c6e3ea6f290ac2a
rq3g_cuda_010,dorn_cuda_114,cuda,low,ugly_gold,gold,ugly,fdb91cdf6d5dc29fcdb0e2a82f1b1b1a6446ad9c7f9003bca80709d076b9d44a,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_010.png,676,1036,50,68,21,11,13,15,#ffffff,True,True,76.32975551294456,True,2f44a3e0ef07b6fab7506859526be893c32c131b191f2e09af7064befd5b4c8e
rq3g_cuda_010,dorn_cuda_114,cuda,low,beautiful_trash,trash,clean,38199e592d0e8997f81c5180c65f508929f673a813adc2f51b5abe122ceab247,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_010.png,1028,1994,50,94,44,12,15,21,#272822,False,False,60.40387035643934,True,3130dcc547f25c5512d2f286ef093dc577a0b4f2e53f0ef844fc74c15dabcc03
rq3g_cuda_010,dorn_cuda_114,cuda,low,ugly_trash,trash,ugly,38199e592d0e8997f81c5180c65f508929f673a813adc2f51b5abe122ceab247,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_010.png,676,1561,50,103,56,11,13,15,#ffffff,True,True,89.21429746236021,True,edd6a2bb6249e3db051bdb61dba3335675c6afdbbb0d31abbf3e92be9f44183e
rq3g_cuda_011,dorn_cuda_098,cuda,low,golden,gold,clean,c602927b5dd30459d698eea52e3d13f216d3ed467896eebf0f9d42c01cdce1b4,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_011.png,1028,272,10,12,2,12,15,21,#272822,False,False,48.577110318415244,True,ace2a7dd93bb12d8e4c005cf828cc695a95436c5ae2145e92d39155ccc74a5fb
rq3g_cuda_011,dorn_cuda_098,cuda,low,ugly_gold,gold,ugly,c602927b5dd30459d698eea52e3d13f216d3ed467896eebf0f9d42c01cdce1b4,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_011.png,676,226,10,14,4,11,13,15,#ffffff,True,True,70.37931467506651,True,67a9442fd963c03ba863165d3f1bef513649a9944057d1f4207a4a2018bba114
rq3g_cuda_011,dorn_cuda_098,cuda,low,beautiful_trash,trash,clean,dc7ec28db061767af30940f2e5629d6426ac638f59af1dcefb4fbb57ce0b726c,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_011.png,1028,566,10,26,16,12,15,21,#272822,False,False,65.19450311362226,True,7f828ece915a68c321f4821db98dde4d31f9a3beffd2f1e4e58636d54cba22f9
rq3g_cuda_011,dorn_cuda_098,cuda,low,ugly_trash,trash,ugly,dc7ec28db061767af30940f2e5629d6426ac638f59af1dcefb4fbb57ce0b726c,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_011.png,676,496,10,32,22,11,13,15,#ffffff,True,True,91.71283851551875,True,4172ec63fd20b293f72a404fd64362f311d8512fed973878ab41befb1e1f146d
rq3g_cuda_012,dorn_cuda_115,cuda,low,golden,gold,clean,f9383d4bb315b5f748dcc3a2f2294667f33b11e426ee48a8f71eb4e51b622740,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_012.png,1028,881,30,41,11,12,15,21,#272822,False,False,50.41514296427229,True,eb96d67f35f9f4c5c279450961d878eb9059b891773d27efdcd4c2af1e7bae79
rq3g_cuda_012,dorn_cuda_115,cuda,low,ugly_gold,gold,ugly,f9383d4bb315b5f748dcc3a2f2294667f33b11e426ee48a8f71eb4e51b622740,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_012.png,676,676,30,44,16,11,13,15,#ffffff,True,True,81.5805693558854,True,14d73f7438ebd63e11e2a5553a0830724b553eef8953a29e0912e1b5cf06cb1f
rq3g_cuda_012,dorn_cuda_115,cuda,low,beautiful_trash,trash,clean,c589233ef9f8ccb68eed933cea0eb592642c23e5d847eaf7701b3d961fb9f61c,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_012.png,1028,1112,30,52,22,12,15,21,#272822,False,False,60.4282503911469,True,4865253ffb6a762f37cae7ecdf386deb50fe3f4cbc6adf986a276179802af647
rq3g_cuda_012,dorn_cuda_115,cuda,low,ugly_trash,trash,ugly,c589233ef9f8ccb68eed933cea0eb592642c23e5d847eaf7701b3d961fb9f61c,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_012.png,676,946,30,62,34,11,13,15,#ffffff,True,True,89.1051628776843,True,4676bd74cb889f4025fa0bab1ff34378a4ba4dedbdb5701bc53be5362cb76171
rq3g_cuda_013,dorn_cuda_055,cuda,low,golden,gold,clean,1a8ec091f1e07cf5b3bd613df176d9f98a838bd71b4f61649810cbb2cf07895a,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_013.png,1028,251,9,11,2,12,15,21,#272822,False,False,41.25182521653051,True,9f585882a3958a827c630a89a338efd8375a91421ad0ac30eb1887af920b482f
rq3g_cuda_013,dorn_cuda_055,cuda,low,ugly_gold,gold,ugly,1a8ec091f1e07cf5b3bd613df176d9f98a838bd71b4f61649810cbb2cf07895a,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_013.png,676,196,9,12,3,11,13,15,#ffffff,True,True,62.09901046969835,True,7389bcd8b178b1aaa8dec459d638dfa611f3a4c00eca994f2add8d61f033d535
rq3g_cuda_013,dorn_cuda_055,cuda,low,beautiful_trash,trash,clean,3c34e0ce1472885097cc0c5a960a51bb1a424574b51cd4e4d772bf339f9624a6,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_013.png,1028,314,9,14,5,12,15,21,#272822,False,False,50.70618625695884,True,51902e1d777304914bf669c064278d1a28ef1b13a3fd37488130a01ee4c059fd
rq3g_cuda_013,dorn_cuda_055,cuda,low,ugly_trash,trash,ugly,3c34e0ce1472885097cc0c5a960a51bb1a424574b51cd4e4d772bf339f9624a6,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_013.png,676,241,9,15,6,11,13,15,#ffffff,True,True,77.00707092964072,True,34795655a6876ef0ec8287e9c2dc3c36ecd91d6e3e5f7e8b87ffe8f2b8ae5e36
rq3g_cuda_014,dorn_cuda_064,cuda,low,golden,gold,clean,764846233f9d3dc098a39e4db840d0445bd843544f1554c75e30306b7c030566,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_014.png,1028,1301,48,61,13,12,15,21,#272822,False,False,48.98376914173597,True,23b88de017e8a75f9584a6c12c94b9af1f925add71633198dc78ca7f94e633b6
rq3g_cuda_014,dorn_cuda_064,cuda,low,ugly_gold,gold,ugly,764846233f9d3dc098a39e4db840d0445bd843544f1554c75e30306b7c030566,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_014.png,676,931,48,61,19,11,13,15,#ffffff,True,True,80.16149570277943,True,235d78236d14161c0bdfb24b2fec9e516aa68f775c1074b876712ed02571ad7d
rq3g_cuda_014,dorn_cuda_064,cuda,low,beautiful_trash,trash,clean,d6b053ff3c72abdf326cfae16ade87024cd889caa659cef1ef2601e5bac8d4d7,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_014.png,1028,1511,48,71,23,12,15,21,#272822,False,False,53.79496174120416,True,0de48f2be7e8288f52f4473f723c5823478b71f61603947e1597b70e47d2691e
rq3g_cuda_014,dorn_cuda_064,cuda,low,ugly_trash,trash,ugly,d6b053ff3c72abdf326cfae16ade87024cd889caa659cef1ef2601e5bac8d4d7,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_014.png,676,1111,48,73,31,11,13,15,#ffffff,True,True,84.97071488644863,True,3c1d4027e1d144a6a00e885d88cb39c34b466902954f43cdc5c7078e4fdc03d8
rq3g_cuda_015,dorn_cuda_056,cuda,low,golden,gold,clean,96ab6ac59fd4067e6ca34599f86b323a7d458eebda849c69de964b276f046ff2,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_015.png,1028,230,7,10,3,12,15,21,#272822,False,False,42.4247730994363,True,1cc7b576a96f8027e837c2a3e0479304c4f24dc4c56cc87fa6144a1fd6ee42de
rq3g_cuda_015,dorn_cuda_056,cuda,low,ugly_gold,gold,ugly,96ab6ac59fd4067e6ca34599f86b323a7d458eebda849c69de964b276f046ff2,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_015.png,676,166,7,10,3,11,13,15,#ffffff,True,True,72.90259712569299,True,a26d74503d96f868dca77634a192d62079d5989f82b30d1ee68892ef458c840c
rq3g_cuda_015,dorn_cuda_056,cuda,low,beautiful_trash,trash,clean,bb7d0e19da166b7711405c03c32d77fa79fd59d4f84e913ce72b8b91ba906ace,results/grounded_protocol_3lang_20260721/rq3/rendered/beautiful_trash/rq3g_cuda_015.png,1028,251,7,11,4,12,15,21,#272822,False,False,55.848573621572086,True,c1334e542035cc280fedc86125325aec5df11d60a546b25f50839819c9959a04
rq3g_cuda_015,dorn_cuda_056,cuda,low,ugly_trash,trash,ugly,bb7d0e19da166b7711405c03c32d77fa79fd59d4f84e913ce72b8b91ba906ace,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_trash/rq3g_cuda_015.png,676,196,7,12,5,11,13,15,#ffffff,True,True,84.87961901385988,True,39366108e35c8e06b228154d63575318fc84306e2634707ea6e7c9aba2b2a657
rq3g_cuda_016,dorn_cuda_072,cuda,low,golden,gold,clean,a5c55297b52ce666d88ede8310af824c901dcca22bfc5227c0c4b16b329a7c19,results/grounded_protocol_3lang_20260721/rq3/rendered/golden/rq3g_cuda_016.png,1028,230,7,10,3,12,15,21,#272822,False,False,35.78133672053822,True,08297faa6cbf8dcde6701b8a3c4b6ae26152b859c8bad9dfb7118c9995e63078
rq3g_cuda_016,dorn_cuda_072,cuda,low,ugly_gold,gold,ugly,a5c55297b52ce666d88ede8310af824c901dcca22bfc5227c0c4b16b329a7c19,results/grounded_protocol_3lang_20260721/rq3/rendered/ugly_gold/rq3g_cuda_016.png,676,136,7,8,3,11,13,15,#ffffff,True,True,81.09949664148625,True,3b9f589c429867cd2d5e19848b9df5c3ca80191facfdaf64a00d13f494c8b8f8
