pair_id,snippet_x_id,snippet_y_id,difficulty,human_preference
full_rq0_seed42__rq0_0051__rq0_0130,rq0_0051,rq0_0130,hard,rq0_0130
full_rq0_seed42__rq0_0001__rq0_0080,rq0_0001,rq0_0080,hard,rq0_0080
full_rq0_seed42__rq0_0130__rq0_0263,rq0_0130,rq0_0263,hard,rq0_0130
full_rq0_seed42__rq0_0136__rq0_0236,rq0_0136,rq0_0236,medium,rq0_0236
full_rq0_seed42__rq0_0034__rq0_0167,rq0_0034,rq0_0167,easy,rq0_0167
full_rq0_seed42__rq0_0001__rq0_0167,rq0_0001,rq0_0167,medium,rq0_0001
full_rq0_seed42__rq0_0092__rq0_0235,rq0_0092,rq0_0235,medium,rq0_0092
full_rq0_seed42__rq0_0072__rq0_0131,rq0_0072,rq0_0131,hard,rq0_0072
full_rq0_seed42__rq0_0212__rq0_0216,rq0_0212,rq0_0216,medium,rq0_0216
full_rq0_seed42__rq0_0075__rq0_0302,rq0_0075,rq0_0302,hard,rq0_0302
full_rq0_seed42__rq0_0133__rq0_0177,rq0_0133,rq0_0177,medium,rq0_0177
full_rq0_seed42__rq0_0099__rq0_0199,rq0_0099,rq0_0199,hard,rq0_0099
full_rq0_seed42__rq0_0022__rq0_0262,rq0_0022,rq0_0262,hard,rq0_0022
full_rq0_seed42__rq0_0273__rq0_0277,rq0_0273,rq0_0277,hard,rq0_0273
full_rq0_seed42__rq0_0071__rq0_0261,rq0_0071,rq0_0261,easy,rq0_0071
full_rq0_seed42__rq0_0014__rq0_0094,rq0_0014,rq0_0094,easy,rq0_0094
full_rq0_seed42__rq0_0075__rq0_0110,rq0_0075,rq0_0110,hard,rq0_0110
full_rq0_seed42__rq0_0041__rq0_0055,rq0_0041,rq0_0055,medium,rq0_0055
full_rq0_seed42__rq0_0101__rq0_0154,rq0_0101,rq0_0154,easy,rq0_0154
full_rq0_seed42__rq0_0133__rq0_0166,rq0_0133,rq0_0166,hard,rq0_0166
full_rq0_seed42__rq0_0022__rq0_0063,rq0_0022,rq0_0063,hard,rq0_0022
full_rq0_seed42__rq0_0181__rq0_0271,rq0_0181,rq0_0271,easy,rq0_0271
full_rq0_seed42__rq0_0033__rq0_0171,rq0_0033,rq0_0171,easy,rq0_0171
full_rq0_seed42__rq0_0003__rq0_0017,rq0_0003,rq0_0017,medium,rq0_0003
full_rq0_seed42__rq0_0084__rq0_0205,rq0_0084,rq0_0205,easy,rq0_0205
full_rq0_seed42__rq0_0175__rq0_0300,rq0_0175,rq0_0300,hard,rq0_0300
full_rq0_seed42__rq0_0229__rq0_0274,rq0_0229,rq0_0274,medium,rq0_0229
full_rq0_seed42__rq0_0297__rq0_0312,rq0_0297,rq0_0312,easy,rq0_0297
full_rq0_seed42__rq0_0097__rq0_0129,rq0_0097,rq0_0129,medium,rq0_0129
full_rq0_seed42__rq0_0288__rq0_0290,rq0_0288,rq0_0290,hard,rq0_0288
full_rq0_seed42__rq0_0234__rq0_0267,rq0_0234,rq0_0267,easy,rq0_0234
full_rq0_seed42__rq0_0143__rq0_0267,rq0_0143,rq0_0267,easy,rq0_0143
full_rq0_seed42__rq0_0159__rq0_0250,rq0_0159,rq0_0250,medium,rq0_0250
full_rq0_seed42__rq0_0030__rq0_0225,rq0_0030,rq0_0225,easy,rq0_0030
full_rq0_seed42__rq0_0081__rq0_0222,rq0_0081,rq0_0222,easy,rq0_0222
full_rq0_seed42__rq0_0110__rq0_0116,rq0_0110,rq0_0116,hard,rq0_0110
full_rq0_seed42__rq0_0023__rq0_0203,rq0_0023,rq0_0203,easy,rq0_0203
full_rq0_seed42__rq0_0126__rq0_0287,rq0_0126,rq0_0287,medium,rq0_0287
full_rq0_seed42__rq0_0089__rq0_0195,rq0_0089,rq0_0195,medium,rq0_0195
full_rq0_seed42__rq0_0021__rq0_0041,rq0_0021,rq0_0041,easy,rq0_0021
full_rq0_seed42__rq0_0173__rq0_0201,rq0_0173,rq0_0201,easy,rq0_0173
full_rq0_seed42__rq0_0002__rq0_0014,rq0_0002,rq0_0014,hard,rq0_0014
full_rq0_seed42__rq0_0103__rq0_0142,rq0_0103,rq0_0142,hard,rq0_0103
full_rq0_seed42__rq0_0022__rq0_0179,rq0_0022,rq0_0179,medium,rq0_0022
full_rq0_seed42__rq0_0122__rq0_0246,rq0_0122,rq0_0246,hard,rq0_0122
full_rq0_seed42__rq0_0124__rq0_0154,rq0_0124,rq0_0154,hard,rq0_0154
full_rq0_seed42__rq0_0036__rq0_0135,rq0_0036,rq0_0135,hard,rq0_0036
full_rq0_seed42__rq0_0108__rq0_0186,rq0_0108,rq0_0186,medium,rq0_0108
full_rq0_seed42__rq0_0192__rq0_0226,rq0_0192,rq0_0226,medium,rq0_0192
full_rq0_seed42__rq0_0099__rq0_0307,rq0_0099,rq0_0307,medium,rq0_0099
full_rq0_seed42__rq0_0047__rq0_0225,rq0_0047,rq0_0225,easy,rq0_0047
full_rq0_seed42__rq0_0086__rq0_0119,rq0_0086,rq0_0119,hard,rq0_0086
full_rq0_seed42__rq0_0153__rq0_0241,rq0_0153,rq0_0241,medium,rq0_0241
full_rq0_seed42__rq0_0121__rq0_0134,rq0_0121,rq0_0134,hard,rq0_0134
full_rq0_seed42__rq0_0071__rq0_0093,rq0_0071,rq0_0093,hard,rq0_0071
full_rq0_seed42__rq0_0063__rq0_0291,rq0_0063,rq0_0291,medium,rq0_0063
full_rq0_seed42__rq0_0178__rq0_0299,rq0_0178,rq0_0299,medium,rq0_0178
full_rq0_seed42__rq0_0026__rq0_0088,rq0_0026,rq0_0088,medium,rq0_0088
full_rq0_seed42__rq0_0018__rq0_0051,rq0_0018,rq0_0051,medium,rq0_0018
full_rq0_seed42__rq0_0064__rq0_0079,rq0_0064,rq0_0079,easy,rq0_0079
full_rq0_seed42__rq0_0009__rq0_0096,rq0_0009,rq0_0096,medium,rq0_0009
full_rq0_seed42__rq0_0092__rq0_0222,rq0_0092,rq0_0222,hard,rq0_0092
full_rq0_seed42__rq0_0001__rq0_0153,rq0_0001,rq0_0153,easy,rq0_0001
full_rq0_seed42__rq0_0028__rq0_0068,rq0_0028,rq0_0068,medium,rq0_0028
full_rq0_seed42__rq0_0010__rq0_0301,rq0_0010,rq0_0301,medium,rq0_0010
full_rq0_seed42__rq0_0023__rq0_0277,rq0_0023,rq0_0277,medium,rq0_0277
full_rq0_seed42__rq0_0062__rq0_0230,rq0_0062,rq0_0230,hard,rq0_0230
full_rq0_seed42__rq0_0076__rq0_0207,rq0_0076,rq0_0207,easy,rq0_0207
full_rq0_seed42__rq0_0077__rq0_0080,rq0_0077,rq0_0080,easy,rq0_0080
full_rq0_seed42__rq0_0053__rq0_0101,rq0_0053,rq0_0101,hard,rq0_0101
full_rq0_seed42__rq0_0019__rq0_0114,rq0_0019,rq0_0114,medium,rq0_0114
full_rq0_seed42__rq0_0064__rq0_0068,rq0_0064,rq0_0068,hard,rq0_0064
full_rq0_seed42__rq0_0033__rq0_0135,rq0_0033,rq0_0135,medium,rq0_0135
full_rq0_seed42__rq0_0070__rq0_0220,rq0_0070,rq0_0220,easy,rq0_0220
full_rq0_seed42__rq0_0100__rq0_0224,rq0_0100,rq0_0224,easy,rq0_0224
full_rq0_seed42__rq0_0025__rq0_0181,rq0_0025,rq0_0181,easy,rq0_0025
full_rq0_seed42__rq0_0163__rq0_0223,rq0_0163,rq0_0223,hard,rq0_0223
full_rq0_seed42__rq0_0155__rq0_0215,rq0_0155,rq0_0215,hard,rq0_0215
full_rq0_seed42__rq0_0202__rq0_0286,rq0_0202,rq0_0286,hard,rq0_0286
full_rq0_seed42__rq0_0192__rq0_0269,rq0_0192,rq0_0269,easy,rq0_0192
full_rq0_seed42__rq0_0006__rq0_0020,rq0_0006,rq0_0020,easy,rq0_0006
full_rq0_seed42__rq0_0177__rq0_0235,rq0_0177,rq0_0235,hard,rq0_0177
full_rq0_seed42__rq0_0084__rq0_0123,rq0_0084,rq0_0123,medium,rq0_0123
full_rq0_seed42__rq0_0025__rq0_0054,rq0_0025,rq0_0054,hard,rq0_0025
full_rq0_seed42__rq0_0089__rq0_0131,rq0_0089,rq0_0131,easy,rq0_0131
full_rq0_seed42__rq0_0015__rq0_0116,rq0_0015,rq0_0116,easy,rq0_0015
full_rq0_seed42__rq0_0036__rq0_0132,rq0_0036,rq0_0132,medium,rq0_0132
full_rq0_seed42__rq0_0024__rq0_0250,rq0_0024,rq0_0250,easy,rq0_0250
full_rq0_seed42__rq0_0020__rq0_0186,rq0_0020,rq0_0186,hard,rq0_0186
full_rq0_seed42__rq0_0059__rq0_0136,rq0_0059,rq0_0136,medium,rq0_0059
full_rq0_seed42__rq0_0065__rq0_0150,rq0_0065,rq0_0150,hard,rq0_0150
full_rq0_seed42__rq0_0214__rq0_0287,rq0_0214,rq0_0287,easy,rq0_0287
full_rq0_seed42__rq0_0048__rq0_0072,rq0_0048,rq0_0072,medium,rq0_0048
full_rq0_seed42__rq0_0022__rq0_0308,rq0_0022,rq0_0308,easy,rq0_0022
full_rq0_seed42__rq0_0008__rq0_0237,rq0_0008,rq0_0237,easy,rq0_0008
full_rq0_seed42__rq0_0238__rq0_0265,rq0_0238,rq0_0265,medium,rq0_0265
full_rq0_seed42__rq0_0105__rq0_0192,rq0_0105,rq0_0192,hard,rq0_0192
full_rq0_seed42__rq0_0002__rq0_0095,rq0_0002,rq0_0095,hard,rq0_0095
full_rq0_seed42__rq0_0216__rq0_0302,rq0_0216,rq0_0302,easy,rq0_0216
full_rq0_seed42__rq0_0246__rq0_0268,rq0_0246,rq0_0268,easy,rq0_0246
full_rq0_seed42__rq0_0120__rq0_0198,rq0_0120,rq0_0198,easy,rq0_0120
full_rq0_seed42__rq0_0001__rq0_0211,rq0_0001,rq0_0211,easy,rq0_0001
full_rq0_seed42__rq0_0171__rq0_0174,rq0_0171,rq0_0174,hard,rq0_0171
full_rq0_seed42__rq0_0269__rq0_0310,rq0_0269,rq0_0310,easy,rq0_0269
full_rq0_seed42__rq0_0102__rq0_0132,rq0_0102,rq0_0132,medium,rq0_0102
full_rq0_seed42__rq0_0054__rq0_0168,rq0_0054,rq0_0168,medium,rq0_0168
full_rq0_seed42__rq0_0073__rq0_0181,rq0_0073,rq0_0181,medium,rq0_0073
full_rq0_seed42__rq0_0017__rq0_0219,rq0_0017,rq0_0219,hard,rq0_0017
full_rq0_seed42__rq0_0022__rq0_0300,rq0_0022,rq0_0300,hard,rq0_0022
full_rq0_seed42__rq0_0022__rq0_0204,rq0_0022,rq0_0204,hard,rq0_0204
full_rq0_seed42__rq0_0039__rq0_0117,rq0_0039,rq0_0117,easy,rq0_0117
full_rq0_seed42__rq0_0093__rq0_0252,rq0_0093,rq0_0252,medium,rq0_0252
full_rq0_seed42__rq0_0127__rq0_0182,rq0_0127,rq0_0182,easy,rq0_0182
full_rq0_seed42__rq0_0119__rq0_0210,rq0_0119,rq0_0210,medium,rq0_0210
full_rq0_seed42__rq0_0167__rq0_0248,rq0_0167,rq0_0248,easy,rq0_0248
full_rq0_seed42__rq0_0022__rq0_0253,rq0_0022,rq0_0253,hard,rq0_0022
full_rq0_seed42__rq0_0182__rq0_0217,rq0_0182,rq0_0217,easy,rq0_0182
full_rq0_seed42__rq0_0023__rq0_0130,rq0_0023,rq0_0130,easy,rq0_0130
full_rq0_seed42__rq0_0178__rq0_0233,rq0_0178,rq0_0233,easy,rq0_0178
full_rq0_seed42__rq0_0159__rq0_0271,rq0_0159,rq0_0271,hard,rq0_0271
full_rq0_seed42__rq0_0105__rq0_0205,rq0_0105,rq0_0205,hard,rq0_0105
full_rq0_seed42__rq0_0064__rq0_0199,rq0_0064,rq0_0199,easy,rq0_0199
full_rq0_seed42__rq0_0126__rq0_0178,rq0_0126,rq0_0178,hard,rq0_0126
full_rq0_seed42__rq0_0030__rq0_0156,rq0_0030,rq0_0156,easy,rq0_0030
full_rq0_seed42__rq0_0067__rq0_0093,rq0_0067,rq0_0093,hard,rq0_0093
full_rq0_seed42__rq0_0190__rq0_0223,rq0_0190,rq0_0223,medium,rq0_0223
full_rq0_seed42__rq0_0063__rq0_0113,rq0_0063,rq0_0113,hard,rq0_0063
full_rq0_seed42__rq0_0260__rq0_0277,rq0_0260,rq0_0277,hard,rq0_0260
full_rq0_seed42__rq0_0078__rq0_0287,rq0_0078,rq0_0287,hard,rq0_0287
full_rq0_seed42__rq0_0067__rq0_0078,rq0_0067,rq0_0078,easy,rq0_0078
full_rq0_seed42__rq0_0026__rq0_0151,rq0_0026,rq0_0151,medium,rq0_0026
full_rq0_seed42__rq0_0099__rq0_0149,rq0_0099,rq0_0149,easy,rq0_0099
full_rq0_seed42__rq0_0020__rq0_0109,rq0_0020,rq0_0109,easy,rq0_0109
full_rq0_seed42__rq0_0125__rq0_0202,rq0_0125,rq0_0202,hard,rq0_0125
full_rq0_seed42__rq0_0075__rq0_0275,rq0_0075,rq0_0275,easy,rq0_0275
full_rq0_seed42__rq0_0078__rq0_0240,rq0_0078,rq0_0240,easy,rq0_0078
full_rq0_seed42__rq0_0267__rq0_0285,rq0_0267,rq0_0285,medium,rq0_0267
full_rq0_seed42__rq0_0023__rq0_0160,rq0_0023,rq0_0160,easy,rq0_0160
full_rq0_seed42__rq0_0025__rq0_0237,rq0_0025,rq0_0237,medium,rq0_0025
full_rq0_seed42__rq0_0158__rq0_0180,rq0_0158,rq0_0180,medium,rq0_0180
full_rq0_seed42__rq0_0081__rq0_0311,rq0_0081,rq0_0311,hard,rq0_0081
full_rq0_seed42__rq0_0000__rq0_0279,rq0_0000,rq0_0279,easy,rq0_0279
full_rq0_seed42__rq0_0162__rq0_0298,rq0_0162,rq0_0298,medium,rq0_0162
full_rq0_seed42__rq0_0052__rq0_0217,rq0_0052,rq0_0217,easy,rq0_0052
full_rq0_seed42__rq0_0152__rq0_0274,rq0_0152,rq0_0274,medium,rq0_0274
full_rq0_seed42__rq0_0044__rq0_0049,rq0_0044,rq0_0049,hard,rq0_0049
full_rq0_seed42__rq0_0066__rq0_0257,rq0_0066,rq0_0257,hard,rq0_0257
full_rq0_seed42__rq0_0084__rq0_0095,rq0_0084,rq0_0095,hard,rq0_0095
full_rq0_seed42__rq0_0019__rq0_0243,rq0_0019,rq0_0243,hard,rq0_0019
full_rq0_seed42__rq0_0085__rq0_0109,rq0_0085,rq0_0109,medium,rq0_0109
full_rq0_seed42__rq0_0016__rq0_0028,rq0_0016,rq0_0028,medium,rq0_0028
full_rq0_seed42__rq0_0065__rq0_0262,rq0_0065,rq0_0262,easy,rq0_0065
full_rq0_seed42__rq0_0201__rq0_0277,rq0_0201,rq0_0277,medium,rq0_0201
full_rq0_seed42__rq0_0250__rq0_0294,rq0_0250,rq0_0294,easy,rq0_0250
full_rq0_seed42__rq0_0275__rq0_0297,rq0_0275,rq0_0297,medium,rq0_0275
full_rq0_seed42__rq0_0016__rq0_0107,rq0_0016,rq0_0107,easy,rq0_0107
full_rq0_seed42__rq0_0024__rq0_0302,rq0_0024,rq0_0302,medium,rq0_0302
full_rq0_seed42__rq0_0253__rq0_0279,rq0_0253,rq0_0279,medium,rq0_0279
full_rq0_seed42__rq0_0249__rq0_0283,rq0_0249,rq0_0283,easy,rq0_0283
full_rq0_seed42__rq0_0148__rq0_0210,rq0_0148,rq0_0210,hard,rq0_0210
full_rq0_seed42__rq0_0224__rq0_0259,rq0_0224,rq0_0259,easy,rq0_0224
full_rq0_seed42__rq0_0046__rq0_0166,rq0_0046,rq0_0166,hard,rq0_0046
full_rq0_seed42__rq0_0043__rq0_0048,rq0_0043,rq0_0048,medium,rq0_0048
full_rq0_seed42__rq0_0014__rq0_0233,rq0_0014,rq0_0233,hard,rq0_0233
full_rq0_seed42__rq0_0247__rq0_0295,rq0_0247,rq0_0295,medium,rq0_0247
full_rq0_seed42__rq0_0066__rq0_0131,rq0_0066,rq0_0131,hard,rq0_0131
full_rq0_seed42__rq0_0147__rq0_0210,rq0_0147,rq0_0210,easy,rq0_0147
full_rq0_seed42__rq0_0199__rq0_0280,rq0_0199,rq0_0280,medium,rq0_0280
full_rq0_seed42__rq0_0031__rq0_0282,rq0_0031,rq0_0282,medium,rq0_0282
full_rq0_seed42__rq0_0126__rq0_0169,rq0_0126,rq0_0169,easy,rq0_0126
full_rq0_seed42__rq0_0038__rq0_0059,rq0_0038,rq0_0059,easy,rq0_0059
full_rq0_seed42__rq0_0008__rq0_0304,rq0_0008,rq0_0304,hard,rq0_0008
full_rq0_seed42__rq0_0090__rq0_0121,rq0_0090,rq0_0121,hard,rq0_0090
full_rq0_seed42__rq0_0020__rq0_0311,rq0_0020,rq0_0311,hard,rq0_0020
full_rq0_seed42__rq0_0083__rq0_0113,rq0_0083,rq0_0113,medium,rq0_0083
full_rq0_seed42__rq0_0035__rq0_0056,rq0_0035,rq0_0056,hard,rq0_0035
full_rq0_seed42__rq0_0115__rq0_0258,rq0_0115,rq0_0258,easy,rq0_0115
full_rq0_seed42__rq0_0046__rq0_0098,rq0_0046,rq0_0098,easy,rq0_0046
full_rq0_seed42__rq0_0204__rq0_0295,rq0_0204,rq0_0295,easy,rq0_0204
full_rq0_seed42__rq0_0087__rq0_0290,rq0_0087,rq0_0290,medium,rq0_0087
full_rq0_seed42__rq0_0217__rq0_0292,rq0_0217,rq0_0292,medium,rq0_0292
full_rq0_seed42__rq0_0152__rq0_0269,rq0_0152,rq0_0269,easy,rq0_0269
full_rq0_seed42__rq0_0016__rq0_0196,rq0_0016,rq0_0196,hard,rq0_0196
full_rq0_seed42__rq0_0147__rq0_0234,rq0_0147,rq0_0234,medium,rq0_0147
full_rq0_seed42__rq0_0040__rq0_0281,rq0_0040,rq0_0281,hard,rq0_0040
full_rq0_seed42__rq0_0293__rq0_0300,rq0_0293,rq0_0300,medium,rq0_0300
full_rq0_seed42__rq0_0077__rq0_0121,rq0_0077,rq0_0121,hard,rq0_0077
full_rq0_seed42__rq0_0231__rq0_0291,rq0_0231,rq0_0291,hard,rq0_0291
full_rq0_seed42__rq0_0073__rq0_0204,rq0_0073,rq0_0204,hard,rq0_0204
full_rq0_seed42__rq0_0011__rq0_0235,rq0_0011,rq0_0235,hard,rq0_0235
full_rq0_seed42__rq0_0005__rq0_0283,rq0_0005,rq0_0283,hard,rq0_0283
full_rq0_seed42__rq0_0056__rq0_0196,rq0_0056,rq0_0196,hard,rq0_0196
full_rq0_seed42__rq0_0018__rq0_0267,rq0_0018,rq0_0267,medium,rq0_0018
full_rq0_seed42__rq0_0144__rq0_0209,rq0_0144,rq0_0209,hard,rq0_0209
full_rq0_seed42__rq0_0103__rq0_0175,rq0_0103,rq0_0175,medium,rq0_0103
full_rq0_seed42__rq0_0090__rq0_0168,rq0_0090,rq0_0168,medium,rq0_0168
full_rq0_seed42__rq0_0090__rq0_0240,rq0_0090,rq0_0240,hard,rq0_0240
full_rq0_seed42__rq0_0076__rq0_0166,rq0_0076,rq0_0166,easy,rq0_0166
full_rq0_seed42__rq0_0148__rq0_0175,rq0_0148,rq0_0175,hard,rq0_0148
full_rq0_seed42__rq0_0100__rq0_0152,rq0_0100,rq0_0152,easy,rq0_0100
full_rq0_seed42__rq0_0062__rq0_0183,rq0_0062,rq0_0183,easy,rq0_0062
full_rq0_seed42__rq0_0030__rq0_0049,rq0_0030,rq0_0049,hard,rq0_0030
full_rq0_seed42__rq0_0194__rq0_0234,rq0_0194,rq0_0234,medium,rq0_0194
full_rq0_seed42__rq0_0112__rq0_0127,rq0_0112,rq0_0127,hard,rq0_0112
full_rq0_seed42__rq0_0037__rq0_0159,rq0_0037,rq0_0159,medium,rq0_0159
full_rq0_seed42__rq0_0221__rq0_0222,rq0_0221,rq0_0222,medium,rq0_0221
full_rq0_seed42__rq0_0151__rq0_0214,rq0_0151,rq0_0214,medium,rq0_0214
full_rq0_seed42__rq0_0110__rq0_0156,rq0_0110,rq0_0156,medium,rq0_0156
full_rq0_seed42__rq0_0120__rq0_0183,rq0_0120,rq0_0183,easy,rq0_0120
full_rq0_seed42__rq0_0027__rq0_0272,rq0_0027,rq0_0272,medium,rq0_0027
full_rq0_seed42__rq0_0111__rq0_0214,rq0_0111,rq0_0214,easy,rq0_0214
full_rq0_seed42__rq0_0049__rq0_0223,rq0_0049,rq0_0223,hard,rq0_0049
full_rq0_seed42__rq0_0075__rq0_0135,rq0_0075,rq0_0135,hard,rq0_0075
full_rq0_seed42__rq0_0055__rq0_0089,rq0_0055,rq0_0089,easy,rq0_0055
full_rq0_seed42__rq0_0036__rq0_0268,rq0_0036,rq0_0268,medium,rq0_0268
full_rq0_seed42__rq0_0150__rq0_0241,rq0_0150,rq0_0241,easy,rq0_0150
full_rq0_seed42__rq0_0022__rq0_0166,rq0_0022,rq0_0166,hard,rq0_0166
full_rq0_seed42__rq0_0078__rq0_0230,rq0_0078,rq0_0230,medium,rq0_0078
full_rq0_seed42__rq0_0123__rq0_0198,rq0_0123,rq0_0198,medium,rq0_0123
full_rq0_seed42__rq0_0037__rq0_0053,rq0_0037,rq0_0053,hard,rq0_0037
full_rq0_seed42__rq0_0007__rq0_0063,rq0_0007,rq0_0063,medium,rq0_0063
full_rq0_seed42__rq0_0251__rq0_0281,rq0_0251,rq0_0281,medium,rq0_0281
full_rq0_seed42__rq0_0074__rq0_0230,rq0_0074,rq0_0230,hard,rq0_0230
full_rq0_seed42__rq0_0108__rq0_0284,rq0_0108,rq0_0284,medium,rq0_0108
full_rq0_seed42__rq0_0077__rq0_0230,rq0_0077,rq0_0230,medium,rq0_0230
full_rq0_seed42__rq0_0061__rq0_0203,rq0_0061,rq0_0203,easy,rq0_0203
full_rq0_seed42__rq0_0039__rq0_0175,rq0_0039,rq0_0175,medium,rq0_0175
full_rq0_seed42__rq0_0134__rq0_0280,rq0_0134,rq0_0280,medium,rq0_0280
full_rq0_seed42__rq0_0188__rq0_0271,rq0_0188,rq0_0271,easy,rq0_0271
full_rq0_seed42__rq0_0029__rq0_0264,rq0_0029,rq0_0264,hard,rq0_0264
full_rq0_seed42__rq0_0235__rq0_0280,rq0_0235,rq0_0280,hard,rq0_0280
full_rq0_seed42__rq0_0233__rq0_0256,rq0_0233,rq0_0256,medium,rq0_0256
full_rq0_seed42__rq0_0054__rq0_0090,rq0_0054,rq0_0090,hard,rq0_0054
full_rq0_seed42__rq0_0130__rq0_0188,rq0_0130,rq0_0188,hard,rq0_0188
full_rq0_seed42__rq0_0075__rq0_0245,rq0_0075,rq0_0245,medium,rq0_0245
full_rq0_seed42__rq0_0184__rq0_0288,rq0_0184,rq0_0288,medium,rq0_0288
full_rq0_seed42__rq0_0022__rq0_0149,rq0_0022,rq0_0149,easy,rq0_0022
full_rq0_seed42__rq0_0234__rq0_0307,rq0_0234,rq0_0307,hard,rq0_0234
full_rq0_seed42__rq0_0108__rq0_0175,rq0_0108,rq0_0175,medium,rq0_0108
full_rq0_seed42__rq0_0041__rq0_0246,rq0_0041,rq0_0246,easy,rq0_0246
full_rq0_seed42__rq0_0048__rq0_0269,rq0_0048,rq0_0269,easy,rq0_0048
full_rq0_seed42__rq0_0073__rq0_0279,rq0_0073,rq0_0279,medium,rq0_0279
full_rq0_seed42__rq0_0192__rq0_0246,rq0_0192,rq0_0246,medium,rq0_0246
full_rq0_seed42__rq0_0285__rq0_0289,rq0_0285,rq0_0289,easy,rq0_0289
full_rq0_seed42__rq0_0041__rq0_0245,rq0_0041,rq0_0245,hard,rq0_0041
full_rq0_seed42__rq0_0089__rq0_0145,rq0_0089,rq0_0145,hard,rq0_0145
full_rq0_seed42__rq0_0213__rq0_0306,rq0_0213,rq0_0306,easy,rq0_0306
full_rq0_seed42__rq0_0171__rq0_0197,rq0_0171,rq0_0197,easy,rq0_0197
full_rq0_seed42__rq0_0069__rq0_0259,rq0_0069,rq0_0259,hard,rq0_0069
full_rq0_seed42__rq0_0110__rq0_0269,rq0_0110,rq0_0269,hard,rq0_0269
