new_model,predecessor,scope,scope_value,old_pairs,new_pairs,old_valid_accuracy,new_valid_accuracy,delta_valid_accuracy,old_effective_accuracy,new_effective_accuracy,delta_effective_accuracy,old_strict_swap_error,new_strict_swap_error,delta_strict_swap_error,old_two_order_averaged_accuracy,new_two_order_averaged_accuracy,delta_two_order_averaged_accuracy,old_first_position_choice_rate,new_first_position_choice_rate,delta_first_position_choice_rate,old_spearman_valid_only,new_spearman_valid_only,delta_spearman_valid_only
internvl3_5,internvl,pooled,all,9000,9000,0.4940079893475366,0.6568676299618004,0.16285964061426378,0.24733333333333332,0.43944444444444447,0.19211111111111115,0.4993333333333333,0.33099999999999996,-0.16833333333333333,0.51,0.623,0.11299999999999999,0.739,0.37,-0.369,-0.01588544156427971,0.3521413736381491,0.36802681520242886
internvl3_5,internvl,language,java,3000,3000,0.46878251821019773,0.6027197668771248,0.13393724866692708,0.30033333333333334,0.4136666666666667,0.11333333333333334,0.3593333333333333,0.31366666666666665,-0.04566666666666663,0.46266666666666667,0.5823333333333334,0.1196666666666667,0.6573333333333333,0.4086666666666667,-0.24866666666666665,-0.061122672846207024,0.2499585104428443,0.3110811832890513
internvl3_5,internvl,language_difficulty,java|easy,1000,1000,0.46333853354134164,0.6937321937321937,0.2303936601908521,0.297,0.487,0.19,0.359,0.29800000000000004,-0.06099999999999994,0.461,0.673,0.21200000000000002,0.6555,0.401,-0.25449999999999995,-0.05246884959811522,0.38622496570066533,0.43869381529878054
internvl3_5,internvl,language_difficulty,java|medium,1000,1000,0.4768740031897927,0.5808383233532934,0.10396432016350077,0.299,0.388,0.08900000000000002,0.373,0.33199999999999996,-0.041000000000000036,0.48,0.559,0.07900000000000007,0.6625,0.407,-0.2555,-0.05615394888075217,0.14630611494580095,0.20246006382655313
internvl3_5,internvl,language_difficulty,java|hard,1000,1000,0.46636085626911317,0.5312046444121916,0.06484378814307845,0.305,0.366,0.061,0.346,0.31100000000000005,-0.03499999999999992,0.447,0.515,0.068,0.654,0.418,-0.23600000000000004,-0.06237558750466099,0.07706169139681052,0.1394372789014715
internvl3_5,internvl,language,python,3000,3000,0.4806800618238022,0.7134502923976608,0.2327702305738586,0.20733333333333334,0.44733333333333336,0.24000000000000002,0.5686666666666667,0.373,-0.19566666666666666,0.5096666666666667,0.6586666666666666,0.1489999999999999,0.7813333333333333,0.3295,-0.4518333333333333,-0.04781500077393001,0.46220948519434385,0.5100244859682739
internvl3_5,internvl,language_difficulty,python|easy,1000,1000,0.45633187772925765,0.8215384615384616,0.3652065838092039,0.209,0.534,0.32500000000000007,0.542,0.35,-0.19200000000000006,0.52,0.763,0.243,0.769,0.35,-0.41900000000000004,-0.06858013768404363,0.6219710982395008,0.6905512359235444
internvl3_5,internvl,language_difficulty,python|medium,1000,1000,0.4896551724137931,0.6901408450704225,0.20048567265662942,0.213,0.441,0.228,0.565,0.361,-0.20399999999999996,0.506,0.632,0.126,0.7795,0.3275,-0.45199999999999996,0.0009519579122477235,0.3861656773081182,0.38521371939587046
internvl3_5,internvl,language_difficulty,python|hard,1000,1000,0.49875311720698257,0.6199324324324325,0.12117931522544989,0.2,0.367,0.16699999999999998,0.599,0.40800000000000003,-0.19099999999999995,0.503,0.581,0.07799999999999996,0.7955,0.311,-0.4845,-0.014051228134990676,0.21632007981451185,0.23037130794950253
internvl3_5,internvl,language,cuda,3000,3000,0.5449612403100775,0.6592984142239308,0.11433717391385323,0.23433333333333334,0.4573333333333333,0.22299999999999998,0.5700000000000001,0.30633333333333335,-0.2636666666666667,0.5576666666666666,0.628,0.07033333333333336,0.7783333333333333,0.37183333333333335,-0.4065,0.09515067224005874,0.35430653676713203,0.2591558645270733
internvl3_5,internvl,language_difficulty,cuda|easy,1000,1000,0.5527950310559007,0.7432065217391305,0.19041149068322982,0.267,0.547,0.28,0.517,0.264,-0.253,0.611,0.702,0.09099999999999997,0.7565,0.392,-0.36449999999999994,0.09785941377440423,0.4821100390702697,0.3842506252958655
internvl3_5,internvl,language_difficulty,cuda|medium,1000,1000,0.5595238095238095,0.6466275659824047,0.08710375645859514,0.235,0.441,0.20600000000000002,0.5800000000000001,0.31799999999999995,-0.2620000000000001,0.552,0.623,0.07099999999999995,0.784,0.366,-0.41800000000000004,0.08638779336642541,0.28034132924009086,0.19395353587366546
internvl3_5,internvl,language_difficulty,cuda|hard,1000,1000,0.5193798449612403,0.579185520361991,0.05980567540075066,0.201,0.384,0.183,0.613,0.33699999999999997,-0.276,0.51,0.559,0.049000000000000044,0.7945,0.3575,-0.437,0.04741543512721193,0.19058615441339022,0.1431707192861783
gemma4,gemma,pooled,all,9000,9000,0.6438414547520954,0.6684512927657352,0.024609838013639806,0.5035555555555555,0.5687777777777778,0.06522222222222229,0.2178888888888889,0.14911111111111108,-0.06877777777777783,0.6201111111111111,0.6462222222222223,0.026111111111111196,0.5595,0.48,-0.07950000000000002,0.3281938833093371,0.3827938045285434,0.054599921219206315
gemma4,gemma,language,java,3000,3000,0.6253590480098482,0.618920972644377,-0.006438075365471252,0.508,0.543,0.03500000000000003,0.18766666666666665,0.1226666666666667,-0.06499999999999995,0.6076666666666667,0.608,0.0003333333333332966,0.5538333333333333,0.48966666666666664,-0.06416666666666665,0.2955788321229733,0.2853471272220893,-0.010231704900883987
gemma4,gemma,language_difficulty,java|easy,1000,1000,0.7116788321167883,0.7131608548931384,0.0014820227763501226,0.585,0.634,0.049000000000000044,0.17800000000000005,0.11099999999999999,-0.06700000000000006,0.686,0.698,0.0119999999999999,0.556,0.4985,-0.05750000000000005,0.4023791204352558,0.42631656580829236,0.023937445373036548
gemma4,gemma,language_difficulty,java|medium,1000,1000,0.6309226932668329,0.6082474226804123,-0.022675270586420604,0.506,0.531,0.025000000000000022,0.19799999999999995,0.127,-0.07099999999999995,0.611,0.59,-0.02100000000000002,0.55,0.4835,-0.06650000000000006,0.22823911940089547,0.18119237834076804,-0.047046741060127434
gemma4,gemma,language_difficulty,java|hard,1000,1000,0.5325953259532595,0.5333333333333333,0.0007380073800737907,0.433,0.464,0.031000000000000028,0.18700000000000006,0.13,-0.05700000000000005,0.526,0.536,0.010000000000000009,0.5555,0.487,-0.0685,0.09379236255370435,0.08052567372503862,-0.013266688828665732
gemma4,gemma,language,python,3000,3000,0.6548009367681499,0.6876475216365067,0.03284658486835679,0.466,0.5826666666666667,0.11666666666666664,0.28833333333333333,0.15266666666666662,-0.1356666666666667,0.6233333333333333,0.658,0.034666666666666734,0.6105,0.49116666666666664,-0.1193333333333334,0.336725028025656,0.4167880899891674,0.08006306196351137
gemma4,gemma,language_difficulty,python|easy,1000,1000,0.7311258278145696,0.7914746543778802,0.06034882656331064,0.552,0.687,0.135,0.245,0.132,-0.11299999999999999,0.691,0.749,0.05800000000000005,0.5925,0.492,-0.10050000000000003,0.4629014434928004,0.602080830453568,0.1391793869607676
gemma4,gemma,language_difficulty,python|medium,1000,1000,0.6269070735090153,0.667458432304038,0.040551358795022696,0.452,0.562,0.11000000000000004,0.279,0.15800000000000003,-0.121,0.603,0.65,0.04700000000000004,0.6085,0.4925,-0.11600000000000005,0.2746255636371645,0.3396047326093526,0.06497916897218808
gemma4,gemma,language_difficulty,python|hard,1000,1000,0.5978755690440061,0.5997596153846154,0.0018840463406093466,0.394,0.499,0.10499999999999998,0.34099999999999997,0.16800000000000004,-0.17299999999999993,0.576,0.575,-0.0010000000000000009,0.6305,0.489,-0.14149999999999996,0.16049594106872292,0.18049851637172515,0.02000257530300223
gemma4,gemma,language,cuda,3000,3000,0.652614511552493,0.7012882447665056,0.04867373321401269,0.5366666666666666,0.5806666666666667,0.04400000000000004,0.17766666666666664,0.17200000000000004,-0.005666666666666598,0.6293333333333333,0.6726666666666666,0.043333333333333335,0.5141666666666667,0.45916666666666667,-0.05499999999999999,0.3601568945763549,0.4513834221439858,0.09122652756763089
gemma4,gemma,language_difficulty,cuda|easy,1000,1000,0.7601918465227818,0.8172413793103448,0.05704953278756297,0.634,0.711,0.07699999999999996,0.16600000000000004,0.13,-0.03600000000000003,0.731,0.787,0.05600000000000005,0.507,0.474,-0.03300000000000003,0.5287237657929647,0.6102533319786713,0.08152956618570661
gemma4,gemma,language_difficulty,cuda|medium,1000,1000,0.6402439024390244,0.6870324189526185,0.04678851651359406,0.525,0.551,0.026000000000000023,0.18000000000000005,0.19799999999999995,0.017999999999999905,0.615,0.653,0.038000000000000034,0.516,0.451,-0.065,0.2719558970858127,0.3517579696933582,0.07980207260754552
gemma4,gemma,language_difficulty,cuda|hard,1000,1000,0.5547355473554736,0.5911330049261084,0.03639745757063484,0.451,0.48,0.02899999999999997,0.18700000000000006,0.18799999999999994,0.0009999999999998899,0.542,0.578,0.03599999999999992,0.5195,0.4525,-0.06699999999999995,0.13796270334476937,0.19703197973583186,0.05906927639106249
