model_key,model,condition,scope,scope_value,pairs,valid_pairs,valid_accuracy,effective_accuracy,strict_swap_error,two_order_averaged_accuracy,ab_accuracy,ba_accuracy,first_position_choice_rate,spearman_valid_only,parse_failure_calls,content_ties,boundaries,bc_rule_violations,pairs_missing_effective_logits
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,pooled,all,900,654,0.6192660550458715,0.45,0.2733333333333333,0.59,0.5644444444444444,0.6011111111111112,0.42444444444444446,0.2801781267904327,17,4,19,0,15
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,language,cuda,300,241,0.6265560165975104,0.5033333333333333,0.19666666666666666,0.6033333333333334,0.6,0.6033333333333334,0.4666666666666667,0.3257108864347752,1,1,9,0,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,language,java,300,214,0.5514018691588785,0.3933333333333333,0.2866666666666666,0.53,0.5033333333333333,0.5566666666666666,0.425,0.14181644089050416,11,0,3,0,10
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,language,python,300,199,0.6834170854271356,0.4533333333333333,0.33666666666666667,0.6366666666666667,0.59,0.6433333333333333,0.38166666666666665,0.36849166777983905,5,3,7,0,4
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,language_difficulty,cuda|easy,100,86,0.7674418604651163,0.66,0.14,0.74,0.72,0.74,0.45,0.5158056610572502,0,1,1,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,language_difficulty,cuda|hard,100,79,0.5443037974683544,0.43,0.20999999999999996,0.54,0.54,0.53,0.47,0.12068734219227203,1,0,5,0,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,language_difficulty,cuda|medium,100,76,0.5526315789473685,0.42,0.24,0.53,0.54,0.54,0.48,0.14837325915214897,0,0,3,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,language_difficulty,java|easy,100,71,0.6197183098591549,0.44,0.29000000000000004,0.59,0.56,0.61,0.43,0.30225163223339796,5,0,2,0,5
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,language_difficulty,java|hard,100,71,0.5070422535211268,0.36,0.29000000000000004,0.48,0.48,0.52,0.415,-0.04174059333157569,3,0,0,0,2
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,language_difficulty,java|medium,100,72,0.5277777777777778,0.38,0.28,0.52,0.47,0.54,0.43,0.03420195455435318,3,0,1,0,3
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,language_difficulty,python|easy,100,74,0.7567567567567568,0.56,0.26,0.76,0.71,0.66,0.41,0.4582857030900358,1,0,3,0,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,language_difficulty,python|hard,100,64,0.625,0.4,0.36,0.57,0.52,0.63,0.37,0.16610765981910097,1,3,2,0,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,combined_text_plus_image,language_difficulty,python|medium,100,61,0.6557377049180327,0.4,0.39,0.58,0.54,0.64,0.365,0.30171207615715917,3,0,2,0,2
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,pooled,all,900,610,0.6672131147540984,0.45222222222222225,0.3222222222222222,0.63,0.6066666666666667,0.6188888888888889,0.37166666666666665,0.3639763932875989,1,7,22,0,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,language,cuda,300,215,0.6465116279069767,0.4633333333333333,0.2833333333333333,0.6466666666666666,0.6066666666666667,0.6033333333333334,0.375,0.3250098476272843,0,3,6,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,language,java,300,200,0.61,0.4066666666666667,0.33333333333333337,0.56,0.55,0.5933333333333334,0.4116666666666667,0.2695014505103752,1,3,9,0,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,language,python,300,195,0.7487179487179487,0.4866666666666667,0.35,0.6833333333333333,0.6633333333333333,0.66,0.3283333333333333,0.4964874591823727,0,1,7,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,language_difficulty,cuda|easy,100,74,0.7837837837837838,0.58,0.26,0.73,0.67,0.75,0.38,0.5566170093925638,0,2,2,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,language_difficulty,cuda|hard,100,69,0.6231884057971014,0.43,0.31000000000000005,0.67,0.63,0.54,0.355,0.1833936149190576,0,0,2,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,language_difficulty,cuda|medium,100,72,0.5277777777777778,0.38,0.28,0.54,0.52,0.52,0.39,0.1066296230223952,0,1,2,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,language_difficulty,java|easy,100,65,0.676923076923077,0.44,0.35,0.64,0.59,0.64,0.395,0.3980607754506602,0,1,3,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,language_difficulty,java|hard,100,69,0.5217391304347826,0.36,0.31000000000000005,0.49,0.49,0.53,0.42,0.053072382808399494,1,0,1,0,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,language_difficulty,java|medium,100,66,0.6363636363636364,0.42,0.33999999999999997,0.55,0.57,0.61,0.42,0.26435479766352854,0,2,5,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,language_difficulty,python|easy,100,70,0.8285714285714286,0.58,0.30000000000000004,0.82,0.75,0.71,0.36,0.5517099308913135,0,0,3,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,language_difficulty,python|hard,100,58,0.6551724137931034,0.38,0.42000000000000004,0.61,0.56,0.62,0.29,0.195799307572431,0,1,3,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_image_only,language_difficulty,python|medium,100,67,0.746268656716418,0.5,0.32999999999999996,0.62,0.68,0.65,0.335,0.5249323072835432,0,0,1,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,pooled,all,900,636,0.6383647798742138,0.45111111111111113,0.29333333333333333,0.6022222222222222,0.5811111111111111,0.6055555555555555,0.4161111111111111,0.32152396454706783,16,5,15,0,12
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,language,cuda,300,229,0.6724890829694323,0.5133333333333333,0.2366666666666667,0.62,0.6233333333333333,0.62,0.48333333333333334,0.3894641252019444,9,2,4,0,7
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,language,java,300,202,0.5643564356435643,0.38,0.32666666666666666,0.5533333333333333,0.53,0.5533333333333333,0.38666666666666666,0.17839692958759343,3,0,3,0,2
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,language,python,300,205,0.6731707317073171,0.46,0.31666666666666665,0.6333333333333333,0.59,0.6433333333333333,0.37833333333333335,0.385835000031913,4,3,8,0,3
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,language_difficulty,cuda|easy,100,83,0.7831325301204819,0.65,0.17000000000000004,0.76,0.7,0.74,0.48,0.524424795482275,5,0,1,0,3
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,language_difficulty,cuda|hard,100,75,0.6133333333333333,0.46,0.25,0.56,0.6,0.56,0.47,0.28084224583113615,2,0,1,0,2
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,language_difficulty,cuda|medium,100,71,0.6056338028169014,0.43,0.29000000000000004,0.54,0.57,0.56,0.5,0.2900596755576607,2,2,2,0,2
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,language_difficulty,java|easy,100,68,0.6764705882352942,0.46,0.31999999999999995,0.63,0.62,0.62,0.41,0.3751674010795005,0,0,0,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,language_difficulty,java|hard,100,67,0.5074626865671642,0.34,0.32999999999999996,0.51,0.5,0.5,0.395,-0.006965724293919489,2,0,2,0,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,language_difficulty,java|medium,100,67,0.5074626865671642,0.34,0.32999999999999996,0.52,0.47,0.54,0.355,-0.037049215135163155,1,0,1,0,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,language_difficulty,python|easy,100,74,0.7837837837837838,0.58,0.26,0.77,0.7,0.72,0.42,0.5345933480039476,0,2,3,0,0
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,language_difficulty,python|hard,100,64,0.578125,0.37,0.36,0.56,0.51,0.58,0.36,0.06271411646231363,2,0,3,0,1
internvl3_5,OpenGVLab/InternVL3_5-8B-HF,separate_text_plus_image,language_difficulty,python|medium,100,67,0.6417910447761194,0.43,0.32999999999999996,0.57,0.56,0.63,0.355,0.2734818152728813,2,1,2,0,2
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,pooled,all,900,662,0.6117824773413897,0.45,0.2644444444444445,0.6122222222222222,0.5744444444444444,0.59,0.45444444444444443,0.26305333446102247,0,4,18,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,language,cuda,300,229,0.5982532751091703,0.45666666666666667,0.2366666666666667,0.61,0.5733333333333334,0.5766666666666667,0.43166666666666664,0.23938166612922607,0,0,6,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,language,java,300,205,0.5707317073170731,0.39,0.31666666666666665,0.5766666666666667,0.54,0.5566666666666666,0.42833333333333334,0.20132291330900962,0,4,10,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,language,python,300,228,0.6622807017543859,0.5033333333333333,0.24,0.65,0.61,0.6366666666666667,0.5033333333333333,0.3520490323335965,0,0,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,language_difficulty,cuda|easy,100,72,0.6944444444444444,0.5,0.28,0.66,0.58,0.7,0.41,0.30053024120766647,0,0,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,language_difficulty,cuda|hard,100,81,0.5308641975308642,0.43,0.18999999999999995,0.56,0.57,0.48,0.435,0.09405280693457244,0,0,3,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,language_difficulty,cuda|medium,100,76,0.5789473684210527,0.44,0.24,0.61,0.57,0.55,0.45,0.20369631555442977,0,0,3,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,language_difficulty,java|easy,100,64,0.625,0.4,0.36,0.63,0.57,0.59,0.39,0.33020972356740425,0,1,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,language_difficulty,java|hard,100,73,0.4931506849315068,0.36,0.27,0.53,0.51,0.48,0.465,0.02774850912252732,0,0,4,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,language_difficulty,java|medium,100,68,0.6029411764705882,0.41,0.31999999999999995,0.57,0.54,0.6,0.43,0.15083116877497485,0,3,4,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,language_difficulty,python|easy,100,75,0.72,0.54,0.25,0.71,0.66,0.67,0.485,0.41298019039404393,0,0,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,language_difficulty,python|hard,100,77,0.5714285714285714,0.44,0.22999999999999998,0.57,0.54,0.57,0.515,0.1593995114043811,0,0,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_image_only,language_difficulty,python|medium,100,76,0.6973684210526315,0.53,0.24,0.67,0.63,0.67,0.51,0.38085739497900656,0,0,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,pooled,all,900,716,0.5991620111731844,0.4766666666666667,0.20444444444444443,0.5811111111111111,0.5844444444444444,0.5733333333333334,0.5288888888888889,0.2339839143499196,0,5,8,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,language,cuda,300,241,0.6182572614107884,0.49666666666666665,0.19666666666666666,0.61,0.62,0.57,0.48833333333333334,0.2622916544227813,0,1,3,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,language,java,300,247,0.5546558704453441,0.45666666666666667,0.17666666666666664,0.5466666666666666,0.5433333333333333,0.5466666666666666,0.5316666666666666,0.16593421240025347,0,2,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,language,python,300,228,0.6271929824561403,0.4766666666666667,0.24,0.5866666666666667,0.59,0.6033333333333334,0.5666666666666667,0.2812144010418216,0,2,3,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,language_difficulty,cuda|easy,100,80,0.725,0.58,0.19999999999999996,0.72,0.72,0.64,0.49,0.36674380128874196,0,0,1,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,language_difficulty,cuda|hard,100,82,0.573170731707317,0.47,0.18000000000000005,0.55,0.59,0.53,0.51,0.1411945096641891,0,0,1,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,language_difficulty,cuda|medium,100,79,0.5569620253164557,0.44,0.20999999999999996,0.56,0.55,0.54,0.465,0.13073585242774174,0,1,1,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,language_difficulty,java|easy,100,83,0.6024096385542169,0.5,0.17000000000000004,0.6,0.57,0.6,0.505,0.30780314351683286,0,0,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,language_difficulty,java|hard,100,81,0.48148148148148145,0.39,0.18999999999999995,0.48,0.47,0.5,0.545,-0.021095035366654365,0,2,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,language_difficulty,java|medium,100,83,0.5783132530120482,0.48,0.17000000000000004,0.56,0.59,0.54,0.545,0.05982283347409876,0,0,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,language_difficulty,python|easy,100,79,0.7088607594936709,0.56,0.20999999999999996,0.66,0.66,0.67,0.565,0.4192993749243681,0,2,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,language_difficulty,python|hard,100,76,0.5789473684210527,0.44,0.24,0.51,0.55,0.57,0.55,0.18222357403119843,0,0,1,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,combined_text_plus_image,language_difficulty,python|medium,100,73,0.589041095890411,0.43,0.27,0.59,0.56,0.57,0.585,0.18074704373278822,0,0,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,pooled,all,900,637,0.6342229199372057,0.4488888888888889,0.29222222222222227,0.6133333333333333,0.5955555555555555,0.5944444444444444,0.39611111111111114,0.30471538240254853,0,3,16,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,language,cuda,300,209,0.6411483253588517,0.44666666666666666,0.30333333333333334,0.6266666666666667,0.5966666666666667,0.6,0.35833333333333334,0.317564900092259,0,1,5,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,language,java,300,197,0.6243654822335025,0.41,0.3433333333333334,0.5966666666666667,0.57,0.5933333333333334,0.4083333333333333,0.25810088197311215,0,2,5,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,language,python,300,231,0.6363636363636364,0.49,0.22999999999999998,0.6166666666666667,0.62,0.59,0.4216666666666667,0.32237203771762907,0,0,6,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,language_difficulty,cuda|easy,100,78,0.7435897435897436,0.58,0.21999999999999997,0.73,0.64,0.74,0.41,0.40590453363448575,0,0,3,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,language_difficulty,cuda|hard,100,64,0.578125,0.37,0.36,0.57,0.59,0.51,0.32,0.1377765116429677,0,1,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,language_difficulty,cuda|medium,100,67,0.582089552238806,0.39,0.32999999999999996,0.58,0.56,0.55,0.345,0.1722763604939074,0,0,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,language_difficulty,java|easy,100,68,0.6764705882352942,0.46,0.31999999999999995,0.65,0.58,0.66,0.4,0.404403764059816,0,1,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,language_difficulty,java|hard,100,66,0.5606060606060606,0.37,0.33999999999999997,0.55,0.51,0.57,0.39,0.1593198870719036,0,1,3,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,language_difficulty,java|medium,100,63,0.6349206349206349,0.4,0.37,0.59,0.62,0.55,0.435,0.15787200263989223,0,0,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,language_difficulty,python|easy,100,80,0.7125,0.57,0.19999999999999996,0.7,0.72,0.62,0.43,0.49277572454986973,0,0,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,language_difficulty,python|hard,100,79,0.5316455696202531,0.42,0.20999999999999996,0.54,0.54,0.51,0.445,0.03464173711074475,0,0,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_image_only,language_difficulty,python|medium,100,72,0.6666666666666666,0.48,0.28,0.61,0.6,0.64,0.39,0.34483967236941904,0,0,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,pooled,all,900,703,0.6116642958748222,0.4777777777777778,0.2188888888888889,0.5866666666666667,0.5911111111111111,0.5833333333333334,0.5483333333333333,0.2759484754471926,0,6,10,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,language,cuda,300,244,0.6270491803278688,0.51,0.18666666666666665,0.5933333333333334,0.62,0.5866666666666667,0.49666666666666665,0.3223792551559581,0,4,1,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,language,java,300,236,0.5677966101694916,0.44666666666666666,0.21333333333333337,0.5666666666666667,0.56,0.5466666666666666,0.55,0.18402400712924827,0,0,3,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,language,python,300,223,0.6412556053811659,0.4766666666666667,0.2566666666666667,0.6,0.5933333333333334,0.6166666666666667,0.5983333333333334,0.3346736257663721,0,2,6,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,language_difficulty,cuda|easy,100,87,0.7816091954022989,0.68,0.13,0.74,0.76,0.73,0.485,0.5282435932791312,0,1,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,language_difficulty,cuda|hard,100,79,0.5443037974683544,0.43,0.20999999999999996,0.52,0.56,0.51,0.505,0.1244444668893178,0,2,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,language_difficulty,cuda|medium,100,78,0.5384615384615384,0.42,0.21999999999999997,0.52,0.54,0.52,0.5,0.08203346497294457,0,1,1,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,language_difficulty,java|easy,100,81,0.6049382716049383,0.49,0.18999999999999995,0.6,0.57,0.6,0.525,0.3094949752250894,0,0,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,language_difficulty,java|hard,100,76,0.5,0.38,0.24,0.51,0.5,0.5,0.57,0.005806770916167067,0,0,0,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,language_difficulty,java|medium,100,79,0.5949367088607594,0.47,0.20999999999999996,0.59,0.61,0.54,0.555,0.05196355437647623,0,0,1,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,language_difficulty,python|easy,100,80,0.75,0.6,0.19999999999999996,0.71,0.69,0.71,0.57,0.5103049981555691,0,0,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,language_difficulty,python|hard,100,69,0.5652173913043478,0.39,0.31000000000000005,0.53,0.53,0.56,0.615,0.15282801243254798,0,0,2,0,0
qwen3,Qwen/Qwen3-VL-8B-Instruct,separate_text_plus_image,language_difficulty,python|medium,100,74,0.5945945945945946,0.44,0.26,0.56,0.56,0.58,0.61,0.19928627765827636,0,2,2,0,0
